Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
S-LDL-CE%,0.95 [0.94-0.96],3.202e-11,***,Cholesteryl Esters to Total-Lipids in Small LDL percentage
DHA,0.95 [0.94-0.96],8.416e-11,***,Docosahexaenoic Acid
M-VLDL-PL,0.95 [0.94-0.96],7.924e-13,***,Phospholipids in Medium VLDL
S-HDL-PL,0.95 [0.94-0.96],7.110e-12,***,Phospholipids in Small HDL
IDL-FC%,0.95 [0.94-0.96],2.884e-13,***,Free Cholesterol to Total-Lipids in IDL percentage
M-HDL-PL,0.95 [0.94-0.96],1.015e-11,***,Phospholipids in Medium HDL
XL-HDL-P,0.95 [0.94-0.96],5.690e-10,***,Concentration of Very Large HDL Particles
VLDL-CE,0.95 [0.94-0.96],2.695e-15,***,Cholesteryl Esters in VLDL
L-HDL-PL,0.95 [0.94-0.96],6.265e-10,***,Phospholipids in Large HDL
XL-HDL-C,0.95 [0.94-0.96],1.400e-10,***,Cholesterol in Very Large HDL
S-VLDL-FC,0.95 [0.94-0.96],2.211e-16,***,Free Cholesterol in Small VLDL
M-VLDL-FC,0.95 [0.94-0.96],3.346e-17,***,Free Cholesterol in Medium VLDL
S-LDL-P,0.95 [0.94-0.96],2.426e-17,***,Concentration of Small LDL Particles
S-HDL-L,0.95 [0.94-0.96],5.857e-16,***,Total-Lipids in Small HDL
Albumin,0.95 [0.93-0.96],3.713e-17,***,Albumin
XL-HDL-CE,0.95 [0.93-0.96],2.705e-12,***,Cholesteryl Esters in Very Large HDL
M-HDL-C%,0.95 [0.93-0.96],7.798e-16,***,Cholesterol to Total-Lipids in Medium HDL percentage
S-LDL-PL,0.95 [0.93-0.96],1.465e-18,***,Phospholipids in Small LDL
L-HDL-CE%,0.94 [0.93-0.96],1.134e-16,***,Cholesteryl Esters to Total-Lipids in Large HDL percentage
S-VLDL-C%,0.94 [0.93-0.96],1.165e-18,***,Cholesterol to Total-Lipids in Small VLDL percentage
L-HDL-FC,0.94 [0.93-0.96],1.841e-12,***,Free Cholesterol in Large HDL
L-HDL-L,0.94 [0.93-0.96],4.154e-13,***,Total-Lipids in Large HDL
M-HDL-L,0.94 [0.93-0.95],2.101e-16,***,Total-Lipids in Medium HDL
L-HDL-P,0.94 [0.93-0.95],4.193e-14,***,Concentration of Large HDL Particles
L-LDL-P,0.94 [0.93-0.95],1.265e-21,***,Concentration of Large LDL Particles
L-HDL-C%,0.94 [0.93-0.95],9.204e-20,***,Cholesterol to Total-Lipids in Large HDL percentage
XS-VLDL-C,0.94 [0.93-0.95],1.814e-21,***,Cholesterol in Very Small VLDL
LDL-P,0.94 [0.93-0.95],1.162e-22,***,Concentration of LDL Particles
HDL-PL,0.94 [0.93-0.95],1.994e-17,***,Phospholipids in HDL
XL-HDL-CE%,0.94 [0.93-0.95],3.770e-22,***,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
L-HDL-C,0.94 [0.93-0.95],2.786e-15,***,Cholesterol in Large HDL
S-LDL-L,0.94 [0.93-0.95],3.164e-23,***,Total-Lipids in Small LDL
L-HDL-CE,0.94 [0.93-0.95],2.180e-15,***,Cholesteryl Esters in Large HDL
M-VLDL-CE%,0.94 [0.93-0.95],5.699e-23,***,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
M-LDL-P,0.94 [0.93-0.95],7.263e-23,***,Concentration of Medium LDL Particles
M-HDL-P,0.94 [0.93-0.95],7.771e-19,***,Concentration of Medium HDL Particles
ApoB,0.94 [0.93-0.95],1.018e-24,***,Apolipoprotein B
S-LDL-CE,0.94 [0.93-0.95],3.279e-24,***,Cholesteryl Esters in Small LDL
M-VLDL-C%,0.94 [0.93-0.95],4.149e-24,***,Cholesterol to Total-Lipids in Medium VLDL percentage
M-VLDL-PL%,0.94 [0.93-0.95],3.223e-25,***,Phospholipids to Total-Lipids in Medium VLDL percentage
M-LDL-PL,0.94 [0.93-0.95],2.153e-25,***,Phospholipids in Medium LDL
M-HDL-CE,0.94 [0.93-0.95],6.743e-21,***,Cholesteryl Esters in Medium HDL
M-LDL-CE,0.94 [0.93-0.95],1.105e-25,***,Cholesteryl Esters in Medium LDL
S-HDL-FC,0.94 [0.93-0.95],2.280e-23,***,Free Cholesterol in Small HDL
M-VLDL-C,0.94 [0.93-0.95],1.031e-26,***,Cholesterol in Medium VLDL
LA,0.94 [0.93-0.95],5.028e-26,***,Linoleic Acid
M-VLDL-FC%,0.94 [0.93-0.95],1.531e-25,***,Free Cholesterol to Total-Lipids in Medium VLDL percentage
L-LDL-FC%,0.94 [0.93-0.95],3.024e-25,***,Free Cholesterol to Total-Lipids in Large LDL percentage
XS-VLDL-CE,0.94 [0.92-0.95],9.027e-26,***,Cholesteryl Esters in Very Small VLDL
M-HDL-C,0.94 [0.92-0.95],1.025e-21,***,Cholesterol in Medium HDL
M-LDL-L,0.93 [0.92-0.95],2.332e-27,***,Total-Lipids in Medium LDL
S-LDL-C,0.93 [0.92-0.95],1.106e-27,***,Cholesterol in Small LDL
S-HDL-P,0.93 [0.92-0.95],1.497e-25,***,Concentration of Small HDL Particles
IDL-P,0.93 [0.92-0.94],3.448e-28,***,Concentration of IDL Particles
M-HDL-FC,0.93 [0.92-0.95],8.890e-22,***,Free Cholesterol in Medium HDL
S-HDL-CE,0.93 [0.92-0.95],4.066e-26,***,Cholesteryl Esters in Small HDL
Omega-6,0.93 [0.92-0.94],1.300e-28,***,Omega-6 Fatty Acids
S-LDL-FC,0.93 [0.92-0.94],1.916e-30,***,Free Cholesterol in Small LDL
M-LDL-C,0.93 [0.92-0.94],5.023e-30,***,Cholesterol in Medium LDL
S-HDL-C,0.93 [0.92-0.94],7.434e-28,***,Cholesterol in Small HDL
PUFA,0.93 [0.92-0.94],6.742e-29,***,Polyunsaturated Fatty Acids
Remnant-C,0.93 [0.92-0.94],2.090e-31,***,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
M-VLDL-CE,0.93 [0.92-0.94],2.926e-31,***,Cholesteryl Esters in Medium VLDL
S-VLDL-PL%,0.93 [0.92-0.94],1.132e-29,***,Phospholipids to Total-Lipids in Small VLDL percentage
HDL-L,0.93 [0.92-0.94],9.010e-24,***,Total-Lipids in HDL
ApoA1,0.93 [0.92-0.94],1.193e-25,***,Apolipoprotein A1
S-VLDL-FC%,0.93 [0.92-0.94],2.141e-32,***,Free Cholesterol to Total-Lipids in Small VLDL percentage
Total-L,0.93 [0.92-0.94],1.307e-33,***,Total-Lipids in Lipoprotein Particles
Phosphoglyc,0.93 [0.92-0.94],3.455e-30,***,Phosphoglycerides
LDL-PL,0.93 [0.92-0.94],3.708e-35,***,Phospholipids in LDL
IDL-CE%,0.93 [0.92-0.94],7.554e-36,***,Cholesteryl Esters to Total-Lipids in IDL percentage
