Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
S-VLDL-CE,0.82 [0.78-0.86],8.382e-11,***,Cholesteryl Esters in Small VLDL
S-HDL-C,0.82 [0.78-0.86],5.826e-11,***,Cholesterol in Small HDL
M-VLDL-P,0.82 [0.78-0.86],3.284e-11,***,Concentration of Medium VLDL Particles
S-LDL-CE%,0.81 [0.78-0.85],5.920e-13,***,Cholesteryl Esters to Total-Lipids in Small LDL percentage
S-HDL-CE,0.81 [0.78-0.85],3.100e-11,***,Cholesteryl Esters in Small HDL
VLDL-C,0.81 [0.77-0.85],1.076e-13,***,VLDL Cholesterol
S-LDL-FC%,0.81 [0.78-0.84],3.206e-23,***,Free Cholesterol to Total-Lipids in Small LDL percentage
S-HDL-FC%,0.80 [0.76-0.85],1.587e-11,***,Free Cholesterol to Total-Lipids in Small HDL percentage
M-HDL-CE%,0.80 [0.77-0.84],3.551e-18,***,Cholesteryl Esters to Total-Lipids in Medium HDL percentage
M-VLDL-PL,0.80 [0.76-0.84],2.124e-14,***,Phospholipids in Medium VLDL
Unsaturation,0.80 [0.76-0.84],2.391e-14,***,Degree of Unsaturation
M-HDL-P,0.79 [0.75-0.84],3.402e-11,***,Concentration of Medium HDL Particles
XS-VLDL-L,0.79 [0.76-0.83],2.125e-15,***,Total-Lipids in Very Small VLDL
S-VLDL-C,0.79 [0.76-0.83],1.604e-15,***,Cholesterol in Small VLDL
HDL-PL,0.79 [0.75-0.84],7.338e-12,***,Phospholipids in HDL
XS-VLDL-P,0.79 [0.75-0.83],1.047e-15,***,Concentration of Very Small VLDL Particles
PUFA%,0.79 [0.76-0.83],7.671e-21,***,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
XL-HDL-CE%,0.79 [0.76-0.82],3.292e-24,***,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
Gly,0.79 [0.74-0.83],1.247e-11,***,Glycine
Omega-6%,0.78 [0.75-0.81],2.784e-24,***,Omega-6 Fatty Acids to Total-Fatty Acids percentage
M-HDL-CE,0.78 [0.74-0.82],1.058e-14,***,Cholesteryl Esters in Medium HDL
Phosphoglyc,0.78 [0.74-0.82],2.947e-19,***,Phosphoglycerides
S-HDL-C%,0.78 [0.74-0.81],1.362e-23,***,Cholesterol to Total-Lipids in Small HDL percentage
S-LDL-P,0.78 [0.74-0.81],1.488e-19,***,Concentration of Small LDL Particles
M-HDL-C,0.78 [0.74-0.82],3.253e-15,***,Cholesterol in Medium HDL
IDL-FC%,0.78 [0.74-0.81],5.050e-28,***,Free Cholesterol to Total-Lipids in IDL percentage
