Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
LA%,0.0987,0.0737,Linoleic Acid to Total-Fatty Acids percentage
Gly,0.0480,0.0642,Glycine
His,0.1005,0.0616,Histidine
Ile,0.0410,0.0578,Isoleucine
Acetoacetate,0.0368,0.0369,Acetoacetate
Tyr,0.0317,0.0366,Tyrosine
XL-HDL-C%,0.0285,0.0328,Cholesterol to Total-Lipids in Very Large HDL percentage
S-HDL-PL%,0.0195,0.0314,Phospholipids to Total-Lipids in Small HDL percentage
LDL-size,0.0310,0.0306,Average Diameter for LDL Particles
Phe,0.0312,0.0254,Phenylalanine
Val,0.0303,0.0243,Valine
Acetate,0.0400,0.0240,Acetate
Citrate,0.0180,0.0212,Citrate
Ala,0.0147,0.0210,Alanine
DHA%,0.0118,0.0205,Docosahexaenoic Acid to Total-Fatty Acids percentage
Glu-lactate,0.0200,0.0199,Glucose-lactate
L-VLDL-FC%,0.0195,0.0191,Free Cholesterol to Total-Lipids in Large VLDL percentage
XL-VLDL-FC%,0.0127,0.0189,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
XS-VLDL-PL%,0.0273,0.0181,Phospholipids to Total-Lipids in Very Small VLDL percentage
SFA%,0.0168,0.0180,Saturated Fatty Acids to Total-Fatty Acids percentage
GlycA,0.0208,0.0175,Glycoprotein Acetyls
3-Hydroxybutyrate,0.0172,0.0141,3-Hydroxybutyrate
Glu,0.0133,0.0136,Glucose
Gln,0.0162,0.0135,Glutamine
L-LDL-PL%,0.0085,0.0121,Phospholipids to Total-Lipids in Large LDL percentage
M-LDL-PL%,0.0133,0.0120,Phospholipids to Total-Lipids in Medium LDL percentage
XL-HDL-CE%,0.0027,0.0115,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
XL-VLDL-TG%,0.0137,0.0115,Triglycerides to Total-Lipids in Very Large VLDL percentage
Pyruvate,0.0060,0.0114,Pyruvate
L-VLDL-CE%,0.0117,0.0113,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
S-HDL-FC%,0.0067,0.0099,Free Cholesterol to Total-Lipids in Small HDL percentage
Lactate,0.0098,0.0098,Lactate
IDL-CE%,0.0205,0.0093,Cholesteryl Esters to Total-Lipids in IDL percentage
S-VLDL-P,0.0053,0.0088,Concentration of Small VLDL Particles
PUFA%,0.0005,0.0082,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
HDL-size,0.0055,0.0081,Average Diameter for HDL Particles
XXL-VLDL-TG,0.0067,0.0079,Triglycerides in Chylomicrons and Extremely Large VLDL
Creatinine,0.0073,0.0075,Creatinine
Albumin,0.0048,0.0071,Albumin
Acetone,0.0048,0.0070,Acetone
IDL-FC%,0.0032,0.0070,Free Cholesterol to Total-Lipids in IDL percentage
XXL-VLDL-FC,0.0075,0.0064,Free Cholesterol in Chylomicrons and Extremely Large VLDL
M-LDL-CE%,0.0080,0.0064,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
Leu,0.0055,0.0059,Leucine
XXL-VLDL-FC%,0.0087,0.0058,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
MUFA%,0.0047,0.0057,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
M-LDL-TG,0.0082,0.0052,Triglycerides in Medium LDL
PUFA/MUFA,0.0050,0.0051,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
TG/PG,0.0040,0.0050,Triglycerides to Phosphoglycerides ratio
Total-CE,0.0025,0.0047,Total-Esterified Cholesterol
VLDL-size,0.0037,0.0047,Average Diameter for VLDL Particles
Sc-ala,0.0047,0.0045,Spectrometer-corrected alanine
XXL-VLDL-PL%,0.0058,0.0042,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
XXL-VLDL-CE%,0.0042,0.0040,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
XXL-VLDL-TG%,0.0042,0.0040,Triglycerides to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
L-VLDL-PL%,0.0033,0.0039,Phospholipids to Total-Lipids in Large VLDL percentage
L-LDL-C%,0.0027,0.0039,Cholesterol to Total-Lipids in Large LDL percentage
XS-VLDL-PL,0.0027,0.0037,Phospholipids in Very Small VLDL
L-LDL-FC%,0.0025,0.0036,Free Cholesterol to Total-Lipids in Large LDL percentage
LDL-TG,0.0063,0.0034,Triglycerides in LDL
Omega-3%,0.0012,0.0033,Omega-3 Fatty Acids to Total-Fatty Acids percentage
M-HDL-TG%,0.0023,0.0031,Triglycerides to Total-Lipids in Medium HDL percentage
S-HDL-TG%,0.0025,0.0030,Triglycerides to Total-Lipids in Small HDL percentage
IDL-PL%,0.0023,0.0027,Phospholipids to Total-Lipids in IDL percentage
L-LDL-CE%,0.0022,0.0027,Cholesteryl Esters to Total-Lipids in Large LDL percentage
DHA,0.0023,0.0026,Docosahexaenoic Acid
Omega-6,0.0040,0.0023,Omega-6 Fatty Acids
XXL-VLDL-P,0.0025,0.0023,Concentration of Chylomicrons and Extremely Large VLDL Particles
IDL-CE,0.0022,0.0020,Cholesteryl Esters in IDL
Omega-6/Omega-3,0.0015,0.0018,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
XL-HDL-FC,0.0008,0.0018,Free Cholesterol in Very Large HDL
Omega-6%,0.0008,0.0017,Omega-6 Fatty Acids to Total-Fatty Acids percentage
M-LDL-TG%,0.0008,0.0016,Triglycerides to Total-Lipids in Medium LDL percentage
XS-VLDL-FC%,0.0012,0.0014,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
L-LDL-TG%,0.0010,0.0010,Triglycerides to Total-Lipids in Large LDL percentage
Unsaturation,0.0017,0.0007,Degree of Unsaturation
XS-VLDL-C%,0.0002,0.0006,Cholesterol to Total-Lipids in Very Small VLDL percentage
