Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
Creatinine,0.2488,0.5127,Creatinine
Gly,0.1997,0.1444,Glycine
Omega-3,0.0862,0.1303,Omega-3 Fatty Acids
Acetone,0.0563,0.0309,Acetone
Gln,0.0618,0.0260,Glutamine
M-LDL-TG,0.0308,0.0200,Triglycerides in Medium LDL
GlycA,0.0315,0.0187,Glycoprotein Acetyls
Ile,0.0358,0.0153,Isoleucine
3-Hydroxybutyrate,0.0327,0.0134,3-Hydroxybutyrate
Omega-6/Omega-3,0.0185,0.0129,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
Omega-3%,0.0227,0.0126,Omega-3 Fatty Acids to Total-Fatty Acids percentage
VLDL-size,0.0423,0.0126,Average Diameter for VLDL Particles
Pyruvate,0.0172,0.0087,Pyruvate
LDL-size,0.0255,0.0084,Average Diameter for LDL Particles
IDL-FC%,0.0182,0.0057,Free Cholesterol to Total-Lipids in IDL percentage
XL-HDL-PL,0.0160,0.0048,Phospholipids in Very Large HDL
Phe,0.0070,0.0041,Phenylalanine
His,0.0058,0.0031,Histidine
L-LDL-PL%,0.0075,0.0026,Phospholipids to Total-Lipids in Large LDL percentage
Acetoacetate,0.0053,0.0017,Acetoacetate
IDL-TG,0.0035,0.0017,Triglycerides in IDL
Tyr,0.0042,0.0016,Tyrosine
Lactate,0.0052,0.0015,Lactate
Albumin,0.0043,0.0013,Albumin
L-HDL-FC%,0.0053,0.0010,Free Cholesterol to Total-Lipids in Large HDL percentage
Leu,0.0010,0.0009,Leucine
Citrate,0.0017,0.0005,Citrate
Total-BCAA,0.0002,0.0005,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
XXL-VLDL-FC%,0.0013,0.0004,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
L-LDL-TG,0.0007,0.0004,Triglycerides in Large LDL
Sc-ala,0.0005,0.0003,Spectrometer-corrected alanine
Glu-lactate,0.0002,0.0002,Glucose-lactate
Total-P,0.0002,0.0001,Total-Concentration of Lipoprotein Particles
M-HDL-PL%,0.0007,0.0001,Phospholipids to Total-Lipids in Medium HDL percentage
Acetate,0.0007,0.0001,Acetate
S-HDL-FC%,0.0002,0.0001,Free Cholesterol to Total-Lipids in Small HDL percentage
L-VLDL-PL%,0.0002,9.6268e-05,Phospholipids to Total-Lipids in Large VLDL percentage
M-LDL-PL%,0.0003,9.4769e-05,Phospholipids to Total-Lipids in Medium LDL percentage
XXL-VLDL-CE%,0.0002,3.5694e-05,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
