Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
XS-VLDL-CE%,0.1767,0.4208,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
LA%,0.2000,0.2185,Linoleic Acid to Total-Fatty Acids percentage
L-LDL-TG,0.0770,0.0831,Triglycerides in Large LDL
GlycA,0.0815,0.0504,Glycoprotein Acetyls
IDL-P,0.0490,0.0380,Concentration of IDL Particles
S-LDL-PL,0.0543,0.0276,Phospholipids in Small LDL
XS-VLDL-CE,0.0343,0.0247,Cholesteryl Esters in Very Small VLDL
L-LDL-TG%,0.0182,0.0247,Triglycerides to Total-Lipids in Large LDL percentage
LA,0.0338,0.0208,Linoleic Acid
Albumin,0.0743,0.0199,Albumin
ApoB/ApoA1,0.0438,0.0186,Apolipoprotein B to Apolipoprotein A1 ratio
XXL-VLDL-CE,0.0348,0.0158,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL
S-LDL-CE%,0.0197,0.0085,Cholesteryl Esters to Total-Lipids in Small LDL percentage
L-HDL-PL%,0.0193,0.0070,Phospholipids to Total-Lipids in Large HDL percentage
Creatinine,0.0138,0.0036,Creatinine
Glu-lactate,0.0173,0.0035,Glucose-lactate
Omega-3%,0.0115,0.0024,Omega-3 Fatty Acids to Total-Fatty Acids percentage
Remnant-C,0.0062,0.0023,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
Gly,0.0062,0.0019,Glycine
XXL-VLDL-PL%,0.0082,0.0017,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
IDL-TG%,0.0013,0.0009,Triglycerides to Total-Lipids in IDL percentage
VLDL-CE,0.0028,0.0009,Cholesteryl Esters in VLDL
Glu,0.0045,0.0009,Glucose
3-Hydroxybutyrate,0.0040,0.0009,3-Hydroxybutyrate
XS-VLDL-PL,0.0018,0.0008,Phospholipids in Very Small VLDL
IDL-CE%,0.0013,0.0006,Cholesteryl Esters to Total-Lipids in IDL percentage
XS-VLDL-PL%,0.0015,0.0004,Phospholipids to Total-Lipids in Very Small VLDL percentage
XS-VLDL-FC,0.0005,0.0003,Free Cholesterol in Very Small VLDL
XS-VLDL-C%,0.0005,0.0002,Cholesterol to Total-Lipids in Very Small VLDL percentage
Omega-6/Omega-3,0.0007,0.0002,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
XXL-VLDL-FC%,0.0005,0.0001,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
LDL-TG,0.0002,7.0827e-05,Triglycerides in LDL
L-VLDL-FC%,0.0003,6.7593e-05,Free Cholesterol to Total-Lipids in Large VLDL percentage
