Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
GlycA,0.2760,0.2242,Glycoprotein Acetyls
IDL-CE%,0.0702,0.1952,Cholesteryl Esters to Total-Lipids in IDL percentage
Albumin,0.2140,0.1433,Albumin
L-LDL-C%,0.0422,0.1059,Cholesterol to Total-Lipids in Large LDL percentage
Glu,0.0688,0.0563,Glucose
L-LDL-TG%,0.0263,0.0491,Triglycerides to Total-Lipids in Large LDL percentage
S-LDL-CE,0.0465,0.0382,Cholesteryl Esters in Small LDL
Remnant-C,0.0282,0.0271,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
IDL-CE,0.0210,0.0222,Cholesteryl Esters in IDL
S-LDL-CE%,0.0258,0.0197,Cholesteryl Esters to Total-Lipids in Small LDL percentage
Creatinine,0.0337,0.0188,Creatinine
IDL-P,0.0170,0.0185,Concentration of IDL Particles
Glu-lactate,0.0145,0.0128,Glucose-lactate
LA,0.0148,0.0097,Linoleic Acid
Sc-ala,0.0178,0.0083,Spectrometer-corrected alanine
Leu,0.0127,0.0060,Leucine
Total-BCAA,0.0118,0.0060,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
Total-L,0.0087,0.0058,Total-Lipids in Lipoprotein Particles
XXL-VLDL-C,0.0090,0.0055,Cholesterol in Chylomicrons and Extremely Large VLDL
LA%,0.0062,0.0048,Linoleic Acid to Total-Fatty Acids percentage
XXL-VLDL-CE,0.0078,0.0036,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL
Val,0.0062,0.0030,Valine
L-LDL-P,0.0028,0.0027,Concentration of Large LDL Particles
IDL-TG%,0.0010,0.0017,Triglycerides to Total-Lipids in IDL percentage
ApoB,0.0013,0.0016,Apolipoprotein B
3-Hydroxybutyrate,0.0027,0.0013,3-Hydroxybutyrate
M-LDL-CE,0.0012,0.0013,Cholesteryl Esters in Medium LDL
XXL-VLDL-L,0.0020,0.0013,Total-Lipids in Chylomicrons and Extremely Large VLDL
S-LDL-PL,0.0013,0.0012,Phospholipids in Small LDL
Omega-6,0.0020,0.0011,Omega-6 Fatty Acids
XXL-VLDL-PL,0.0018,0.0011,Phospholipids in Chylomicrons and Extremely Large VLDL
Citrate,0.0017,0.0010,Citrate
Total-FC,0.0010,0.0008,Total-Free Cholesterol
XXL-VLDL-FC%,0.0007,0.0004,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
IDL-PL%,0.0005,0.0003,Phospholipids to Total-Lipids in IDL percentage
Total-PL,0.0005,0.0002,Total-Phospholipids in Lipoprotein Particles
XXL-VLDL-C%,0.0002,8.4822e-05,Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
XS-VLDL-TG%,0.0002,8.3818e-05,Triglycerides to Total-Lipids in Very Small VLDL percentage
