Type,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Metabolite,0.555 [0.540 - 0.576],0.539 [0.538 - 0.541],0.538 [0.513 - 0.570],0.539 [0.538 - 0.541],0.005 [0.004 - 0.005],0.077 [0.052 - 0.110],0.010 [0.009 - 0.010]
Demographic,0.580 [0.561 - 0.599],0.566 [0.564 - 0.568],0.566 [0.535 - 0.597],0.566 [0.564 - 0.568],0.005 [0.005 - 0.006],0.131 [0.101 - 0.163],0.011 [0.010 - 0.012]
Metabolite+Demographic,0.587 [0.572 - 0.609],0.569 [0.567 - 0.571],0.569 [0.543 - 0.600],0.569 [0.567 - 0.571],0.005 [0.005 - 0.006],0.139 [0.111 - 0.169],0.011 [0.010 - 0.012]
