Type,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Metabolite,0.841 [0.812 - 0.874],0.775 [0.774 - 0.777],0.774 [0.727 - 0.833],0.775 [0.774 - 0.777],0.004 [0.003 - 0.004],0.549 [0.503 - 0.609],0.008 [0.007 - 0.008]
Demographic,0.712 [0.680 - 0.747],0.644 [0.642 - 0.647],0.639 [0.586 - 0.705],0.644 [0.642 - 0.647],0.002 [0.002 - 0.002],0.284 [0.230 - 0.351],0.004 [0.003 - 0.005]
Metabolite+Demographic,0.846 [0.822 - 0.876],0.784 [0.782 - 0.786],0.783 [0.737 - 0.835],0.784 [0.782 - 0.786],0.004 [0.003 - 0.004],0.567 [0.521 - 0.619],0.008 [0.007 - 0.009]
