Type,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Metabolite,0.605 [0.581 - 0.631],0.573 [0.570 - 0.575],0.571 [0.529 - 0.617],0.573 [0.570 - 0.575],0.003 [0.002 - 0.003],0.145 [0.101 - 0.190],0.005 [0.005 - 0.006]
Demographic,0.656 [0.629 - 0.684],0.610 [0.608 - 0.612],0.609 [0.561 - 0.652],0.610 [0.608 - 0.612],0.003 [0.003 - 0.003],0.219 [0.170 - 0.263],0.006 [0.005 - 0.007]
Metabolite+Demographic,0.662 [0.637 - 0.684],0.614 [0.612 - 0.615],0.614 [0.569 - 0.651],0.614 [0.612 - 0.615],0.003 [0.003 - 0.004],0.228 [0.183 - 0.265],0.006 [0.005 - 0.007]
