Type,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Metabolite,0.791 [0.785 - 0.798],0.734 [0.732 - 0.736],0.734 [0.723 - 0.745],0.734 [0.732 - 0.736],0.088 [0.086 - 0.089],0.468 [0.457 - 0.478],0.157 [0.153 - 0.160]
Demographic,0.735 [0.730 - 0.740],0.673 [0.671 - 0.675],0.673 [0.662 - 0.685],0.673 [0.671 - 0.675],0.067 [0.065 - 0.069],0.347 [0.335 - 0.359],0.122 [0.119 - 0.125]
Metabolite+Demographic,0.814 [0.810 - 0.819],0.751 [0.749 - 0.752],0.751 [0.740 - 0.760],0.751 [0.749 - 0.753],0.095 [0.093 - 0.097],0.502 [0.491 - 0.511],0.168 [0.165 - 0.172]
