Type,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Metabolite,0.504 [0.457 - 0.536],0.492 [0.490 - 0.494],0.500 [0.426 - 0.548],0.492 [0.490 - 0.494],0.001 [0.001 - 0.001],-0.009 [-0.081 - 0.041],0.002 [0.001 - 0.002]
Demographic,0.511 [0.459 - 0.557],0.492 [0.490 - 0.494],0.489 [0.423 - 0.559],0.492 [0.490 - 0.494],0.001 [0.001 - 0.001],-0.019 [-0.085 - 0.050],0.002 [0.001 - 0.002]
Metabolite+Demographic,0.551 [0.507 - 0.586],0.537 [0.534 - 0.538],0.536 [0.469 - 0.592],0.537 [0.534 - 0.538],0.001 [0.001 - 0.001],0.074 [0.006 - 0.130],0.002 [0.002 - 0.003]
