Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
GlycA,"0.261 [0.247,0.276]",8.572e-271,***,Glycoprotein Acetyls
XL-HDL-FC%,"0.258 [0.243,0.273]",2.753e-234,***,Free Cholesterol to Total-Lipids in Very Large HDL percentage
L-VLDL-PL%,"0.221 [0.203,0.239]",5.655e-126,***,Phospholipids to Total-Lipids in Large VLDL percentage
XL-HDL-TG%,"0.188 [0.174,0.202]",1.060e-137,***,Triglycerides to Total-Lipids in Very Large HDL percentage
XL-VLDL-CE,"0.176 [0.161,0.190]",8.396e-119,***,Cholesteryl Esters in Very Large VLDL
VLDL-size,"0.175 [0.160,0.190]",6.061e-110,***,Average Diameter for VLDL Particles
TG/PG,"0.168 [0.154,0.183]",3.074e-106,***,Triglycerides to Phosphoglycerides ratio
XL-HDL-C%,"0.167 [0.154,0.181]",3.567e-130,***,Cholesterol to Total-Lipids in Very Large HDL percentage
XL-VLDL-C,"0.167 [0.152,0.181]",3.878e-108,***,Cholesterol in Very Large VLDL
L-VLDL-C,"0.167 [0.152,0.181]",2.266e-106,***,Cholesterol in Large VLDL
L-VLDL-FC,"0.166 [0.152,0.181]",1.080e-106,***,Free Cholesterol in Large VLDL
MUFA%,"0.165 [0.151,0.179]",4.524e-108,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
L-VLDL-CE,"0.159 [0.145,0.174]",5.634e-97,***,Cholesteryl Esters in Large VLDL
L-VLDL-PL,"0.157 [0.142,0.171]",5.679e-95,***,Phospholipids in Large VLDL
ApoB/ApoA1,"0.153 [0.139,0.167]",3.086e-94,***,Apolipoprotein B to Apolipoprotein A1 ratio
L-VLDL-L,"0.152 [0.138,0.167]",6.182e-90,***,Total-Lipids in Large VLDL
L-HDL-TG%,"0.152 [0.138,0.166]",1.118e-95,***,Triglycerides to Total-Lipids in Large HDL percentage
S-VLDL-CE,"0.150 [0.136,0.165]",2.135e-85,***,Cholesteryl Esters in Small VLDL
VLDL-L,"0.150 [0.136,0.164]",1.104e-88,***,Total-Lipids in VLDL
S-LDL-CE%,"0.150 [0.135,0.164]",3.338e-88,***,Cholesteryl Esters to Total-Lipids in Small LDL percentage
XL-VLDL-FC,"0.150 [0.135,0.164]",1.701e-88,***,Free Cholesterol in Very Large VLDL
XL-VLDL-PL,"0.148 [0.134,0.162]",1.240e-86,***,Phospholipids in Very Large VLDL
VLDL-FC,"0.147 [0.133,0.162]",1.312e-85,***,Free Cholesterol in VLDL
XL-VLDL-L,"0.147 [0.133,0.161]",8.604e-85,***,Total-Lipids in Very Large VLDL
VLDL-PL,"0.147 [0.133,0.161]",1.372e-85,***,Phospholipids in VLDL
L-VLDL-P,"0.146 [0.132,0.161]",2.013e-85,***,Concentration of Large VLDL Particles
XL-VLDL-P,"0.143 [0.129,0.158]",6.529e-82,***,Concentration of Very Large VLDL Particles
S-VLDL-L,"0.143 [0.128,0.157]",5.108e-79,***,Total-Lipids in Small VLDL
L-VLDL-FC%,"0.142 [0.127,0.158]",3.037e-65,***,Free Cholesterol to Total-Lipids in Large VLDL percentage
S-VLDL-C,"0.142 [0.127,0.156]",7.449e-77,***,Cholesterol in Small VLDL
S-VLDL-P,"0.141 [0.127,0.155]",1.045e-77,***,Concentration of Small VLDL Particles
XXL-VLDL-CE,"0.141 [0.127,0.155]",2.424e-80,***,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL
VLDL-TG,"0.139 [0.125,0.153]",3.088e-75,***,Triglycerides in VLDL
S-HDL-TG,"0.138 [0.123,0.153]",1.287e-70,***,Triglycerides in Small HDL
M-VLDL-P,"0.138 [0.124,0.152]",1.746e-75,***,Concentration of Medium VLDL Particles
M-VLDL-L,"0.137 [0.123,0.152]",1.443e-75,***,Total-Lipids in Medium VLDL
VLDL-C,"0.136 [0.122,0.150]",1.039e-72,***,VLDL Cholesterol
S-VLDL-PL,"0.136 [0.122,0.150]",6.824e-72,***,Phospholipids in Small VLDL
S-HDL-TG%,"0.136 [0.121,0.151]",2.970e-63,***,Triglycerides to Total-Lipids in Small HDL percentage
M-VLDL-TG,"0.136 [0.122,0.150]",2.481e-73,***,Triglycerides in Medium VLDL
M-LDL-CE,"0.136 [0.122,0.150]",1.682e-75,***,Cholesteryl Esters in Medium LDL
XXL-VLDL-C,"0.135 [0.121,0.149]",6.195e-74,***,Cholesterol in Chylomicrons and Extremely Large VLDL
S-LDL-CE,"0.132 [0.118,0.146]",5.696e-71,***,Cholesteryl Esters in Small LDL
Total-TG,"0.131 [0.117,0.146]",1.671e-68,***,Total-Triglycerides
VLDL-P,"0.131 [0.117,0.145]",7.944e-67,***,Concentration of VLDL Particles
M-LDL-L,"0.130 [0.116,0.144]",3.538e-69,***,Total-Lipids in Medium LDL
M-LDL-PL,"0.130 [0.116,0.144]",8.608e-68,***,Phospholipids in Medium LDL
M-VLDL-PL,"0.130 [0.116,0.144]",2.552e-66,***,Phospholipids in Medium VLDL
L-VLDL-TG,"0.129 [0.115,0.143]",3.146e-66,***,Triglycerides in Large VLDL
XL-VLDL-TG,"0.128 [0.114,0.142]",1.528e-65,***,Triglycerides in Very Large VLDL
M-LDL-CE%,"0.128 [0.113,0.142]",6.591e-63,***,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
M-LDL-C,"0.127 [0.113,0.141]",6.997e-66,***,Cholesterol in Medium LDL
S-VLDL-FC,"0.125 [0.111,0.140]",2.048e-60,***,Free Cholesterol in Small VLDL
M-HDL-TG%,"0.125 [0.110,0.140]",3.231e-57,***,Triglycerides to Total-Lipids in Medium HDL percentage
M-LDL-P,"0.125 [0.111,0.139]",8.120e-63,***,Concentration of Medium LDL Particles
VLDL-CE,"0.124 [0.110,0.139]",1.665e-59,***,Cholesteryl Esters in VLDL
MUFA,"0.123 [0.110,0.137]",3.588e-65,***,Monounsaturated Fatty Acids
M-VLDL-FC,"0.123 [0.109,0.137]",1.319e-58,***,Free Cholesterol in Medium VLDL
XXL-VLDL-FC,"0.122 [0.108,0.136]",2.188e-61,***,Free Cholesterol in Chylomicrons and Extremely Large VLDL
S-LDL-C,"0.122 [0.108,0.136]",6.450e-60,***,Cholesterol in Small LDL
XXL-VLDL-L,"0.121 [0.107,0.135]",1.250e-59,***,Total-Lipids in Chylomicrons and Extremely Large VLDL
XXL-VLDL-PL,"0.120 [0.106,0.134]",4.210e-59,***,Phospholipids in Chylomicrons and Extremely Large VLDL
S-LDL-L,"0.119 [0.105,0.133]",2.713e-57,***,Total-Lipids in Small LDL
S-LDL-P,"0.118 [0.104,0.132]",3.814e-55,***,Concentration of Small LDL Particles
S-VLDL-TG,"0.115 [0.101,0.129]",4.738e-51,***,Triglycerides in Small VLDL
M-LDL-TG,"0.112 [0.099,0.126]",2.505e-53,***,Triglycerides in Medium LDL
