Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
Unsaturation,"0.087 [0.085,0.088]",0.000e+00,***,Degree of Unsaturation
L-LDL-FC,"0.084 [0.082,0.085]",0.000e+00,***,Free Cholesterol in Large LDL
M-VLDL-FC%,"0.083 [0.082,0.085]",0.000e+00,***,Free Cholesterol to Total-Lipids in Medium VLDL percentage
DHA,"0.083 [0.081,0.085]",0.000e+00,***,Docosahexaenoic Acid
M-LDL-C%,"0.083 [0.081,0.085]",0.000e+00,***,Cholesterol to Total-Lipids in Medium LDL percentage
XL-VLDL-CE%,"0.082 [0.080,0.084]",0.000e+00,***,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
XXL-VLDL-FC%,"0.082 [0.080,0.084]",0.000e+00,***,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
XL-VLDL-C%,"0.080 [0.078,0.082]",0.000e+00,***,Cholesterol to Total-Lipids in Very Large VLDL percentage
Total-FC,"0.079 [0.077,0.081]",0.000e+00,***,Total-Free Cholesterol
IDL-PL,"0.078 [0.076,0.080]",0.000e+00,***,Phospholipids in IDL
S-LDL-FC%,"0.075 [0.073,0.076]",0.000e+00,***,Free Cholesterol to Total-Lipids in Small LDL percentage
LDL-FC,"0.070 [0.069,0.072]",0.000e+00,***,Free Cholesterol in LDL
Omega-6,"0.070 [0.068,0.071]",0.000e+00,***,Omega-6 Fatty Acids
L-HDL-FC%,"0.069 [0.068,0.071]",0.000e+00,***,Free Cholesterol to Total-Lipids in Large HDL percentage
PUFA,"0.069 [0.067,0.071]",0.000e+00,***,Polyunsaturated Fatty Acids
M-VLDL-PL%,"0.069 [0.067,0.071]",0.000e+00,***,Phospholipids to Total-Lipids in Medium VLDL percentage
L-LDL-C,"0.068 [0.067,0.070]",0.000e+00,***,Cholesterol in Large LDL
L-VLDL-CE%,"0.068 [0.066,0.070]",0.000e+00,***,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
XS-VLDL-CE,"0.067 [0.065,0.069]",0.000e+00,***,Cholesteryl Esters in Very Small VLDL
Total-L,"0.066 [0.064,0.067]",0.000e+00,***,Total-Lipids in Lipoprotein Particles
DHA%,"0.066 [0.064,0.067]",0.000e+00,***,Docosahexaenoic Acid to Total-Fatty Acids percentage
L-LDL-PL,"0.065 [0.064,0.067]",0.000e+00,***,Phospholipids in Large LDL
S-HDL-FC%,"0.065 [0.063,0.067]",0.000e+00,***,Free Cholesterol to Total-Lipids in Small HDL percentage
S-HDL-C%,"0.065 [0.063,0.067]",0.000e+00,***,Cholesterol to Total-Lipids in Small HDL percentage
LDL-size,"0.065 [0.063,0.066]",0.000e+00,***,Average Diameter for LDL Particles
L-LDL-L,"0.063 [0.061,0.065]",0.000e+00,***,Total-Lipids in Large LDL
L-LDL-CE,"0.063 [0.061,0.064]",0.000e+00,***,Cholesteryl Esters in Large LDL
PUFA%,"0.062 [0.060,0.064]",0.000e+00,***,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
XL-HDL-PL%,"0.060 [0.058,0.061]",0.000e+00,***,Phospholipids to Total-Lipids in Very Large HDL percentage
S-VLDL-C%,"0.059 [0.057,0.060]",0.000e+00,***,Cholesterol to Total-Lipids in Small VLDL percentage
Clinical LDL-C,"0.057 [0.055,0.059]",0.000e+00,***,Clinical LDL Cholesterol
XXL-VLDL-C%,"0.057 [0.055,0.058]",0.000e+00,***,Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
IDL-FC%,"0.056 [0.054,0.057]",0.000e+00,***,Free Cholesterol to Total-Lipids in IDL percentage
Omega-6%,"0.054 [0.052,0.056]",0.000e+00,***,Omega-6 Fatty Acids to Total-Fatty Acids percentage
LA,"0.054 [0.052,0.056]",0.000e+00,***,Linoleic Acid
XS-VLDL-C,"0.053 [0.051,0.055]",0.000e+00,***,Cholesterol in Very Small VLDL
LDL-C,"0.051 [0.050,0.053]",0.000e+00,***,LDL Cholesterol
S-HDL-CE%,"0.051 [0.049,0.053]",0.000e+00,***,Cholesteryl Esters to Total-Lipids in Small HDL percentage
M-LDL-FC,"0.051 [0.049,0.053]",0.000e+00,***,Free Cholesterol in Medium LDL
XL-VLDL-FC%,"0.051 [0.049,0.053]",0.000e+00,***,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
L-HDL-TG,"0.050 [0.048,0.052]",0.000e+00,***,Triglycerides in Large HDL
LA%,"0.050 [0.048,0.052]",0.000e+00,***,Linoleic Acid to Total-Fatty Acids percentage
