Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
XL-HDL-FC,"0.161 [0.113,0.209]",1.409e-05,***,Free Cholesterol in Very Large HDL
XL-VLDL-FC%,"0.144 [0.102,0.187]",6.787e-06,***,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
XL-HDL-PL%,"0.111 [0.076,0.146]",1.746e-04,***,Phospholipids to Total-Lipids in Very Large HDL percentage
L-VLDL-CE%,"0.110 [0.070,0.150]",0.016,*,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
L-VLDL-C%,"0.109 [0.069,0.149]",0.023,*,Cholesterol to Total-Lipids in Large VLDL percentage
IDL-PL%,"0.103 [0.065,0.140]",0.017,*,Phospholipids to Total-Lipids in IDL percentage
S-VLDL-CE%,"0.099 [0.062,0.136]",0.046,*,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
XL-HDL-CE%,"-0.095 [-0.129,-0.061]",0.009,**,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
PUFA,"-0.099 [-0.136,-0.062]",0.042,*,Polyunsaturated Fatty Acids
Omega-6,"-0.102 [-0.139,-0.065]",0.017,*,Omega-6 Fatty Acids
XL-HDL-C%,"-0.102 [-0.138,-0.067]",0.005,**,Cholesterol to Total-Lipids in Very Large HDL percentage
M-HDL-PL,"-0.112 [-0.153,-0.072]",0.012,*,Phospholipids in Medium HDL
L-LDL-CE%,"-0.113 [-0.151,-0.075]",0.001,**,Cholesteryl Esters to Total-Lipids in Large LDL percentage
M-HDL-L,"-0.113 [-0.153,-0.072]",0.010,*,Total-Lipids in Medium HDL
M-HDL-P,"-0.115 [-0.157,-0.072]",0.026,*,Concentration of Medium HDL Particles
M-HDL-C,"-0.117 [-0.159,-0.076]",0.008,**,Cholesterol in Medium HDL
M-HDL-CE,"-0.119 [-0.161,-0.077]",0.005,**,Cholesteryl Esters in Medium HDL
Total-P,"-0.136 [-0.176,-0.096]",5.947e-06,***,Total-Concentration of Lipoprotein Particles
HDL-P,"-0.140 [-0.180,-0.100]",2.446e-06,***,Concentration of HDL Particles
S-HDL-FC,"-0.143 [-0.181,-0.105]",3.692e-08,***,Free Cholesterol in Small HDL
S-HDL-PL,"-0.157 [-0.195,-0.119]",1.026e-10,***,Phospholipids in Small HDL
S-HDL-L,"-0.164 [-0.202,-0.127]",3.094e-12,***,Total-Lipids in Small HDL
S-HDL-C,"-0.171 [-0.209,-0.133]",1.101e-13,***,Cholesterol in Small HDL
S-HDL-P,"-0.171 [-0.209,-0.133]",1.692e-13,***,Concentration of Small HDL Particles
S-HDL-CE,"-0.175 [-0.213,-0.137]",2.712e-14,***,Cholesteryl Esters in Small HDL
