Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
XL-HDL-FC,"59.586 [53.966,65.205]",2.274e-90,***,Free Cholesterol in Very Large HDL
XL-HDL-PL,"57.817 [51.855,63.780]",4.796e-75,***,Phospholipids in Very Large HDL
Gly,"53.359 [47.267,59.452]",1.333e-60,***,Glycine
XL-HDL-L,"52.920 [46.998,58.842]",3.197e-63,***,Total-Lipids in Very Large HDL
XL-HDL-C,"48.265 [42.286,54.244]",5.876e-51,***,Cholesterol in Very Large HDL
XL-HDL-P,"44.401 [38.374,50.428]",7.524e-42,***,Concentration of Very Large HDL Particles
XL-HDL-CE,"43.157 [37.109,49.206]",4.866e-39,***,Cholesteryl Esters in Very Large HDL
HDL-size,"41.610 [36.044,47.177]",3.416e-43,***,Average Diameter for HDL Particles
XL-HDL-PL%,"40.846 [36.776,44.917]",1.358e-80,***,Phospholipids to Total-Lipids in Very Large HDL percentage
Acetate,"40.722 [36.463,44.982]",7.599e-73,***,Acetate
Creatinine,"39.846 [35.108,44.584]",1.338e-55,***,Creatinine
S-LDL-PL%,"36.917 [32.388,41.445]",4.916e-52,***,Phospholipids to Total-Lipids in Small LDL percentage
Gln,"35.915 [31.559,40.270]",2.567e-53,***,Glutamine
PUFA/MUFA,"33.338 [28.940,37.735]",1.589e-44,***,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
L-HDL-FC,"25.936 [19.951,31.920]",4.630e-12,***,Free Cholesterol in Large HDL
XS-VLDL-CE%,"25.743 [21.459,30.027]",1.227e-26,***,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
XL-VLDL-FC%,"24.917 [19.978,29.856]",1.103e-17,***,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
Leu,"24.710 [20.211,29.209]",1.197e-21,***,Leucine
L-HDL-C,"24.170 [18.356,29.985]",8.581e-11,***,Cholesterol in Large HDL
L-HDL-CE,"23.930 [18.083,29.777]",2.395e-10,***,Cholesteryl Esters in Large HDL
XS-VLDL-C%,"23.518 [19.264,27.772]",5.497e-22,***,Cholesterol to Total-Lipids in Very Small VLDL percentage
L-LDL-FC%,"23.506 [19.131,27.881]",1.485e-20,***,Free Cholesterol to Total-Lipids in Large LDL percentage
L-HDL-FC%,"22.526 [18.578,26.474]",1.168e-23,***,Free Cholesterol to Total-Lipids in Large HDL percentage
Total-BCAA,"21.702 [17.117,26.286]",4.003e-15,***,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
Omega-6%,"21.441 [17.227,25.656]",4.774e-18,***,Omega-6 Fatty Acids to Total-Fatty Acids percentage
L-HDL-P,"21.400 [15.340,27.460]",1.025e-06,***,Concentration of Large HDL Particles
PUFA%,"21.176 [16.953,25.400]",2.015e-17,***,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
LA%,"21.014 [16.633,25.395]",1.256e-15,***,Linoleic Acid to Total-Fatty Acids percentage
Val,"18.803 [14.187,23.420]",3.285e-10,***,Valine
Citrate,"18.553 [13.997,23.110]",3.368e-10,***,Citrate
L-HDL-L,"18.439 [12.828,24.049]",2.717e-05,***,Total-Lipids in Large HDL
Ile,"17.656 [13.236,22.075]",1.124e-09,***,Isoleucine
L-VLDL-CE%,"17.204 [12.553,21.855]",9.596e-08,***,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
His,"16.267 [11.950,20.585]",3.519e-08,***,Histidine
L-HDL-C%,"16.120 [11.957,20.283]",7.378e-09,***,Cholesterol to Total-Lipids in Large HDL percentage
M-LDL-FC%,"15.962 [11.715,20.208]",4.017e-08,***,Free Cholesterol to Total-Lipids in Medium LDL percentage
XL-VLDL-C%,"15.364 [10.527,20.201]",1.099e-04,***,Cholesterol to Total-Lipids in Very Large VLDL percentage
IDL-PL%,"15.343 [10.960,19.726]",1.570e-06,***,Phospholipids to Total-Lipids in IDL percentage
S-HDL-PL%,"14.867 [10.380,19.353]",1.905e-05,***,Phospholipids to Total-Lipids in Small HDL percentage
M-VLDL-C%,"13.652 [9.334,17.970]",1.320e-04,***,Cholesterol to Total-Lipids in Medium VLDL percentage
S-VLDL-CE%,"12.902 [8.550,17.255]",0.001,**,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
M-VLDL-CE%,"12.867 [8.663,17.071]",4.568e-04,***,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
L-LDL-PL%,"12.857 [8.285,17.429]",0.008,**,Phospholipids to Total-Lipids in Large LDL percentage
Acetone,"12.663 [8.363,16.963]",0.002,**,Acetone
L-HDL-CE%,"12.031 [7.926,16.137]",0.002,**,Cholesteryl Esters to Total-Lipids in Large HDL percentage
DHA%,"12.022 [7.718,16.326]",0.010,*,Docosahexaenoic Acid to Total-Fatty Acids percentage
M-VLDL-FC%,"11.769 [7.389,16.150]",0.032,*,Free Cholesterol to Total-Lipids in Medium VLDL percentage
Glu,"-11.802 [-16.078,-7.527]",0.014,*,Glucose
S-LDL-TG%,"-11.815 [-16.165,-7.466]",0.023,*,Triglycerides to Total-Lipids in Small LDL percentage
IDL-TG%,"-12.078 [-16.410,-7.746]",0.011,*,Triglycerides to Total-Lipids in IDL percentage
TG/PG,"-12.534 [-17.109,-7.959]",0.018,*,Triglycerides to Phosphoglycerides ratio
M-HDL-FC%,"-12.647 [-17.293,-8.001]",0.022,*,Free Cholesterol to Total-Lipids in Medium HDL percentage
Sc-ala,"-13.874 [-18.280,-9.468]",1.547e-04,***,Spectrometer-corrected alanine
