Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
Acetate,"0.340 [0.289,0.392]",7.332e-33,***,Acetate
PUFA/MUFA,"0.328 [0.275,0.382]",2.807e-28,***,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
Unsaturation,"0.327 [0.274,0.381]",1.525e-27,***,Degree of Unsaturation
DHA%,"0.322 [0.270,0.374]",2.048e-28,***,Docosahexaenoic Acid to Total-Fatty Acids percentage
Pyruvate,"0.309 [0.256,0.361]",2.437e-25,***,Pyruvate
PUFA%,"0.297 [0.246,0.348]",1.081e-24,***,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
Omega-3%,"0.277 [0.223,0.330]",9.219e-19,***,Omega-3 Fatty Acids to Total-Fatty Acids percentage
S-LDL-PL%,"0.207 [0.152,0.261]",3.204e-08,***,Phospholipids to Total-Lipids in Small LDL percentage
Omega-6%,"0.201 [0.151,0.252]",2.116e-09,***,Omega-6 Fatty Acids to Total-Fatty Acids percentage
DHA,"0.200 [0.144,0.255]",4.179e-07,***,Docosahexaenoic Acid
M-HDL-CE%,"0.192 [0.140,0.244]",8.328e-08,***,Cholesteryl Esters to Total-Lipids in Medium HDL percentage
XXL-VLDL-FC%,"0.187 [0.130,0.245]",3.712e-05,***,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
M-HDL-C%,"0.179 [0.125,0.232]",1.201e-05,***,Cholesterol to Total-Lipids in Medium HDL percentage
Lactate,"0.167 [0.112,0.221]",4.243e-04,***,Lactate
M-LDL-PL%,"0.155 [0.101,0.210]",0.004,**,Phospholipids to Total-Lipids in Medium LDL percentage
L-HDL-CE%,"0.149 [0.099,0.198]",9.699e-04,***,Cholesteryl Esters to Total-Lipids in Large HDL percentage
L-HDL-C%,"0.137 [0.087,0.188]",0.019,*,Cholesterol to Total-Lipids in Large HDL percentage
LA,"-0.141 [-0.194,-0.089]",0.025,*,Linoleic Acid
Omega-6,"-0.152 [-0.205,-0.100]",0.003,**,Omega-6 Fatty Acids
M-VLDL-CE,"-0.153 [-0.207,-0.099]",0.007,**,Cholesteryl Esters in Medium VLDL
L-HDL-TG,"-0.155 [-0.213,-0.097]",0.038,*,Triglycerides in Large HDL
LDL-FC,"-0.157 [-0.210,-0.104]",0.001,**,Free Cholesterol in LDL
L-LDL-FC,"-0.158 [-0.211,-0.104]",0.002,**,Free Cholesterol in Large LDL
ApoB/ApoA1,"-0.158 [-0.211,-0.105]",0.002,**,Apolipoprotein B to Apolipoprotein A1 ratio
S-HDL-PL,"-0.160 [-0.214,-0.106]",0.001,**,Phospholipids in Small HDL
S-HDL-FC,"-0.162 [-0.216,-0.108]",9.562e-04,***,Free Cholesterol in Small HDL
M-LDL-FC,"-0.162 [-0.215,-0.109]",4.481e-04,***,Free Cholesterol in Medium LDL
S-HDL-L,"-0.163 [-0.217,-0.109]",5.953e-04,***,Total-Lipids in Small HDL
IDL-FC,"-0.164 [-0.218,-0.109]",0.001,**,Free Cholesterol in IDL
XL-HDL-TG,"-0.166 [-0.218,-0.113]",1.507e-04,***,Triglycerides in Very Large HDL
PC,"-0.167 [-0.222,-0.111]",9.184e-04,***,Phosphatidylcholines
L-LDL-P,"-0.169 [-0.222,-0.115]",1.485e-04,***,Concentration of Large LDL Particles
S-LDL-PL,"-0.171 [-0.224,-0.118]",5.543e-05,***,Phospholipids in Small LDL
L-LDL-C,"-0.172 [-0.224,-0.119]",3.454e-05,***,Cholesterol in Large LDL
Total-CE,"-0.173 [-0.226,-0.120]",3.192e-05,***,Total-Esterified Cholesterol
Cholines,"-0.174 [-0.229,-0.119]",1.361e-04,***,Total-Cholines
SM,"-0.174 [-0.230,-0.118]",2.555e-04,***,Sphingomyelins
