Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
LA%,"91.180 [58.631,123.728]",0.009,**,Linoleic Acid to Total-Fatty Acids percentage
L-HDL-C%,"87.211 [56.086,118.336]",0.009,**,Cholesterol to Total-Lipids in Large HDL percentage
L-HDL-CE%,"84.203 [53.582,114.824]",0.016,*,Cholesteryl Esters to Total-Lipids in Large HDL percentage
PUFA%,"78.766 [47.444,110.087]",0.191,,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
Omega-6%,"74.591 [43.441,105.742]",0.619,,Omega-6 Fatty Acids to Total-Fatty Acids percentage
Omega-6,"-6.299 [-38.160,25.561]",1.000,,Omega-6 Fatty Acids
M-LDL-TG%,"-46.148 [-78.100,-14.197]",1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
S-HDL-L,"-83.732 [-116.241,-51.223]",0.103,,Total-Lipids in Small HDL
S-HDL-PL,"-90.217 [-122.913,-57.520]",0.015,*,Phospholipids in Small HDL
L-HDL-PL%,"-122.320 [-153.970,-90.670]",8.809e-09,***,Phospholipids to Total-Lipids in Large HDL percentage
