Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
M-HDL-PL%,"0.012 [0.011,0.013]",4.007e-137,***,Phospholipids to Total-Lipids in Medium HDL percentage
L-LDL-TG%,"0.011 [0.010,0.012]",1.175e-119,***,Triglycerides to Total-Lipids in Large LDL percentage
M-LDL-TG%,"0.010 [0.010,0.011]",1.737e-108,***,Triglycerides to Total-Lipids in Medium LDL percentage
IDL-TG%,"0.010 [0.009,0.010]",9.325e-89,***,Triglycerides to Total-Lipids in IDL percentage
S-HDL-PL%,"0.009 [0.009,0.010]",8.552e-81,***,Phospholipids to Total-Lipids in Small HDL percentage
L-HDL-PL%,"0.009 [0.008,0.010]",2.938e-83,***,Phospholipids to Total-Lipids in Large HDL percentage
S-LDL-TG%,"0.009 [0.008,0.010]",3.278e-77,***,Triglycerides to Total-Lipids in Small LDL percentage
S-VLDL-TG%,"0.009 [0.008,0.010]",9.230e-69,***,Triglycerides to Total-Lipids in Small VLDL percentage
S-HDL-TG%,"0.009 [0.008,0.010]",4.023e-61,***,Triglycerides to Total-Lipids in Small HDL percentage
XL-VLDL-TG%,"0.009 [0.007,0.010]",6.066e-50,***,Triglycerides to Total-Lipids in Very Large VLDL percentage
M-VLDL-TG%,"0.008 [0.007,0.009]",1.807e-56,***,Triglycerides to Total-Lipids in Medium VLDL percentage
M-HDL-TG%,"0.008 [0.007,0.009]",1.312e-58,***,Triglycerides to Total-Lipids in Medium HDL percentage
MUFA%,"0.008 [0.007,0.009]",1.248e-57,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
GlycA,"0.008 [0.007,0.009]",2.860e-51,***,Glycoprotein Acetyls
XS-VLDL-TG%,"0.007 [0.006,0.008]",2.939e-47,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
Ile,"0.007 [0.006,0.008]",5.353e-45,***,Isoleucine
XS-VLDL-PL%,"0.007 [0.006,0.008]",3.941e-43,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
Tyr,"0.006 [0.005,0.007]",1.067e-27,***,Tyrosine
M-HDL-TG,"0.006 [0.005,0.007]",4.353e-27,***,Triglycerides in Medium HDL
XL-HDL-PL%,"0.006 [0.005,0.006]",1.001e-32,***,Phospholipids to Total-Lipids in Very Large HDL percentage
L-HDL-TG%,"0.006 [0.005,0.007]",1.822e-28,***,Triglycerides to Total-Lipids in Large HDL percentage
L-HDL-TG,"0.006 [0.005,0.007]",2.086e-22,***,Triglycerides in Large HDL
Total-BCAA,"0.006 [0.005,0.007]",5.911e-24,***,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
TG/PG,"0.006 [0.005,0.006]",4.695e-24,***,Triglycerides to Phosphoglycerides ratio
L-VLDL-PL%,"0.005 [0.004,0.007]",5.098e-15,***,Phospholipids to Total-Lipids in Large VLDL percentage
HDL-TG,"0.005 [0.005,0.006]",3.849e-25,***,Triglycerides in HDL
Leu,"0.005 [0.004,0.006]",2.281e-19,***,Leucine
S-HDL-TG,"0.005 [0.004,0.006]",3.885e-18,***,Triglycerides in Small HDL
Phe,"0.005 [0.004,0.006]",1.091e-17,***,Phenylalanine
XS-VLDL-TG,"0.005 [0.004,0.006]",9.434e-18,***,Triglycerides in Very Small VLDL
IDL-TG,"0.005 [0.004,0.006]",2.975e-17,***,Triglycerides in IDL
Val,"0.005 [0.004,0.006]",8.132e-15,***,Valine
S-LDL-PL%,"0.004 [0.003,0.005]",1.092e-14,***,Phospholipids to Total-Lipids in Small LDL percentage
SFA%,"0.004 [0.003,0.005]",5.696e-17,***,Saturated Fatty Acids to Total-Fatty Acids percentage
XL-HDL-TG,"0.004 [0.003,0.005]",1.819e-14,***,Triglycerides in Very Large HDL
XXL-VLDL-TG%,"0.004 [0.003,0.005]",2.984e-11,***,Triglycerides to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
IDL-PL%,"0.004 [0.003,0.005]",4.348e-13,***,Phospholipids to Total-Lipids in IDL percentage
XXL-VLDL-TG,"0.004 [0.003,0.005]",6.361e-12,***,Triglycerides in Chylomicrons and Extremely Large VLDL
XXL-VLDL-L,"0.004 [0.003,0.005]",3.864e-10,***,Total-Lipids in Chylomicrons and Extremely Large VLDL
L-VLDL-TG%,"0.004 [0.003,0.005]",2.890e-07,***,Triglycerides to Total-Lipids in Large VLDL percentage
XXL-VLDL-P,"0.004 [0.003,0.004]",1.529e-09,***,Concentration of Chylomicrons and Extremely Large VLDL Particles
Lactate,"0.004 [0.003,0.004]",3.330e-08,***,Lactate
XXL-VLDL-PL,"0.003 [0.003,0.004]",1.383e-08,***,Phospholipids in Chylomicrons and Extremely Large VLDL
L-LDL-TG,"0.003 [0.002,0.004]",5.122e-08,***,Triglycerides in Large LDL
Total-TG,"0.003 [0.002,0.004]",3.872e-07,***,Total-Triglycerides
XL-VLDL-TG,"0.003 [0.002,0.004]",4.808e-07,***,Triglycerides in Very Large VLDL
LDL-TG,"0.003 [0.002,0.004]",7.251e-07,***,Triglycerides in LDL
XL-HDL-TG%,"0.003 [0.002,0.004]",3.179e-05,***,Triglycerides to Total-Lipids in Very Large HDL percentage
S-LDL-TG,"0.003 [0.002,0.004]",1.541e-06,***,Triglycerides in Small LDL
S-VLDL-TG,"0.003 [0.002,0.004]",3.737e-05,***,Triglycerides in Small VLDL
XXL-VLDL-FC,"0.003 [0.002,0.004]",6.567e-05,***,Free Cholesterol in Chylomicrons and Extremely Large VLDL
VLDL-TG,"0.003 [0.002,0.004]",2.511e-04,***,Triglycerides in VLDL
MUFA,"0.003 [0.002,0.004]",1.322e-04,***,Monounsaturated Fatty Acids
M-LDL-TG,"0.003 [0.002,0.003]",0.003,**,Triglycerides in Medium LDL
XXL-VLDL-C,"0.003 [0.002,0.003]",0.016,*,Cholesterol in Chylomicrons and Extremely Large VLDL
XL-VLDL-L,"0.002 [0.002,0.003]",0.047,*,Total-Lipids in Very Large VLDL
ApoB/ApoA1,"-0.002 [-0.003,-0.002]",0.041,*,Apolipoprotein B to Apolipoprotein A1 ratio
M-VLDL-L,"-0.002 [-0.003,-0.002]",0.036,*,Total-Lipids in Medium VLDL
VLDL-C,"-0.003 [-0.004,-0.002]",0.012,*,VLDL Cholesterol
Phosphoglyc,"-0.003 [-0.004,-0.002]",0.005,**,Phosphoglycerides
Omega-3%,"-0.003 [-0.004,-0.002]",3.129e-04,***,Omega-3 Fatty Acids to Total-Fatty Acids percentage
PC,"-0.003 [-0.004,-0.002]",1.776e-04,***,Phosphatidylcholines
HDL-L,"-0.003 [-0.004,-0.002]",6.112e-04,***,Total-Lipids in HDL
S-VLDL-CE,"-0.003 [-0.004,-0.002]",1.710e-05,***,Cholesteryl Esters in Small VLDL
S-VLDL-PL,"-0.003 [-0.004,-0.002]",3.141e-06,***,Phospholipids in Small VLDL
VLDL-CE,"-0.003 [-0.004,-0.002]",5.231e-07,***,Cholesteryl Esters in VLDL
L-VLDL-FC%,"-0.003 [-0.004,-0.002]",1.843e-05,***,Free Cholesterol to Total-Lipids in Large VLDL percentage
M-HDL-FC,"-0.003 [-0.005,-0.002]",4.498e-05,***,Free Cholesterol in Medium HDL
Acetone,"-0.004 [-0.004,-0.003]",3.399e-09,***,Acetone
Total-PL,"-0.004 [-0.005,-0.003]",9.281e-09,***,Total-Phospholipids in Lipoprotein Particles
HDL-FC,"-0.004 [-0.005,-0.002]",7.406e-05,***,Free Cholesterol in HDL
LDL-size,"-0.004 [-0.005,-0.003]",1.386e-09,***,Average Diameter for LDL Particles
XL-HDL-CE,"-0.004 [-0.005,-0.002]",0.004,**,Cholesteryl Esters in Very Large HDL
Total-L,"-0.004 [-0.005,-0.003]",1.693e-10,***,Total-Lipids in Lipoprotein Particles
M-VLDL-PL,"-0.004 [-0.005,-0.003]",1.538e-09,***,Phospholipids in Medium VLDL
Glu-lactate,"-0.004 [-0.005,-0.003]",1.073e-10,***,Glucose-lactate
M-HDL-P,"-0.004 [-0.005,-0.003]",3.701e-07,***,Concentration of Medium HDL Particles
S-VLDL-C,"-0.004 [-0.005,-0.003]",3.982e-10,***,Cholesterol in Small VLDL
S-HDL-L,"-0.004 [-0.005,-0.003]",1.760e-10,***,Total-Lipids in Small HDL
M-VLDL-P,"-0.004 [-0.005,-0.003]",1.015e-10,***,Concentration of Medium VLDL Particles
Cholines,"-0.004 [-0.005,-0.003]",2.281e-11,***,Total-Cholines
Citrate,"-0.004 [-0.005,-0.003]",1.018e-11,***,Citrate
IDL-P,"-0.004 [-0.005,-0.003]",1.151e-12,***,Concentration of IDL Particles
L-HDL-P,"-0.004 [-0.005,-0.003]",1.725e-05,***,Concentration of Large HDL Particles
S-HDL-FC,"-0.004 [-0.005,-0.003]",1.931e-13,***,Free Cholesterol in Small HDL
S-LDL-P,"-0.004 [-0.005,-0.003]",3.927e-14,***,Concentration of Small LDL Particles
ApoA1,"-0.004 [-0.005,-0.003]",4.995e-11,***,Apolipoprotein A1
PUFA,"-0.004 [-0.005,-0.003]",3.066e-15,***,Polyunsaturated Fatty Acids
3-Hydroxybutyrate,"-0.004 [-0.005,-0.003]",1.612e-12,***,3-Hydroxybutyrate
Omega-6,"-0.004 [-0.005,-0.003]",1.015e-15,***,Omega-6 Fatty Acids
LA,"-0.004 [-0.005,-0.004]",2.470e-16,***,Linoleic Acid
Remnant-C,"-0.004 [-0.005,-0.004]",5.690e-16,***,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
IDL-PL,"-0.005 [-0.006,-0.004]",1.714e-15,***,Phospholipids in IDL
L-HDL-C,"-0.005 [-0.006,-0.003]",2.700e-08,***,Cholesterol in Large HDL
S-LDL-CE%,"-0.005 [-0.006,-0.004]",6.406e-17,***,Cholesteryl Esters to Total-Lipids in Small LDL percentage
M-VLDL-FC,"-0.005 [-0.006,-0.004]",1.793e-17,***,Free Cholesterol in Medium VLDL
S-LDL-PL,"-0.005 [-0.006,-0.004]",9.491e-19,***,Phospholipids in Small LDL
M-HDL-FC%,"-0.005 [-0.006,-0.004]",6.311e-17,***,Free Cholesterol to Total-Lipids in Medium HDL percentage
S-VLDL-FC,"-0.005 [-0.006,-0.004]",5.859e-19,***,Free Cholesterol in Small VLDL
IDL-L,"-0.005 [-0.006,-0.004]",4.614e-20,***,Total-Lipids in IDL
M-HDL-C,"-0.005 [-0.006,-0.004]",5.769e-16,***,Cholesterol in Medium HDL
ApoB,"-0.005 [-0.006,-0.004]",2.992e-21,***,Apolipoprotein B
XXL-VLDL-FC%,"-0.005 [-0.006,-0.004]",1.081e-19,***,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
S-LDL-L,"-0.005 [-0.006,-0.004]",1.885e-24,***,Total-Lipids in Small LDL
M-HDL-CE,"-0.005 [-0.006,-0.004]",5.476e-19,***,Cholesteryl Esters in Medium HDL
M-LDL-P,"-0.005 [-0.006,-0.004]",8.353e-25,***,Concentration of Medium LDL Particles
L-HDL-CE,"-0.005 [-0.007,-0.004]",6.155e-13,***,Cholesteryl Esters in Large HDL
LDL-P,"-0.005 [-0.006,-0.005]",6.948e-26,***,Concentration of LDL Particles
S-LDL-CE,"-0.005 [-0.006,-0.005]",1.336e-26,***,Cholesteryl Esters in Small LDL
DHA%,"-0.006 [-0.006,-0.005]",8.315e-28,***,Docosahexaenoic Acid to Total-Fatty Acids percentage
L-LDL-P,"-0.006 [-0.006,-0.005]",1.735e-26,***,Concentration of Large LDL Particles
IDL-CE,"-0.006 [-0.007,-0.005]",4.896e-26,***,Cholesteryl Esters in IDL
DHA,"-0.006 [-0.007,-0.005]",7.013e-25,***,Docosahexaenoic Acid
Acetate,"-0.006 [-0.007,-0.005]",2.980e-31,***,Acetate
M-LDL-CE,"-0.006 [-0.007,-0.005]",6.057e-30,***,Cholesteryl Esters in Medium LDL
XXL-VLDL-CE%,"-0.006 [-0.007,-0.005]",1.698e-24,***,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
IDL-C,"-0.006 [-0.007,-0.005]",2.918e-29,***,Cholesterol in IDL
Non-HDL-C,"-0.006 [-0.007,-0.005]",1.106e-31,***,Total-Cholesterol Minus HDL-C
S-LDL-FC%,"-0.006 [-0.007,-0.005]",1.131e-34,***,Free Cholesterol to Total-Lipids in Small LDL percentage
Glu,"-0.006 [-0.007,-0.005]",2.082e-32,***,Glucose
Total-FC,"-0.006 [-0.007,-0.005]",2.801e-31,***,Total-Free Cholesterol
