Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
XXL-VLDL-FC%,"-5.352 [-6.944,-3.760]",1.026e-05,***,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Omega-6,"-5.385 [-7.020,-3.751]",2.461e-05,***,Omega-6 Fatty Acids
S-HDL-PL,"-5.387 [-7.029,-3.744]",3.008e-05,***,Phospholipids in Small HDL
Total-C,"-5.443 [-7.109,-3.778]",3.503e-05,***,Total-Cholesterol
XL-VLDL-C%,"-5.595 [-7.240,-3.949]",6.164e-06,***,Cholesterol to Total-Lipids in Very Large VLDL percentage
PUFA,"-5.697 [-7.334,-4.060]",2.110e-06,***,Polyunsaturated Fatty Acids
L-LDL-FC%,"-5.728 [-7.468,-3.988]",2.562e-05,***,Free Cholesterol to Total-Lipids in Large LDL percentage
Total-CE,"-5.790 [-7.455,-4.125]",2.196e-06,***,Total-Esterified Cholesterol
IDL-L,"-5.858 [-7.517,-4.199]",1.042e-06,***,Total-Lipids in IDL
M-VLDL-FC%,"-5.876 [-7.571,-4.182]",2.501e-06,***,Free Cholesterol to Total-Lipids in Medium VLDL percentage
IDL-C,"-5.917 [-7.577,-4.257]",6.695e-07,***,Cholesterol in IDL
IDL-PL,"-5.925 [-7.579,-4.272]",5.029e-07,***,Phospholipids in IDL
M-VLDL-PL%,"-5.931 [-7.619,-4.244]",1.320e-06,***,Phospholipids to Total-Lipids in Medium VLDL percentage
M-VLDL-CE%,"-6.001 [-7.738,-4.263]",3.002e-06,***,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
IDL-CE,"-6.067 [-7.725,-4.410]",1.701e-07,***,Cholesteryl Esters in IDL
XL-VLDL-FC%,"-6.135 [-7.748,-4.521]",2.164e-08,***,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
L-HDL-CE%,"-6.174 [-7.946,-4.402]",1.985e-06,***,Cholesteryl Esters to Total-Lipids in Large HDL percentage
XS-VLDL-C,"-6.185 [-7.831,-4.539]",4.210e-08,***,Cholesterol in Very Small VLDL
M-VLDL-C%,"-6.292 [-8.012,-4.573]",1.749e-07,***,Cholesterol to Total-Lipids in Medium VLDL percentage
LDL-size,"-6.473 [-8.087,-4.859]",9.206e-10,***,Average Diameter for LDL Particles
XS-VLDL-C%,"-6.691 [-8.414,-4.968]",6.371e-09,***,Cholesterol to Total-Lipids in Very Small VLDL percentage
L-VLDL-CE%,"-6.783 [-8.449,-5.118]",3.428e-10,***,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
M-HDL-C%,"-6.846 [-8.547,-5.145]",7.234e-10,***,Cholesterol to Total-Lipids in Medium HDL percentage
XS-VLDL-CE,"-6.886 [-8.533,-5.240]",5.962e-11,***,Cholesteryl Esters in Very Small VLDL
Unsaturation,"-7.131 [-8.812,-5.450]",2.225e-11,***,Degree of Unsaturation
XS-VLDL-CE%,"-7.502 [-9.232,-5.772]",4.657e-12,***,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
L-HDL-C%,"-7.587 [-9.362,-5.813]",1.276e-11,***,Cholesterol to Total-Lipids in Large HDL percentage
L-HDL-TG,"-8.258 [-9.875,-6.641]",3.430e-18,***,Triglycerides in Large HDL
SM,"-8.445 [-10.088,-6.802]",1.821e-18,***,Sphingomyelins
Total-PL,"-8.533 [-10.184,-6.882]",1.053e-18,***,Total-Phospholipids in Lipoprotein Particles
L-HDL-FC%,"-9.372 [-11.050,-7.693]",1.923e-22,***,Free Cholesterol to Total-Lipids in Large HDL percentage
XL-HDL-FC,"-9.668 [-11.298,-8.039]",8.255e-26,***,Free Cholesterol in Very Large HDL
Phosphoglyc,"-9.685 [-11.330,-8.040]",2.316e-25,***,Phosphoglycerides
Total-P,"-9.767 [-11.403,-8.131]",3.640e-26,***,Total-Concentration of Lipoprotein Particles
Cholines,"-9.835 [-11.483,-8.187]",3.823e-26,***,Total-Cholines
HDL-P,"-10.297 [-11.931,-8.663]",1.441e-29,***,Concentration of HDL Particles
PC,"-10.319 [-11.967,-8.671]",3.742e-29,***,Phosphatidylcholines
S-HDL-PL%,"-10.571 [-12.152,-8.990]",1.000e-33,***,Phospholipids to Total-Lipids in Small HDL percentage
Gly,"-11.179 [-12.772,-9.586]",1.600e-37,***,Glycine
XL-HDL-P,"-12.029 [-13.663,-10.395]",1.274e-41,***,Concentration of Very Large HDL Particles
XL-HDL-PL%,"-12.043 [-13.665,-10.420]",2.298e-42,***,Phospholipids to Total-Lipids in Very Large HDL percentage
XL-HDL-C,"-12.070 [-13.715,-10.425]",2.525e-41,***,Cholesterol in Very Large HDL
M-HDL-PL,"-12.150 [-13.777,-10.523]",6.236e-43,***,Phospholipids in Medium HDL
M-HDL-CE,"-12.448 [-14.085,-10.811]",1.235e-44,***,Cholesteryl Esters in Medium HDL
M-HDL-L,"-12.461 [-14.091,-10.831]",3.879e-45,***,Total-Lipids in Medium HDL
XL-HDL-CE,"-12.506 [-14.154,-10.859]",1.802e-44,***,Cholesteryl Esters in Very Large HDL
M-HDL-P,"-12.558 [-14.188,-10.929]",6.176e-46,***,Concentration of Medium HDL Particles
XL-HDL-L,"-12.614 [-14.245,-10.983]",2.875e-46,***,Total-Lipids in Very Large HDL
M-HDL-C,"-12.658 [-14.294,-11.022]",2.488e-46,***,Cholesterol in Medium HDL
ApoA1,"-12.748 [-14.382,-11.113]",3.908e-47,***,Apolipoprotein A1
XL-HDL-PL,"-12.790 [-14.410,-11.169]",2.359e-48,***,Phospholipids in Very Large HDL
M-HDL-FC%,"-12.979 [-14.648,-11.311]",7.138e-47,***,Free Cholesterol to Total-Lipids in Medium HDL percentage
M-HDL-FC,"-12.980 [-14.607,-11.352]",1.964e-49,***,Free Cholesterol in Medium HDL
HDL-CE,"-13.715 [-15.367,-12.063]",8.170e-54,***,Cholesteryl Esters in HDL
HDL-PL,"-13.847 [-15.470,-12.224]",5.101e-57,***,Phospholipids in HDL
HDL-FC,"-13.917 [-15.547,-12.287]",4.178e-57,***,Free Cholesterol in HDL
HDL-C,"-13.941 [-15.590,-12.292]",6.189e-56,***,HDL Cholesterol
HDL-L,"-13.993 [-15.626,-12.360]",1.433e-57,***,Total-Lipids in HDL
L-HDL-CE,"-14.276 [-15.930,-12.621]",2.100e-58,***,Cholesteryl Esters in Large HDL
HDL-size,"-14.344 [-15.974,-12.715]",6.585e-61,***,Average Diameter for HDL Particles
L-HDL-P,"-14.348 [-15.987,-12.709]",3.322e-60,***,Concentration of Large HDL Particles
L-HDL-FC,"-14.367 [-15.996,-12.738]",3.929e-61,***,Free Cholesterol in Large HDL
L-HDL-C,"-14.454 [-16.105,-12.803]",3.259e-60,***,Cholesterol in Large HDL
L-HDL-PL,"-14.887 [-16.512,-13.262]",3.023e-66,***,Phospholipids in Large HDL
L-HDL-L,"-15.000 [-16.638,-13.361]",4.337e-66,***,Total-Lipids in Large HDL
