Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
Creatinine,"0.669 [0.631,0.708]",2.273e-249,***,Creatinine
Albumin,"0.534 [0.501,0.568]",1.585e-210,***,Albumin
L-LDL-C%,"0.378 [0.344,0.413]",3.255e-98,***,Cholesterol to Total-Lipids in Large LDL percentage
XS-VLDL-CE%,"0.373 [0.338,0.408]",2.185e-91,***,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
XS-VLDL-C%,"0.362 [0.327,0.397]",3.279e-87,***,Cholesterol to Total-Lipids in Very Small VLDL percentage
IDL-C%,"0.353 [0.319,0.386]",1.387e-88,***,Cholesterol to Total-Lipids in IDL percentage
IDL-C,"0.350 [0.316,0.383]",1.264e-86,***,Cholesterol in IDL
M-LDL-C%,"0.348 [0.315,0.382]",7.435e-89,***,Cholesterol to Total-Lipids in Medium LDL percentage
IDL-CE,"0.347 [0.314,0.381]",2.004e-85,***,Cholesteryl Esters in IDL
Total-CE,"0.340 [0.306,0.373]",1.213e-81,***,Total-Esterified Cholesterol
L-LDL-FC,"0.335 [0.302,0.368]",2.466e-82,***,Free Cholesterol in Large LDL
Total-C,"0.335 [0.301,0.368]",1.264e-79,***,Total-Cholesterol
IDL-FC,"0.333 [0.299,0.367]",1.724e-78,***,Free Cholesterol in IDL
IDL-CE%,"0.331 [0.298,0.365]",4.803e-78,***,Cholesteryl Esters to Total-Lipids in IDL percentage
IDL-L,"0.328 [0.295,0.362]",3.529e-76,***,Total-Lipids in IDL
L-LDL-FC%,"0.328 [0.293,0.362]",3.576e-71,***,Free Cholesterol to Total-Lipids in Large LDL percentage
S-LDL-C%,"0.322 [0.289,0.355]",2.386e-75,***,Cholesterol to Total-Lipids in Small LDL percentage
LDL-FC,"0.319 [0.286,0.352]",1.725e-75,***,Free Cholesterol in LDL
Citrate,"0.312 [0.279,0.346]",6.836e-69,***,Citrate
S-VLDL-FC%,"0.312 [0.278,0.346]",5.948e-66,***,Free Cholesterol to Total-Lipids in Small VLDL percentage
Clinical LDL-C,"0.312 [0.279,0.345]",1.565e-72,***,Clinical LDL Cholesterol
M-HDL-FC%,"0.312 [0.274,0.349]",6.049e-55,***,Free Cholesterol to Total-Lipids in Medium HDL percentage
L-LDL-C,"0.311 [0.278,0.343]",3.362e-71,***,Cholesterol in Large LDL
Total-FC,"0.308 [0.274,0.341]",4.623e-68,***,Total-Free Cholesterol
L-LDL-L,"0.300 [0.267,0.333]",1.791e-66,***,Total-Lipids in Large LDL
IDL-PL,"0.299 [0.265,0.332]",3.559e-62,***,Phospholipids in IDL
L-LDL-PL,"0.298 [0.266,0.331]",9.034e-66,***,Phospholipids in Large LDL
LDL-C,"0.295 [0.263,0.328]",7.401e-65,***,LDL Cholesterol
L-LDL-CE,"0.294 [0.261,0.327]",8.055e-64,***,Cholesteryl Esters in Large LDL
Non-HDL-C,"0.293 [0.261,0.326]",8.793e-64,***,Total-Cholesterol Minus HDL-C
M-VLDL-FC%,"0.288 [0.253,0.322]",4.943e-55,***,Free Cholesterol to Total-Lipids in Medium VLDL percentage
DHA,"0.286 [0.252,0.321]",2.981e-54,***,Docosahexaenoic Acid
S-VLDL-PL%,"0.286 [0.252,0.320]",4.147e-55,***,Phospholipids to Total-Lipids in Small VLDL percentage
M-LDL-FC,"0.282 [0.250,0.315]",2.397e-59,***,Free Cholesterol in Medium LDL
LDL-L,"0.282 [0.249,0.314]",7.161e-59,***,Total-Lipids in LDL
M-VLDL-C%,"0.281 [0.246,0.315]",6.033e-51,***,Cholesterol to Total-Lipids in Medium VLDL percentage
M-VLDL-PL%,"0.280 [0.246,0.314]",3.334e-53,***,Phospholipids to Total-Lipids in Medium VLDL percentage
LDL-CE,"0.279 [0.246,0.311]",1.300e-57,***,Cholesteryl Esters in LDL
XS-VLDL-CE,"0.277 [0.243,0.311]",2.691e-52,***,Cholesteryl Esters in Very Small VLDL
PUFA/MUFA,"0.276 [0.240,0.311]",4.909e-47,***,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
M-VLDL-CE,"0.275 [0.242,0.308]",8.661e-55,***,Cholesteryl Esters in Medium VLDL
Remnant-C,"0.275 [0.242,0.307]",4.114e-55,***,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
LDL-PL,"0.274 [0.241,0.306]",1.589e-55,***,Phospholipids in LDL
SM,"0.274 [0.239,0.308]",1.426e-48,***,Sphingomyelins
M-VLDL-CE%,"0.271 [0.237,0.306]",1.775e-47,***,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
IDL-P,"0.270 [0.237,0.303]",1.023e-52,***,Concentration of IDL Particles
S-LDL-FC,"0.265 [0.233,0.298]",5.012e-52,***,Free Cholesterol in Small LDL
Total-PL,"0.262 [0.228,0.296]",1.206e-45,***,Total-Phospholipids in Lipoprotein Particles
S-VLDL-C%,"0.261 [0.228,0.295]",1.497e-47,***,Cholesterol to Total-Lipids in Small VLDL percentage
DHA%,"0.256 [0.222,0.291]",6.552e-43,***,Docosahexaenoic Acid to Total-Fatty Acids percentage
M-VLDL-C,"0.254 [0.222,0.287]",3.681e-47,***,Cholesterol in Medium VLDL
XS-VLDL-C,"0.254 [0.220,0.287]",6.314e-44,***,Cholesterol in Very Small VLDL
M-LDL-C,"0.253 [0.220,0.285]",5.734e-47,***,Cholesterol in Medium LDL
Total-L,"0.251 [0.218,0.284]",8.674e-45,***,Total-Lipids in Lipoprotein Particles
Cholines,"0.250 [0.215,0.285]",7.710e-40,***,Total-Cholines
ApoB,"0.244 [0.212,0.277]",1.645e-43,***,Apolipoprotein B
PC,"0.243 [0.208,0.278]",4.191e-37,***,Phosphatidylcholines
S-LDL-C,"0.243 [0.211,0.276]",3.620e-43,***,Cholesterol in Small LDL
M-LDL-L,"0.240 [0.208,0.273]",5.920e-42,***,Total-Lipids in Medium LDL
M-LDL-P,"0.236 [0.203,0.268]",3.262e-40,***,Concentration of Medium LDL Particles
Total-P,"0.235 [0.200,0.270]",5.715e-35,***,Total-Concentration of Lipoprotein Particles
HDL-FC,"0.235 [0.197,0.272]",2.063e-29,***,Free Cholesterol in HDL
M-LDL-CE,"0.234 [0.202,0.267]",1.200e-39,***,Cholesteryl Esters in Medium LDL
HDL-C,"0.234 [0.197,0.272]",3.593e-29,***,HDL Cholesterol
LDL-P,"0.232 [0.200,0.265]",5.235e-39,***,Concentration of LDL Particles
XL-HDL-CE,"0.231 [0.193,0.269]",1.648e-27,***,Cholesteryl Esters in Very Large HDL
M-LDL-PL,"0.230 [0.198,0.263]",2.581e-38,***,Phospholipids in Medium LDL
Omega-3%,"0.230 [0.196,0.264]",3.186e-35,***,Omega-3 Fatty Acids to Total-Fatty Acids percentage
XL-HDL-P,"0.230 [0.192,0.267]",4.544e-28,***,Concentration of Very Large HDL Particles
XL-HDL-C,"0.228 [0.190,0.265]",4.536e-27,***,Cholesterol in Very Large HDL
HDL-CE,"0.227 [0.190,0.264]",1.979e-27,***,Cholesteryl Esters in HDL
S-LDL-L,"0.225 [0.193,0.258]",1.753e-36,***,Total-Lipids in Small LDL
S-LDL-CE,"0.225 [0.192,0.258]",2.207e-36,***,Cholesteryl Esters in Small LDL
L-LDL-P,"0.225 [0.192,0.258]",3.115e-36,***,Concentration of Large LDL Particles
S-HDL-FC%,"0.221 [0.186,0.255]",9.538e-31,***,Free Cholesterol to Total-Lipids in Small HDL percentage
Omega-3,"0.218 [0.184,0.252]",3.534e-31,***,Omega-3 Fatty Acids
Phosphoglyc,"0.217 [0.183,0.252]",1.369e-29,***,Phosphoglycerides
S-LDL-P,"0.216 [0.184,0.249]",2.832e-33,***,Concentration of Small LDL Particles
S-LDL-PL,"0.213 [0.181,0.246]",2.034e-32,***,Phospholipids in Small LDL
Unsaturation,"0.213 [0.178,0.248]",1.073e-27,***,Degree of Unsaturation
L-HDL-C,"0.212 [0.173,0.251]",1.886e-21,***,Cholesterol in Large HDL
L-HDL-CE,"0.212 [0.173,0.251]",1.827e-21,***,Cholesteryl Esters in Large HDL
L-HDL-P,"0.210 [0.172,0.249]",2.873e-21,***,Concentration of Large HDL Particles
M-VLDL-FC,"0.210 [0.177,0.242]",4.142e-31,***,Free Cholesterol in Medium VLDL
XS-VLDL-FC%,"0.209 [0.176,0.242]",3.470e-30,***,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
L-HDL-C%,"0.207 [0.171,0.243]",2.116e-24,***,Cholesterol to Total-Lipids in Large HDL percentage
S-VLDL-CE%,"0.207 [0.174,0.240]",2.345e-29,***,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
HDL-P,"0.204 [0.170,0.239]",2.638e-25,***,Concentration of HDL Particles
S-VLDL-FC,"0.203 [0.170,0.236]",7.439e-29,***,Free Cholesterol in Small VLDL
XL-VLDL-C%,"0.201 [0.166,0.236]",1.743e-24,***,Cholesterol to Total-Lipids in Very Large VLDL percentage
XL-VLDL-CE%,"0.201 [0.166,0.235]",1.888e-24,***,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
L-HDL-FC,"0.200 [0.162,0.239]",4.209e-19,***,Free Cholesterol in Large HDL
VLDL-CE,"0.198 [0.166,0.231]",2.853e-27,***,Cholesteryl Esters in VLDL
XL-HDL-L,"0.197 [0.159,0.234]",3.572e-19,***,Total-Lipids in Very Large HDL
