Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
Creatinine,"0.178 [0.167,0.188]",2.923e-237,***,Creatinine
XL-HDL-FC%,"0.167 [0.156,0.178]",7.422e-194,***,Free Cholesterol to Total-Lipids in Very Large HDL percentage
XL-HDL-C%,"0.120 [0.109,0.130]",2.943e-105,***,Cholesterol to Total-Lipids in Very Large HDL percentage
XL-HDL-TG%,"0.113 [0.102,0.124]",9.594e-88,***,Triglycerides to Total-Lipids in Very Large HDL percentage
MUFA%,"0.113 [0.102,0.124]",3.563e-83,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
L-HDL-PL%,"0.112 [0.101,0.123]",1.354e-81,***,Phospholipids to Total-Lipids in Large HDL percentage
VLDL-size,"0.109 [0.099,0.120]",5.194e-83,***,Average Diameter for VLDL Particles
M-VLDL-TG%,"0.101 [0.091,0.112]",6.974e-72,***,Triglycerides to Total-Lipids in Medium VLDL percentage
L-HDL-TG%,"0.097 [0.086,0.107]",9.963e-64,***,Triglycerides to Total-Lipids in Large HDL percentage
TG/PG,"0.094 [0.083,0.105]",8.470e-60,***,Triglycerides to Phosphoglycerides ratio
Omega-6/Omega-3,"0.093 [0.082,0.103]",1.424e-59,***,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
XS-VLDL-TG%,"0.087 [0.077,0.098]",1.389e-52,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
XL-VLDL-TG%,"0.080 [0.070,0.091]",4.986e-44,***,Triglycerides to Total-Lipids in Very Large VLDL percentage
XL-VLDL-TG,"0.074 [0.063,0.085]",2.143e-36,***,Triglycerides in Very Large VLDL
M-HDL-PL%,"0.072 [0.061,0.083]",7.128e-32,***,Phospholipids to Total-Lipids in Medium HDL percentage
XXL-VLDL-CE,"0.070 [0.059,0.081]",1.351e-32,***,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL
XXL-VLDL-L,"0.070 [0.059,0.081]",3.449e-32,***,Total-Lipids in Chylomicrons and Extremely Large VLDL
XXL-VLDL-TG,"0.070 [0.059,0.080]",6.544e-32,***,Triglycerides in Chylomicrons and Extremely Large VLDL
S-HDL-TG,"0.069 [0.058,0.080]",1.517e-30,***,Triglycerides in Small HDL
XL-VLDL-L,"0.068 [0.057,0.079]",5.270e-30,***,Total-Lipids in Very Large VLDL
XXL-VLDL-PL,"0.067 [0.057,0.078]",1.997e-29,***,Phospholipids in Chylomicrons and Extremely Large VLDL
S-HDL-TG%,"0.067 [0.056,0.078]",7.841e-29,***,Triglycerides to Total-Lipids in Small HDL percentage
XL-VLDL-P,"0.067 [0.056,0.078]",2.279e-29,***,Concentration of Very Large VLDL Particles
XXL-VLDL-C,"0.067 [0.056,0.077]",3.475e-29,***,Cholesterol in Chylomicrons and Extremely Large VLDL
Leu,"0.066 [0.056,0.077]",1.141e-29,***,Leucine
XXL-VLDL-P,"0.066 [0.055,0.077]",3.717e-28,***,Concentration of Chylomicrons and Extremely Large VLDL Particles
L-VLDL-TG,"0.064 [0.053,0.075]",8.026e-27,***,Triglycerides in Large VLDL
S-VLDL-TG%,"0.063 [0.052,0.074]",2.698e-26,***,Triglycerides to Total-Lipids in Small VLDL percentage
VLDL-TG,"0.062 [0.052,0.073]",8.515e-25,***,Triglycerides in VLDL
L-VLDL-PL,"0.062 [0.051,0.072]",2.781e-24,***,Phospholipids in Large VLDL
L-VLDL-PL%,"0.061 [0.051,0.072]",5.187e-24,***,Phospholipids to Total-Lipids in Large VLDL percentage
M-HDL-TG%,"0.061 [0.050,0.072]",1.721e-23,***,Triglycerides to Total-Lipids in Medium HDL percentage
XXL-VLDL-FC,"0.061 [0.050,0.072]",9.310e-24,***,Free Cholesterol in Chylomicrons and Extremely Large VLDL
XL-VLDL-PL,"0.061 [0.050,0.071]",3.005e-23,***,Phospholipids in Very Large VLDL
L-VLDL-L,"0.060 [0.049,0.070]",1.069e-22,***,Total-Lipids in Large VLDL
