Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
M-HDL-CE%,"0.129 [0.125,0.133]",0.000e+00,***,Cholesteryl Esters to Total-Lipids in Medium HDL percentage
M-HDL-C%,"0.108 [0.104,0.112]",0.000e+00,***,Cholesterol to Total-Lipids in Medium HDL percentage
PUFA/MUFA,"0.103 [0.099,0.106]",0.000e+00,***,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
Omega-6%,"0.101 [0.097,0.105]",0.000e+00,***,Omega-6 Fatty Acids to Total-Fatty Acids percentage
PUFA%,"0.096 [0.092,0.100]",0.000e+00,***,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
S-HDL-CE%,"0.095 [0.092,0.099]",0.000e+00,***,Cholesteryl Esters to Total-Lipids in Small HDL percentage
M-LDL-FC%,"0.081 [0.077,0.085]",0.000e+00,***,Free Cholesterol to Total-Lipids in Medium LDL percentage
S-HDL-C%,"0.078 [0.075,0.082]",0.000e+00,***,Cholesterol to Total-Lipids in Small HDL percentage
L-HDL-CE%,"0.077 [0.073,0.081]",0.000e+00,***,Cholesteryl Esters to Total-Lipids in Large HDL percentage
XXL-VLDL-FC%,"0.070 [0.066,0.074]",2.130e-289,***,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
S-LDL-FC%,"0.068 [0.064,0.072]",2.601e-265,***,Free Cholesterol to Total-Lipids in Small LDL percentage
S-LDL-PL%,"0.067 [0.063,0.071]",5.343e-278,***,Phospholipids to Total-Lipids in Small LDL percentage
DHA%,"0.058 [0.054,0.062]",1.173e-191,***,Docosahexaenoic Acid to Total-Fatty Acids percentage
L-VLDL-TG%,"0.054 [0.051,0.058]",3.159e-182,***,Triglycerides to Total-Lipids in Large VLDL percentage
L-HDL-C%,"0.051 [0.047,0.055]",1.799e-137,***,Cholesterol to Total-Lipids in Large HDL percentage
IDL-FC%,"0.049 [0.046,0.053]",1.026e-150,***,Free Cholesterol to Total-Lipids in IDL percentage
M-LDL-PL%,"0.047 [0.043,0.051]",2.146e-137,***,Phospholipids to Total-Lipids in Medium LDL percentage
Albumin,"0.046 [0.043,0.050]",4.371e-124,***,Albumin
L-LDL-PL%,"0.046 [0.042,0.050]",1.189e-125,***,Phospholipids to Total-Lipids in Large LDL percentage
Citrate,"0.044 [0.040,0.047]",1.991e-111,***,Citrate
Acetone,"0.043 [0.040,0.047]",9.619e-119,***,Acetone
XL-HDL-CE%,"0.042 [0.038,0.046]",1.428e-107,***,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
XL-HDL-C%,"0.040 [0.036,0.043]",7.498e-88,***,Cholesterol to Total-Lipids in Very Large HDL percentage
L-LDL-FC%,"0.038 [0.035,0.042]",1.170e-78,***,Free Cholesterol to Total-Lipids in Large LDL percentage
3-Hydroxybutyrate,"0.036 [0.033,0.040]",8.635e-81,***,3-Hydroxybutyrate
Unsaturation,"0.036 [0.032,0.040]",2.961e-67,***,Degree of Unsaturation
Omega-6/Omega-3,"0.035 [0.031,0.039]",5.638e-72,***,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
