Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
Creatinine,"549.444 [513.272,585.616]",1.265e-185,***,Creatinine
XL-HDL-FC%,"497.170 [460.583,533.758]",1.732e-148,***,Free Cholesterol to Total-Lipids in Very Large HDL percentage
TG/PG,"364.023 [327.102,400.944]",3.654e-77,***,Triglycerides to Phosphoglycerides ratio
XL-HDL-C%,"334.767 [299.222,370.313]",3.693e-70,***,Cholesterol to Total-Lipids in Very Large HDL percentage
VLDL-size,"325.869 [289.431,362.307]",5.725e-63,***,Average Diameter for VLDL Particles
L-HDL-TG%,"283.507 [246.721,320.294]",6.140e-46,***,Triglycerides to Total-Lipids in Large HDL percentage
XL-HDL-TG%,"277.688 [240.440,314.935]",8.954e-43,***,Triglycerides to Total-Lipids in Very Large HDL percentage
M-HDL-PL%,"260.988 [222.778,299.197]",2.339e-35,***,Phospholipids to Total-Lipids in Medium HDL percentage
S-HDL-TG%,"259.816 [223.121,296.511]",3.003e-38,***,Triglycerides to Total-Lipids in Small HDL percentage
ApoB/ApoA1,"256.534 [220.308,292.760]",2.919e-38,***,Apolipoprotein B to Apolipoprotein A1 ratio
Leu,"255.838 [220.338,291.339]",9.526e-40,***,Leucine
Total-BCAA,"244.623 [208.410,280.837]",1.667e-34,***,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
M-VLDL-TG%,"243.875 [206.875,280.875]",1.102e-32,***,Triglycerides to Total-Lipids in Medium VLDL percentage
Val,"237.382 [200.605,274.159]",3.358e-31,***,Valine
XL-VLDL-TG,"218.176 [181.018,255.334]",3.328e-25,***,Triglycerides in Very Large VLDL
L-VLDL-TG,"212.739 [176.132,249.347]",1.290e-24,***,Triglycerides in Large VLDL
XL-VLDL-L,"212.120 [175.114,249.127]",7.522e-24,***,Total-Lipids in Very Large VLDL
XL-VLDL-P,"211.388 [174.316,248.461]",1.454e-23,***,Concentration of Very Large VLDL Particles
L-VLDL-PL,"210.023 [173.227,246.819]",1.282e-23,***,Phospholipids in Large VLDL
L-VLDL-FC,"209.424 [172.744,246.105]",1.236e-23,***,Free Cholesterol in Large VLDL
M-HDL-TG%,"208.493 [172.024,244.961]",1.044e-23,***,Triglycerides to Total-Lipids in Medium HDL percentage
L-VLDL-L,"207.240 [170.675,243.805]",3.083e-23,***,Total-Lipids in Large VLDL
L-VLDL-P,"204.795 [168.046,241.543]",2.400e-22,***,Concentration of Large VLDL Particles
XS-VLDL-TG%,"204.662 [167.463,241.860]",1.092e-21,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
XL-VLDL-PL,"202.937 [165.902,239.971]",1.748e-21,***,Phospholipids in Very Large VLDL
XXL-VLDL-TG,"191.741 [154.430,229.052]",1.872e-18,***,Triglycerides in Chylomicrons and Extremely Large VLDL
XXL-VLDL-L,"190.227 [152.981,227.474]",3.511e-18,***,Total-Lipids in Chylomicrons and Extremely Large VLDL
XL-VLDL-FC,"190.214 [153.260,227.168]",1.588e-18,***,Free Cholesterol in Very Large VLDL
VLDL-TG,"188.503 [151.644,225.363]",3.065e-18,***,Triglycerides in VLDL
XXL-VLDL-CE,"182.548 [145.481,219.614]",1.204e-16,***,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL
XL-VLDL-C,"178.612 [141.901,215.323]",3.711e-16,***,Cholesterol in Very Large VLDL
XXL-VLDL-PL,"178.486 [141.060,215.912]",2.232e-15,***,Phospholipids in Chylomicrons and Extremely Large VLDL
XXL-VLDL-P,"177.216 [139.779,214.654]",4.282e-15,***,Concentration of Chylomicrons and Extremely Large VLDL Particles
XXL-VLDL-C,"174.839 [137.683,211.995]",7.155e-15,***,Cholesterol in Chylomicrons and Extremely Large VLDL
Ile,"174.604 [138.841,210.367]",2.702e-16,***,Isoleucine
L-VLDL-C,"173.695 [137.271,210.118]",2.247e-15,***,Cholesterol in Large VLDL
XS-VLDL-PL%,"171.796 [135.105,208.487]",1.093e-14,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
L-VLDL-PL%,"168.208 [132.854,203.561]",2.746e-15,***,Phospholipids to Total-Lipids in Large VLDL percentage
M-VLDL-TG,"167.864 [131.397,204.331]",4.529e-14,***,Triglycerides in Medium VLDL
XL-VLDL-TG%,"164.801 [129.621,199.980]",1.048e-14,***,Triglycerides to Total-Lipids in Very Large VLDL percentage
MUFA%,"163.558 [125.261,201.855]",1.380e-11,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
XL-VLDL-CE,"161.440 [124.930,197.950]",1.081e-12,***,Cholesteryl Esters in Very Large VLDL
XXL-VLDL-FC,"160.897 [123.577,198.217]",7.027e-12,***,Free Cholesterol in Chylomicrons and Extremely Large VLDL
Gln,"159.519 [123.452,195.586]",1.061e-12,***,Glutamine
S-HDL-CE%,"144.728 [108.530,180.926]",1.103e-09,***,Cholesteryl Esters to Total-Lipids in Small HDL percentage
His,"142.937 [108.061,177.814]",2.277e-10,***,Histidine
Total-TG,"142.456 [105.505,179.408]",9.810e-09,***,Total-Triglycerides
S-VLDL-TG%,"136.066 [99.609,172.524]",6.056e-08,***,Triglycerides to Total-Lipids in Small VLDL percentage
L-VLDL-CE,"131.541 [95.297,167.785]",2.656e-07,***,Cholesteryl Esters in Large VLDL
IDL-TG%,"131.283 [93.490,169.076]",2.303e-06,***,Triglycerides to Total-Lipids in IDL percentage
VLDL-L,"125.786 [89.136,162.435]",4.043e-06,***,Total-Lipids in VLDL
S-VLDL-TG,"125.420 [88.683,162.157]",5.156e-06,***,Triglycerides in Small VLDL
S-HDL-TG,"119.440 [81.988,156.893]",9.485e-05,***,Triglycerides in Small HDL
S-LDL-TG,"104.381 [66.963,141.799]",0.011,*,Triglycerides in Small LDL
XXL-VLDL-TG%,"98.126 [62.962,133.291]",0.010,*,Triglycerides to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
S-VLDL-P,"96.603 [60.105,133.100]",0.049,*,Concentration of Small VLDL Particles
LDL-FC,"-98.292 [-134.805,-61.779]",0.030,*,Free Cholesterol in LDL
M-VLDL-CE,"-101.141 [-137.826,-64.456]",0.015,*,Cholesteryl Esters in Medium VLDL
L-LDL-C%,"-102.221 [-140.742,-63.700]",0.046,*,Cholesterol to Total-Lipids in Large LDL percentage
Omega-3%,"-103.739 [-140.375,-67.103]",0.007,**,Omega-3 Fatty Acids to Total-Fatty Acids percentage
S-VLDL-C%,"-107.043 [-143.990,-70.095]",0.003,**,Cholesterol to Total-Lipids in Small VLDL percentage
IDL-TG,"-107.181 [-144.351,-70.011]",0.004,**,Triglycerides in IDL
L-LDL-CE,"-108.265 [-144.704,-71.825]",0.001,**,Cholesteryl Esters in Large LDL
L-LDL-PL,"-111.009 [-147.454,-74.564]",5.487e-04,***,Phospholipids in Large LDL
Remnant-C,"-115.103 [-151.829,-78.377]",1.879e-04,***,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
PUFA%,"-116.379 [-155.274,-77.484]",0.001,**,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
L-LDL-L,"-117.914 [-154.469,-81.358]",5.986e-05,***,Total-Lipids in Large LDL
IDL-C%,"-118.157 [-156.408,-79.906]",3.263e-04,***,Cholesterol to Total-Lipids in IDL percentage
L-LDL-C,"-119.441 [-155.988,-82.893]",3.486e-05,***,Cholesterol in Large LDL
XL-HDL-TG,"-119.749 [-156.143,-83.355]",2.616e-05,***,Triglycerides in Very Large HDL
XXL-VLDL-C%,"-120.033 [-155.511,-84.555]",7.757e-06,***,Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
M-HDL-TG,"-122.353 [-159.147,-85.559]",1.662e-05,***,Triglycerides in Medium HDL
Glu,"-130.380 [-167.805,-92.954]",2.011e-06,***,Glucose
S-HDL-CE,"-132.255 [-168.027,-96.482]",1.008e-07,***,Cholesteryl Esters in Small HDL
DHA%,"-134.364 [-171.335,-97.394]",2.473e-07,***,Docosahexaenoic Acid to Total-Fatty Acids percentage
IDL-P,"-134.379 [-170.938,-97.820]",1.371e-07,***,Concentration of IDL Particles
IDL-CE%,"-135.613 [-173.538,-97.688]",5.638e-07,***,Cholesteryl Esters to Total-Lipids in IDL percentage
Citrate,"-143.780 [-180.213,-107.348]",2.453e-09,***,Citrate
M-LDL-FC%,"-143.888 [-181.640,-106.135]",1.891e-08,***,Free Cholesterol to Total-Lipids in Medium LDL percentage
L-LDL-FC,"-145.355 [-181.924,-108.786]",1.584e-09,***,Free Cholesterol in Large LDL
SFA,"-145.737 [-182.696,-108.779]",2.578e-09,***,Saturated Fatty Acids
M-HDL-CE%,"-146.312 [-183.948,-108.676]",6.031e-09,***,Cholesteryl Esters to Total-Lipids in Medium HDL percentage
PUFA/MUFA,"-147.862 [-186.488,-109.236]",1.474e-08,***,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
S-HDL-P,"-151.481 [-187.409,-115.554]",3.387e-11,***,Concentration of Small HDL Particles
L-VLDL-C%,"-163.491 [-199.732,-127.249]",2.300e-13,***,Cholesterol to Total-Lipids in Large VLDL percentage
Total-FA,"-165.877 [-202.588,-129.166]",2.025e-13,***,Total-Fatty Acids
Omega-3,"-166.189 [-202.542,-129.837]",7.936e-14,***,Omega-3 Fatty Acids
XS-VLDL-P,"-169.169 [-205.810,-132.527]",3.549e-14,***,Concentration of Very Small VLDL Particles
L-LDL-FC%,"-170.059 [-208.711,-131.408]",1.575e-12,***,Free Cholesterol to Total-Lipids in Large LDL percentage
S-HDL-C,"-172.290 [-208.166,-136.414]",1.206e-15,***,Cholesterol in Small HDL
S-VLDL-FC%,"-175.279 [-212.876,-137.681]",1.577e-14,***,Free Cholesterol to Total-Lipids in Small VLDL percentage
XS-VLDL-PL,"-175.282 [-211.951,-138.614]",1.817e-15,***,Phospholipids in Very Small VLDL
S-VLDL-PL%,"-178.110 [-215.333,-140.888]",1.662e-15,***,Phospholipids to Total-Lipids in Small VLDL percentage
L-HDL-CE%,"-182.978 [-222.332,-143.625]",1.971e-14,***,Cholesteryl Esters to Total-Lipids in Large HDL percentage
LA,"-186.898 [-223.233,-150.563]",1.705e-18,***,Linoleic Acid
XS-VLDL-FC,"-191.390 [-227.952,-154.829]",2.756e-19,***,Free Cholesterol in Very Small VLDL
XL-VLDL-CE%,"-192.149 [-228.821,-155.477]",2.494e-19,***,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
XL-VLDL-FC%,"-193.907 [-229.726,-158.088]",7.005e-21,***,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
Total-L,"-196.694 [-233.398,-159.990]",2.175e-20,***,Total-Lipids in Lipoprotein Particles
XS-VLDL-L,"-199.537 [-236.090,-162.983]",2.713e-21,***,Total-Lipids in Very Small VLDL
XL-VLDL-C%,"-200.703 [-237.214,-164.192]",1.210e-21,***,Cholesterol to Total-Lipids in Very Large VLDL percentage
GlycA,"-203.126 [-241.662,-164.590]",1.318e-19,***,Glycoprotein Acetyls
Total-FC,"-206.313 [-243.086,-169.540]",1.068e-22,***,Total-Free Cholesterol
S-HDL-FC%,"-207.924 [-244.467,-171.382]",1.895e-23,***,Free Cholesterol to Total-Lipids in Small HDL percentage
XXL-VLDL-FC%,"-208.732 [-244.046,-173.418]",1.373e-25,***,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
S-HDL-L,"-209.770 [-246.050,-173.489]",2.487e-24,***,Total-Lipids in Small HDL
DHA,"-217.098 [-253.284,-180.913]",1.794e-26,***,Docosahexaenoic Acid
XS-VLDL-C%,"-217.827 [-256.066,-179.589]",1.641e-23,***,Cholesterol to Total-Lipids in Very Small VLDL percentage
M-VLDL-PL%,"-219.035 [-256.480,-181.591]",5.458e-25,***,Phospholipids to Total-Lipids in Medium VLDL percentage
M-VLDL-FC%,"-220.101 [-257.696,-182.507]",4.882e-25,***,Free Cholesterol to Total-Lipids in Medium VLDL percentage
M-VLDL-CE%,"-224.516 [-263.058,-185.974]",9.464e-25,***,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
LDL-size,"-230.004 [-265.809,-194.199]",7.195e-31,***,Average Diameter for LDL Particles
IDL-FC,"-230.160 [-266.827,-193.493]",2.576e-29,***,Free Cholesterol in IDL
M-VLDL-C%,"-230.855 [-269.008,-192.702]",5.482e-27,***,Cholesterol to Total-Lipids in Medium VLDL percentage
L-VLDL-CE%,"-231.830 [-268.780,-194.879]",2.773e-29,***,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
L-HDL-C%,"-232.831 [-272.222,-193.441]",1.368e-25,***,Cholesterol to Total-Lipids in Large HDL percentage
XS-VLDL-CE%,"-240.186 [-278.580,-201.792]",4.297e-29,***,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
Total-C,"-245.787 [-282.709,-208.866]",2.067e-33,***,Total-Cholesterol
Unsaturation,"-246.137 [-283.421,-208.853]",8.463e-33,***,Degree of Unsaturation
Omega-6,"-246.356 [-282.574,-210.139]",4.899e-35,***,Omega-6 Fatty Acids
M-HDL-C%,"-246.534 [-284.255,-208.812]",4.459e-32,***,Cholesterol to Total-Lipids in Medium HDL percentage
IDL-C,"-247.791 [-284.596,-210.986]",2.986e-34,***,Cholesterol in IDL
XS-VLDL-C,"-247.984 [-284.476,-211.493]",5.809e-35,***,Cholesterol in Very Small VLDL
IDL-L,"-250.442 [-287.204,-213.680]",3.736e-35,***,Total-Lipids in IDL
IDL-CE,"-251.366 [-288.103,-214.630]",1.712e-35,***,Cholesteryl Esters in IDL
IDL-PL,"-253.579 [-290.219,-216.940]",2.157e-36,***,Phospholipids in IDL
PUFA,"-253.896 [-290.169,-217.622]",2.665e-37,***,Polyunsaturated Fatty Acids
Total-CE,"-259.617 [-296.509,-222.725]",9.651e-38,***,Total-Esterified Cholesterol
S-HDL-PL,"-262.549 [-298.930,-226.168]",7.239e-40,***,Phospholipids in Small HDL
S-HDL-FC,"-266.846 [-302.993,-230.700]",7.060e-42,***,Free Cholesterol in Small HDL
XS-VLDL-CE,"-267.950 [-304.442,-231.459]",2.148e-41,***,Cholesteryl Esters in Very Small VLDL
L-HDL-TG,"-276.725 [-312.555,-240.895]",3.768e-46,***,Triglycerides in Large HDL
