Type,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Metabolite,0.476 [0.444 - 0.499],0.481 [0.479 - 0.484],0.479 [0.438 - 0.521],0.481 [0.479 - 0.484],0.002 [0.002 - 0.003],-0.040 [-0.081 - 0.003],0.005 [0.004 - 0.005]
Demographic,0.651 [0.634 - 0.670],0.626 [0.624 - 0.628],0.623 [0.591 - 0.663],0.626 [0.624 - 0.628],0.005 [0.004 - 0.005],0.249 [0.217 - 0.289],0.009 [0.008 - 0.010]
Metabolite+Demographic,0.644 [0.627 - 0.662],0.623 [0.621 - 0.625],0.624 [0.588 - 0.661],0.623 [0.621 - 0.625],0.004 [0.004 - 0.005],0.247 [0.211 - 0.284],0.009 [0.008 - 0.010]
