Type,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Metabolite,0.574 [0.569 - 0.581],0.552 [0.549 - 0.553],0.551 [0.540 - 0.561],0.552 [0.549 - 0.553],0.055 [0.053 - 0.056],0.103 [0.092 - 0.114],0.099 [0.097 - 0.103]
Demographic,0.630 [0.625 - 0.635],0.597 [0.594 - 0.598],0.597 [0.587 - 0.607],0.597 [0.594 - 0.598],0.065 [0.063 - 0.067],0.194 [0.184 - 0.204],0.118 [0.114 - 0.121]
Metabolite+Demographic,0.632 [0.627 - 0.636],0.597 [0.595 - 0.599],0.596 [0.588 - 0.607],0.597 [0.595 - 0.599],0.065 [0.063 - 0.067],0.193 [0.184 - 0.204],0.118 [0.114 - 0.121]
