Type,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Metabolite,0.656 [0.652 - 0.661],0.615 [0.613 - 0.617],0.615 [0.609 - 0.622],0.615 [0.613 - 0.617],0.135 [0.132 - 0.137],0.230 [0.224 - 0.236],0.221 [0.218 - 0.224]
Demographic,0.687 [0.684 - 0.691],0.634 [0.632 - 0.637],0.635 [0.629 - 0.641],0.634 [0.632 - 0.637],0.145 [0.142 - 0.147],0.269 [0.262 - 0.276],0.235 [0.232 - 0.239]
Metabolite+Demographic,0.707 [0.703 - 0.711],0.650 [0.648 - 0.652],0.651 [0.643 - 0.657],0.650 [0.648 - 0.652],0.153 [0.151 - 0.156],0.302 [0.294 - 0.307],0.248 [0.245 - 0.252]
