Type,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Metabolite,0.558 [0.506 - 0.594],0.541 [0.539 - 0.543],0.538 [0.462 - 0.613],0.541 [0.539 - 0.543],0.001 [0.001 - 0.001],0.079 [0.003 - 0.153],0.001 [0.001 - 0.002]
Demographic,0.556 [0.506 - 0.605],0.546 [0.544 - 0.548],0.551 [0.443 - 0.655],0.546 [0.544 - 0.548],0.001 [0.001 - 0.001],0.097 [-0.012 - 0.200],0.001 [0.001 - 0.002]
Metabolite+Demographic,0.578 [0.511 - 0.623],0.561 [0.560 - 0.564],0.568 [0.454 - 0.651],0.561 [0.560 - 0.564],0.001 [0.001 - 0.001],0.130 [0.016 - 0.213],0.001 [0.001 - 0.002]
