Type,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Metabolite,0.484 [0.429 - 0.539],0.482 [0.480 - 0.485],0.473 [0.392 - 0.573],0.482 [0.480 - 0.485],0.001 [0.000 - 0.001],-0.045 [-0.127 - 0.056],0.001 [0.001 - 0.002]
Demographic,0.537 [0.485 - 0.585],0.560 [0.558 - 0.562],0.559 [0.475 - 0.653],0.560 [0.558 - 0.562],0.001 [0.001 - 0.001],0.120 [0.034 - 0.214],0.002 [0.001 - 0.002]
Metabolite+Demographic,0.494 [0.440 - 0.558],0.484 [0.482 - 0.486],0.481 [0.382 - 0.587],0.484 [0.482 - 0.486],0.001 [0.000 - 0.001],-0.036 [-0.135 - 0.069],0.001 [0.001 - 0.002]
