Type,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Metabolite,0.606 [0.596 - 0.616],0.571 [0.569 - 0.573],0.572 [0.555 - 0.588],0.571 [0.569 - 0.573],0.028 [0.026 - 0.029],0.143 [0.126 - 0.159],0.053 [0.050 - 0.055]
Demographic,0.691 [0.682 - 0.702],0.645 [0.643 - 0.648],0.646 [0.630 - 0.665],0.645 [0.643 - 0.648],0.037 [0.036 - 0.039],0.291 [0.275 - 0.310],0.070 [0.068 - 0.073]
Metabolite+Demographic,0.692 [0.684 - 0.703],0.645 [0.643 - 0.647],0.645 [0.628 - 0.663],0.645 [0.642 - 0.647],0.037 [0.036 - 0.038],0.290 [0.273 - 0.308],0.070 [0.067 - 0.073]
