Type,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Metabolite,0.564 [0.547 - 0.581],0.546 [0.544 - 0.548],0.544 [0.514 - 0.575],0.546 [0.544 - 0.548],0.007 [0.006 - 0.007],0.090 [0.059 - 0.120],0.013 [0.012 - 0.014]
Demographic,0.604 [0.589 - 0.620],0.576 [0.574 - 0.578],0.577 [0.552 - 0.600],0.576 [0.574 - 0.578],0.007 [0.007 - 0.008],0.154 [0.128 - 0.176],0.015 [0.014 - 0.015]
Metabolite+Demographic,0.605 [0.592 - 0.623],0.576 [0.574 - 0.579],0.573 [0.553 - 0.601],0.576 [0.575 - 0.579],0.007 [0.007 - 0.008],0.149 [0.128 - 0.178],0.015 [0.014 - 0.016]
