Type,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Metabolite,0.560 [0.544 - 0.572],0.535 [0.533 - 0.538],0.537 [0.511 - 0.558],0.535 [0.533 - 0.538],0.009 [0.009 - 0.010],0.073 [0.046 - 0.094],0.018 [0.017 - 0.019]
Demographic,0.638 [0.627 - 0.650],0.600 [0.597 - 0.602],0.598 [0.575 - 0.624],0.600 [0.597 - 0.602],0.012 [0.011 - 0.013],0.197 [0.175 - 0.222],0.023 [0.022 - 0.025]
Metabolite+Demographic,0.638 [0.625 - 0.648],0.598 [0.595 - 0.599],0.595 [0.575 - 0.621],0.598 [0.595 - 0.600],0.012 [0.011 - 0.013],0.193 [0.172 - 0.217],0.023 [0.021 - 0.025]
