Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
Creatinine,"0.584 [0.445,0.724]",5.745e-11,***,Creatinine
Total-PL,"0.521 [0.390,0.652]",1.549e-09,***,Total-Phospholipids in Lipoprotein Particles
SM,"0.513 [0.376,0.650]",5.268e-08,***,Sphingomyelins
Phosphoglyc,"0.513 [0.379,0.646]",1.043e-08,***,Phosphoglycerides
PC,"0.512 [0.376,0.648]",3.237e-08,***,Phosphatidylcholines
Cholines,"0.510 [0.376,0.644]",2.299e-08,***,Total-Cholines
XS-VLDL-P,"0.498 [0.363,0.634]",1.391e-07,***,Concentration of Very Small VLDL Particles
SFA,"0.496 [0.372,0.620]",9.025e-10,***,Saturated Fatty Acids
XS-VLDL-L,"0.496 [0.361,0.630]",1.272e-07,***,Total-Lipids in Very Small VLDL
Total-L,"0.493 [0.367,0.619]",4.092e-09,***,Total-Lipids in Lipoprotein Particles
XS-VLDL-C,"0.492 [0.355,0.630]",5.057e-07,***,Cholesterol in Very Small VLDL
XS-VLDL-FC,"0.491 [0.355,0.627]",3.773e-07,***,Free Cholesterol in Very Small VLDL
XS-VLDL-CE,"0.488 [0.349,0.626]",1.271e-06,***,Cholesteryl Esters in Very Small VLDL
IDL-L,"0.481 [0.350,0.613]",1.659e-07,***,Total-Lipids in IDL
SFA%,"0.481 [0.359,0.603]",2.330e-09,***,Saturated Fatty Acids to Total-Fatty Acids percentage
IDL-CE,"0.480 [0.347,0.613]",3.221e-07,***,Cholesteryl Esters in IDL
Remnant-C,"0.473 [0.344,0.602]",1.521e-07,***,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
Total-FC,"0.468 [0.339,0.598]",3.129e-07,***,Total-Free Cholesterol
S-HDL-FC,"0.467 [0.335,0.598]",8.937e-07,***,Free Cholesterol in Small HDL
IDL-C,"0.466 [0.334,0.599]",1.025e-06,***,Cholesterol in IDL
IDL-P,"0.466 [0.331,0.601]",2.762e-06,***,Concentration of IDL Particles
XS-VLDL-PL,"0.463 [0.329,0.598]",3.868e-06,***,Phospholipids in Very Small VLDL
IDL-PL,"0.463 [0.328,0.598]",4.070e-06,***,Phospholipids in IDL
Total-C,"0.459 [0.331,0.588]",5.555e-07,***,Total-Cholesterol
Total-CE,"0.458 [0.329,0.588]",8.034e-07,***,Total-Esterified Cholesterol
VLDL-P,"0.450 [0.319,0.582]",4.514e-06,***,Concentration of VLDL Particles
Non-HDL-C,"0.445 [0.317,0.572]",1.859e-06,***,Total-Cholesterol Minus HDL-C
VLDL-CE,"0.440 [0.308,0.572]",1.474e-05,***,Cholesteryl Esters in VLDL
L-LDL-PL,"0.438 [0.307,0.568]",1.048e-05,***,Phospholipids in Large LDL
VLDL-C,"0.437 [0.306,0.569]",1.598e-05,***,VLDL Cholesterol
M-VLDL-PL,"0.436 [0.305,0.567]",1.450e-05,***,Phospholipids in Medium VLDL
S-VLDL-PL,"0.434 [0.302,0.566]",2.595e-05,***,Phospholipids in Small VLDL
M-VLDL-FC,"0.432 [0.301,0.564]",2.641e-05,***,Free Cholesterol in Medium VLDL
Total-FA,"0.431 [0.306,0.556]",2.869e-06,***,Total-Fatty Acids
IDL-FC,"0.430 [0.296,0.564]",6.906e-05,***,Free Cholesterol in IDL
S-VLDL-L,"0.429 [0.297,0.561]",4.741e-05,***,Total-Lipids in Small VLDL
M-LDL-CE,"0.429 [0.300,0.557]",1.496e-05,***,Cholesteryl Esters in Medium LDL
S-VLDL-C,"0.428 [0.295,0.561]",7.070e-05,***,Cholesterol in Small VLDL
L-LDL-L,"0.427 [0.298,0.555]",1.545e-05,***,Total-Lipids in Large LDL
M-VLDL-L,"0.426 [0.296,0.556]",3.047e-05,***,Total-Lipids in Medium VLDL
S-VLDL-FC,"0.426 [0.294,0.558]",5.501e-05,***,Free Cholesterol in Small VLDL
S-VLDL-CE,"0.426 [0.292,0.560]",1.208e-04,***,Cholesteryl Esters in Small VLDL
LDL-PL,"0.426 [0.296,0.555]",2.509e-05,***,Phospholipids in LDL
M-VLDL-P,"0.424 [0.293,0.555]",4.864e-05,***,Concentration of Medium VLDL Particles
M-LDL-L,"0.423 [0.295,0.552]",2.617e-05,***,Total-Lipids in Medium LDL
VLDL-FC,"0.423 [0.292,0.555]",6.480e-05,***,Free Cholesterol in VLDL
S-HDL-PL,"0.423 [0.291,0.555]",7.267e-05,***,Phospholipids in Small HDL
LDL-L,"0.422 [0.295,0.550]",1.869e-05,***,Total-Lipids in LDL
ApoB,"0.422 [0.292,0.551]",4.227e-05,***,Apolipoprotein B
LDL-CE,"0.421 [0.294,0.549]",2.306e-05,***,Cholesteryl Esters in LDL
S-HDL-L,"0.421 [0.289,0.552]",8.039e-05,***,Total-Lipids in Small HDL
M-LDL-C,"0.420 [0.291,0.549]",3.741e-05,***,Cholesterol in Medium LDL
Total-P,"0.419 [0.280,0.559]",8.827e-04,***,Total-Concentration of Lipoprotein Particles
L-LDL-CE,"0.417 [0.288,0.546]",4.924e-05,***,Cholesteryl Esters in Large LDL
M-LDL-PL,"0.414 [0.285,0.544]",9.257e-05,***,Phospholipids in Medium LDL
LDL-C,"0.412 [0.285,0.540]",5.429e-05,***,LDL Cholesterol
L-LDL-C,"0.412 [0.283,0.540]",7.644e-05,***,Cholesterol in Large LDL
M-HDL-TG,"0.411 [0.277,0.544]",3.478e-04,***,Triglycerides in Medium HDL
L-VLDL-CE,"0.410 [0.276,0.544]",4.472e-04,***,Cholesteryl Esters in Large VLDL
VLDL-PL,"0.410 [0.278,0.541]",2.198e-04,***,Phospholipids in VLDL
Clinical LDL-C,"0.406 [0.279,0.534]",9.677e-05,***,Clinical LDL Cholesterol
S-VLDL-P,"0.405 [0.273,0.536]",4.036e-04,***,Concentration of Small VLDL Particles
S-LDL-P,"0.403 [0.272,0.533]",3.047e-04,***,Concentration of Small LDL Particles
HDL-TG,"0.401 [0.269,0.532]",5.390e-04,***,Triglycerides in HDL
S-LDL-CE,"0.400 [0.271,0.529]",2.487e-04,***,Cholesteryl Esters in Small LDL
IDL-TG,"0.400 [0.270,0.530]",4.085e-04,***,Triglycerides in IDL
VLDL-L,"0.398 [0.266,0.530]",7.049e-04,***,Total-Lipids in VLDL
L-LDL-FC,"0.396 [0.265,0.526]",6.798e-04,***,Free Cholesterol in Large LDL
LDL-P,"0.395 [0.265,0.526]",6.204e-04,***,Concentration of LDL Particles
M-LDL-P,"0.395 [0.266,0.524]",4.803e-04,***,Concentration of Medium LDL Particles
L-LDL-TG,"0.394 [0.266,0.522]",3.987e-04,***,Triglycerides in Large LDL
