Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
Creatinine,"0.706 [0.646,0.767]",1.004e-110,***,Creatinine
Albumin,"0.619 [0.562,0.675]",8.085e-97,***,Albumin
IDL-CE,"0.520 [0.463,0.578]",3.967e-65,***,Cholesteryl Esters in IDL
IDL-C,"0.518 [0.461,0.575]",2.485e-65,***,Cholesterol in IDL
S-LDL-C%,"0.504 [0.448,0.560]",2.645e-64,***,Cholesterol to Total-Lipids in Small LDL percentage
L-LDL-FC,"0.498 [0.442,0.555]",1.435e-61,***,Free Cholesterol in Large LDL
IDL-FC,"0.498 [0.441,0.556]",1.510e-58,***,Free Cholesterol in IDL
IDL-L,"0.491 [0.434,0.548]",8.965e-59,***,Total-Lipids in IDL
Total-CE,"0.491 [0.435,0.546]",4.952e-61,***,Total-Esterified Cholesterol
L-LDL-C%,"0.484 [0.430,0.539]",3.700e-63,***,Cholesterol to Total-Lipids in Large LDL percentage
Total-C,"0.484 [0.428,0.539]",6.765e-60,***,Total-Cholesterol
LDL-FC,"0.477 [0.421,0.533]",1.971e-57,***,Free Cholesterol in LDL
XS-VLDL-CE%,"0.473 [0.419,0.528]",4.735e-59,***,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
Clinical LDL-C,"0.472 [0.416,0.527]",9.417e-58,***,Clinical LDL Cholesterol
M-LDL-C%,"0.467 [0.412,0.522]",5.012e-56,***,Cholesterol to Total-Lipids in Medium LDL percentage
L-LDL-C,"0.467 [0.411,0.522]",1.393e-55,***,Cholesterol in Large LDL
IDL-PL,"0.466 [0.407,0.524]",8.769e-50,***,Phospholipids in IDL
L-LDL-PL,"0.465 [0.409,0.522]",1.417e-53,***,Phospholipids in Large LDL
XS-VLDL-CE,"0.462 [0.402,0.522]",4.598e-46,***,Cholesteryl Esters in Very Small VLDL
XS-VLDL-C%,"0.461 [0.407,0.516]",9.882e-57,***,Cholesterol to Total-Lipids in Very Small VLDL percentage
M-VLDL-CE,"0.461 [0.404,0.518]",8.495e-51,***,Cholesteryl Esters in Medium VLDL
Total-FC,"0.459 [0.403,0.515]",1.276e-52,***,Total-Free Cholesterol
L-LDL-L,"0.454 [0.398,0.509]",1.406e-52,***,Total-Lipids in Large LDL
IDL-C%,"0.452 [0.398,0.505]",5.729e-56,***,Cholesterol to Total-Lipids in IDL percentage
Non-HDL-C,"0.449 [0.394,0.504]",4.923e-52,***,Total-Cholesterol Minus HDL-C
L-LDL-CE,"0.449 [0.394,0.505]",4.867e-51,***,Cholesteryl Esters in Large LDL
IDL-CE%,"0.446 [0.392,0.500]",8.096e-53,***,Cholesteryl Esters to Total-Lipids in IDL percentage
LDL-C,"0.445 [0.389,0.500]",7.091e-51,***,LDL Cholesterol
IDL-P,"0.441 [0.383,0.499]",1.992e-44,***,Concentration of IDL Particles
S-VLDL-FC%,"0.440 [0.383,0.496]",1.014e-47,***,Free Cholesterol to Total-Lipids in Small VLDL percentage
M-LDL-FC,"0.439 [0.383,0.495]",5.541e-48,***,Free Cholesterol in Medium LDL
DHA,"0.435 [0.376,0.493]",1.589e-42,***,Docosahexaenoic Acid
Remnant-C,"0.435 [0.379,0.490]",2.877e-47,***,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
M-VLDL-C,"0.433 [0.376,0.490]",4.372e-45,***,Cholesterol in Medium VLDL
M-VLDL-PL%,"0.429 [0.373,0.485]",2.582e-45,***,Phospholipids to Total-Lipids in Medium VLDL percentage
LDL-PL,"0.429 [0.373,0.485]",1.011e-45,***,Phospholipids in LDL
XS-VLDL-C,"0.428 [0.369,0.487]",6.538e-40,***,Cholesterol in Very Small VLDL
LDL-L,"0.427 [0.372,0.482]",7.870e-47,***,Total-Lipids in LDL
LDL-CE,"0.425 [0.369,0.480]",6.085e-46,***,Cholesteryl Esters in LDL
SM,"0.422 [0.363,0.482]",6.031e-39,***,Sphingomyelins
M-VLDL-FC%,"0.421 [0.365,0.477]",6.420e-44,***,Free Cholesterol to Total-Lipids in Medium VLDL percentage
S-VLDL-PL%,"0.420 [0.362,0.477]",2.215e-41,***,Phospholipids to Total-Lipids in Small VLDL percentage
S-LDL-FC,"0.409 [0.353,0.465]",6.650e-41,***,Free Cholesterol in Small LDL
L-LDL-FC%,"0.403 [0.347,0.459]",5.023e-40,***,Free Cholesterol to Total-Lipids in Large LDL percentage
M-VLDL-C%,"0.397 [0.342,0.452]",7.945e-40,***,Cholesterol to Total-Lipids in Medium VLDL percentage
S-VLDL-C%,"0.396 [0.341,0.452]",3.962e-39,***,Cholesterol to Total-Lipids in Small VLDL percentage
ApoB,"0.396 [0.340,0.452]",3.165e-38,***,Apolipoprotein B
M-LDL-C,"0.391 [0.335,0.446]",1.086e-37,***,Cholesterol in Medium LDL
L-LDL-P,"0.388 [0.331,0.444]",6.631e-36,***,Concentration of Large LDL Particles
M-HDL-FC%,"0.384 [0.324,0.443]",1.891e-31,***,Free Cholesterol to Total-Lipids in Medium HDL percentage
LDL-P,"0.380 [0.323,0.436]",1.724e-34,***,Concentration of LDL Particles
Total-PL,"0.379 [0.323,0.436]",6.400e-34,***,Total-Phospholipids in Lipoprotein Particles
S-LDL-C,"0.377 [0.321,0.433]",1.177e-34,***,Cholesterol in Small LDL
M-LDL-PL,"0.376 [0.320,0.432]",6.784e-34,***,Phospholipids in Medium LDL
M-LDL-L,"0.375 [0.319,0.431]",1.853e-34,***,Total-Lipids in Medium LDL
