Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
XL-HDL-FC,"30.942 [19.173,42.711]",0.059,,Free Cholesterol in Very Large HDL
L-VLDL-CE%,"24.366 [14.448,34.283]",0.339,,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
M-VLDL-FC%,"23.841 [14.285,33.397]",0.233,,Free Cholesterol to Total-Lipids in Medium VLDL percentage
XS-VLDL-C%,"23.201 [13.971,32.431]",0.193,,Cholesterol to Total-Lipids in Very Small VLDL percentage
XS-VLDL-CE%,"22.824 [13.524,32.123]",0.347,,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
Total-FA,"-6.485 [-15.533,2.562]",1.000,,Total-Fatty Acids
SFA,"-7.297 [-16.265,1.672]",1.000,,Saturated Fatty Acids
M-VLDL-TG%,"-24.575 [-34.596,-14.554]",0.354,,Triglycerides to Total-Lipids in Medium VLDL percentage
L-HDL-PL%,"-24.950 [-34.212,-15.688]",0.030,*,Phospholipids to Total-Lipids in Large HDL percentage
XS-VLDL-TG%,"-25.450 [-34.884,-16.016]",0.029,*,Triglycerides to Total-Lipids in Very Small VLDL percentage
