Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
XL-VLDL-C,"0.248 [0.231,0.265]",9.817e-177,***,Cholesterol in Very Large VLDL
Total-C,"0.248 [0.231,0.264]",5.751e-189,***,Total-Cholesterol
PC,"0.247 [0.230,0.265]",1.277e-168,***,Phosphatidylcholines
M-VLDL-FC,"0.247 [0.231,0.264]",2.844e-180,***,Free Cholesterol in Medium VLDL
L-LDL-C,"0.246 [0.230,0.263]",2.654e-187,***,Cholesterol in Large LDL
DHA%,"0.246 [0.230,0.262]",3.156e-191,***,Docosahexaenoic Acid to Total-Fatty Acids percentage
M-LDL-TG,"0.246 [0.230,0.262]",1.915e-196,***,Triglycerides in Medium LDL
M-HDL-P,"0.246 [0.228,0.265]",4.663e-142,***,Concentration of Medium HDL Particles
VLDL-P,"0.242 [0.225,0.259]",9.750e-172,***,Concentration of VLDL Particles
Total-FC,"0.239 [0.223,0.256]",3.537e-173,***,Total-Free Cholesterol
M-HDL-L,"0.237 [0.219,0.254]",6.001e-146,***,Total-Lipids in Medium HDL
VLDL-TG,"0.234 [0.217,0.251]",2.174e-159,***,Triglycerides in VLDL
XL-VLDL-P,"0.234 [0.217,0.250]",1.706e-161,***,Concentration of Very Large VLDL Particles
Total-TG,"0.233 [0.217,0.250]",4.387e-162,***,Total-Triglycerides
M-HDL-CE,"0.233 [0.215,0.251]",2.920e-132,***,Cholesteryl Esters in Medium HDL
L-VLDL-TG,"0.233 [0.217,0.250]",1.526e-162,***,Triglycerides in Large VLDL
LDL-P,"0.232 [0.216,0.249]",1.457e-161,***,Concentration of LDL Particles
Non-HDL-C,"0.231 [0.215,0.247]",5.929e-167,***,Total-Cholesterol Minus HDL-C
XL-VLDL-FC,"0.231 [0.215,0.248]",7.574e-157,***,Free Cholesterol in Very Large VLDL
VLDL-C,"0.231 [0.214,0.248]",5.148e-157,***,VLDL Cholesterol
M-HDL-C,"0.231 [0.212,0.249]",6.152e-129,***,Cholesterol in Medium HDL
Clinical LDL-C,"0.230 [0.214,0.246]",2.157e-165,***,Clinical LDL Cholesterol
XL-VLDL-L,"0.228 [0.212,0.245]",8.585e-152,***,Total-Lipids in Very Large VLDL
3-Hydroxybutyrate,"0.228 [0.211,0.246]",3.359e-133,***,3-Hydroxybutyrate
LDL-TG,"0.227 [0.211,0.243]",1.336e-162,***,Triglycerides in LDL
S-LDL-P,"0.225 [0.209,0.242]",2.445e-152,***,Concentration of Small LDL Particles
Omega-6,"0.225 [0.209,0.241]",2.062e-155,***,Omega-6 Fatty Acids
LDL-FC,"0.224 [0.207,0.240]",8.634e-152,***,Free Cholesterol in LDL
XL-VLDL-PL,"0.224 [0.207,0.241]",7.821e-147,***,Phospholipids in Very Large VLDL
M-HDL-PL,"0.224 [0.206,0.241]",8.632e-131,***,Phospholipids in Medium HDL
L-LDL-CE%,"0.219 [0.202,0.235]",1.248e-142,***,Cholesteryl Esters to Total-Lipids in Large LDL percentage
M-HDL-FC,"0.217 [0.198,0.236]",9.487e-106,***,Free Cholesterol in Medium HDL
L-LDL-TG,"0.217 [0.200,0.233]",1.750e-144,***,Triglycerides in Large LDL
S-LDL-TG,"0.215 [0.199,0.231]",6.739e-151,***,Triglycerides in Small LDL
L-LDL-FC,"0.214 [0.197,0.231]",1.974e-135,***,Free Cholesterol in Large LDL
ApoB,"0.212 [0.195,0.228]",4.783e-135,***,Apolipoprotein B
XL-VLDL-TG,"0.212 [0.195,0.228]",2.002e-133,***,Triglycerides in Very Large VLDL
L-LDL-P,"0.208 [0.191,0.224]",3.944e-127,***,Concentration of Large LDL Particles
VLDL-CE,"0.207 [0.191,0.224]",1.255e-124,***,Cholesteryl Esters in VLDL
XXL-VLDL-PL%,"0.205 [0.186,0.225]",4.930e-91,***,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
XL-HDL-CE%,"0.205 [0.191,0.220]",3.448e-161,***,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
M-VLDL-C,"0.203 [0.186,0.220]",3.037e-120,***,Cholesterol in Medium VLDL
Lactate,"0.199 [0.182,0.216]",7.314e-113,***,Lactate
XXL-VLDL-FC,"0.197 [0.181,0.213]",1.504e-119,***,Free Cholesterol in Chylomicrons and Extremely Large VLDL
XXL-VLDL-C,"0.197 [0.181,0.213]",5.539e-117,***,Cholesterol in Chylomicrons and Extremely Large VLDL
MUFA,"0.194 [0.178,0.210]",2.999e-121,***,Monounsaturated Fatty Acids
XXL-VLDL-CE,"0.192 [0.176,0.209]",1.124e-110,***,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL
XS-VLDL-TG,"0.191 [0.175,0.208]",3.495e-108,***,Triglycerides in Very Small VLDL
Remnant-C,"0.189 [0.172,0.205]",3.059e-107,***,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
M-HDL-TG,"0.188 [0.171,0.205]",5.221e-100,***,Triglycerides in Medium HDL
HDL-TG,"0.188 [0.171,0.205]",1.854e-102,***,Triglycerides in HDL
S-LDL-FC,"0.187 [0.171,0.204]",4.011e-104,***,Free Cholesterol in Small LDL
S-LDL-PL,"0.186 [0.170,0.202]",8.184e-104,***,Phospholipids in Small LDL
Glu-lactate,"0.185 [0.169,0.201]",4.559e-107,***,Glucose-lactate
XXL-VLDL-PL,"0.183 [0.167,0.199]",2.445e-102,***,Phospholipids in Chylomicrons and Extremely Large VLDL
HDL-L,"0.178 [0.159,0.196]",2.101e-72,***,Total-Lipids in HDL
Unsaturation,"0.177 [0.160,0.193]",2.677e-90,***,Degree of Unsaturation
XXL-VLDL-P,"0.167 [0.151,0.183]",2.149e-86,***,Concentration of Chylomicrons and Extremely Large VLDL Particles
HDL-CE,"0.165 [0.146,0.185]",3.663e-57,***,Cholesteryl Esters in HDL
IDL-TG,"0.165 [0.148,0.181]",2.107e-79,***,Triglycerides in IDL
HDL-PL,"0.164 [0.145,0.182]",4.579e-62,***,Phospholipids in HDL
L-HDL-TG%,"0.162 [0.145,0.178]",1.892e-78,***,Triglycerides to Total-Lipids in Large HDL percentage
XXL-VLDL-L,"0.161 [0.145,0.178]",5.063e-78,***,Total-Lipids in Chylomicrons and Extremely Large VLDL
M-VLDL-CE,"0.161 [0.144,0.178]",2.262e-73,***,Cholesteryl Esters in Medium VLDL
HDL-C,"0.158 [0.139,0.178]",4.880e-52,***,HDL Cholesterol
XL-HDL-FC%,"0.158 [0.140,0.176]",1.288e-61,***,Free Cholesterol to Total-Lipids in Very Large HDL percentage
Acetone,"0.152 [0.136,0.168]",1.043e-70,***,Acetone
