Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
XL-VLDL-C%,"0.799 [0.775,0.823]",0.000e+00,***,Cholesterol to Total-Lipids in Very Large VLDL percentage
XL-VLDL-CE%,"0.798 [0.774,0.822]",0.000e+00,***,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
L-VLDL-CE%,"0.700 [0.677,0.724]",0.000e+00,***,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
L-LDL-FC%,"0.694 [0.672,0.715]",0.000e+00,***,Free Cholesterol to Total-Lipids in Large LDL percentage
S-VLDL-FC%,"0.688 [0.666,0.710]",0.000e+00,***,Free Cholesterol to Total-Lipids in Small VLDL percentage
S-VLDL-PL%,"0.681 [0.659,0.704]",0.000e+00,***,Phospholipids to Total-Lipids in Small VLDL percentage
S-VLDL-C%,"0.668 [0.646,0.689]",0.000e+00,***,Cholesterol to Total-Lipids in Small VLDL percentage
M-VLDL-C%,"0.658 [0.637,0.680]",0.000e+00,***,Cholesterol to Total-Lipids in Medium VLDL percentage
XL-VLDL-FC%,"0.639 [0.614,0.664]",0.000e+00,***,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
M-VLDL-FC%,"0.639 [0.617,0.661]",0.000e+00,***,Free Cholesterol to Total-Lipids in Medium VLDL percentage
XS-VLDL-C%,"0.637 [0.615,0.658]",0.000e+00,***,Cholesterol to Total-Lipids in Very Small VLDL percentage
Omega-6%,"0.636 [0.615,0.658]",0.000e+00,***,Omega-6 Fatty Acids to Total-Fatty Acids percentage
LA%,"0.632 [0.610,0.654]",0.000e+00,***,Linoleic Acid to Total-Fatty Acids percentage
M-LDL-FC%,"0.631 [0.610,0.653]",0.000e+00,***,Free Cholesterol to Total-Lipids in Medium LDL percentage
L-VLDL-C%,"0.631 [0.607,0.654]",0.000e+00,***,Cholesterol to Total-Lipids in Large VLDL percentage
M-VLDL-CE%,"0.627 [0.606,0.648]",0.000e+00,***,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
XS-VLDL-CE%,"0.617 [0.595,0.638]",0.000e+00,***,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
S-VLDL-CE%,"0.616 [0.594,0.638]",0.000e+00,***,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
S-HDL-C%,"0.606 [0.584,0.628]",0.000e+00,***,Cholesterol to Total-Lipids in Small HDL percentage
S-LDL-FC%,"0.601 [0.580,0.622]",0.000e+00,***,Free Cholesterol to Total-Lipids in Small LDL percentage
PUFA/MUFA,"0.592 [0.570,0.614]",0.000e+00,***,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
XS-VLDL-FC%,"0.586 [0.566,0.607]",0.000e+00,***,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
S-HDL-CE%,"0.583 [0.561,0.605]",0.000e+00,***,Cholesteryl Esters to Total-Lipids in Small HDL percentage
M-VLDL-PL%,"0.564 [0.542,0.587]",0.000e+00,***,Phospholipids to Total-Lipids in Medium VLDL percentage
XXL-VLDL-C%,"0.560 [0.537,0.584]",0.000e+00,***,Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
M-HDL-CE%,"0.554 [0.532,0.575]",0.000e+00,***,Cholesteryl Esters to Total-Lipids in Medium HDL percentage
M-HDL-C%,"0.548 [0.526,0.571]",0.000e+00,***,Cholesterol to Total-Lipids in Medium HDL percentage
PUFA%,"0.540 [0.519,0.561]",0.000e+00,***,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
IDL-FC%,"0.537 [0.517,0.558]",0.000e+00,***,Free Cholesterol to Total-Lipids in IDL percentage
XXL-VLDL-CE%,"0.535 [0.511,0.559]",0.000e+00,***,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
L-HDL-CE%,"0.532 [0.512,0.553]",0.000e+00,***,Cholesteryl Esters to Total-Lipids in Large HDL percentage
IDL-C%,"0.520 [0.499,0.542]",0.000e+00,***,Cholesterol to Total-Lipids in IDL percentage
M-LDL-C%,"0.517 [0.496,0.539]",0.000e+00,***,Cholesterol to Total-Lipids in Medium LDL percentage
L-LDL-C%,"0.510 [0.489,0.532]",0.000e+00,***,Cholesterol to Total-Lipids in Large LDL percentage
L-HDL-C%,"0.508 [0.487,0.529]",0.000e+00,***,Cholesterol to Total-Lipids in Large HDL percentage
S-LDL-C%,"0.490 [0.468,0.512]",0.000e+00,***,Cholesterol to Total-Lipids in Small LDL percentage
XXL-VLDL-FC%,"0.486 [0.462,0.510]",0.000e+00,***,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
