Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
Lactate,"0.658 [0.639,0.677]",0.000e+00,***,Lactate
XL-HDL-FC%,"0.420 [0.400,0.440]",0.000e+00,***,Free Cholesterol to Total-Lipids in Very Large HDL percentage
XL-VLDL-CE,"0.326 [0.307,0.345]",6.194e-237,***,Cholesteryl Esters in Very Large VLDL
L-VLDL-PL%,"0.324 [0.300,0.347]",8.549e-155,***,Phospholipids to Total-Lipids in Large VLDL percentage
ApoB/ApoA1,"0.322 [0.303,0.340]",1.818e-242,***,Apolipoprotein B to Apolipoprotein A1 ratio
VLDL-size,"0.318 [0.298,0.338]",1.777e-209,***,Average Diameter for VLDL Particles
XL-VLDL-C,"0.312 [0.293,0.331]",1.376e-219,***,Cholesterol in Very Large VLDL
L-VLDL-FC,"0.309 [0.290,0.329]",3.207e-214,***,Free Cholesterol in Large VLDL
XL-HDL-TG%,"0.309 [0.290,0.328]",1.776e-213,***,Triglycerides to Total-Lipids in Very Large HDL percentage
L-VLDL-C,"0.308 [0.289,0.328]",8.009e-211,***,Cholesterol in Large VLDL
M-LDL-CE,"0.305 [0.287,0.324]",3.750e-223,***,Cholesteryl Esters in Medium LDL
TG/PG,"0.304 [0.284,0.323]",2.809e-200,***,Triglycerides to Phosphoglycerides ratio
S-LDL-CE,"0.302 [0.284,0.321]",3.217e-219,***,Cholesteryl Esters in Small LDL
M-LDL-L,"0.301 [0.282,0.319]",2.051e-216,***,Total-Lipids in Medium LDL
L-VLDL-L,"0.299 [0.280,0.318]",5.184e-201,***,Total-Lipids in Large VLDL
L-VLDL-PL,"0.299 [0.279,0.318]",1.573e-199,***,Phospholipids in Large VLDL
M-LDL-PL,"0.297 [0.279,0.316]",2.866e-207,***,Phospholipids in Medium LDL
S-LDL-L,"0.297 [0.279,0.316]",2.036e-211,***,Total-Lipids in Small LDL
M-LDL-C,"0.297 [0.278,0.315]",1.037e-210,***,Cholesterol in Medium LDL
S-LDL-C,"0.294 [0.276,0.313]",2.188e-206,***,Cholesterol in Small LDL
VLDL-L,"0.293 [0.275,0.312]",9.615e-198,***,Total-Lipids in VLDL
S-LDL-P,"0.293 [0.275,0.312]",3.156e-202,***,Concentration of Small LDL Particles
L-VLDL-CE,"0.293 [0.274,0.312]",1.978e-189,***,Cholesteryl Esters in Large VLDL
VLDL-FC,"0.289 [0.270,0.308]",5.255e-192,***,Free Cholesterol in VLDL
M-LDL-P,"0.288 [0.270,0.307]",4.328e-198,***,Concentration of Medium LDL Particles
M-VLDL-L,"0.287 [0.269,0.306]",6.635e-193,***,Total-Lipids in Medium VLDL
VLDL-PL,"0.286 [0.267,0.305]",5.437e-189,***,Phospholipids in VLDL
L-HDL-TG%,"0.284 [0.266,0.303]",1.033e-194,***,Triglycerides to Total-Lipids in Large HDL percentage
XL-VLDL-L,"0.283 [0.264,0.302]",4.665e-183,***,Total-Lipids in Very Large VLDL
XL-VLDL-FC,"0.283 [0.264,0.302]",4.049e-184,***,Free Cholesterol in Very Large VLDL
