Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
Ile,"4.684 [4.399,4.970]",6.230e-221,***,Isoleucine
Omega-6/Omega-3,"3.850 [3.567,4.133]",4.925e-151,***,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
MUFA%,"3.519 [3.231,3.807]",4.659e-121,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
Total-BCAA,"3.299 [3.003,3.596]",7.372e-100,***,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
Leu,"3.095 [2.804,3.386]",6.917e-91,***,Leucine
S-HDL-PL,"3.010 [2.722,3.299]",1.490e-87,***,Phospholipids in Small HDL
MUFA,"2.969 [2.696,3.243]",1.065e-94,***,Monounsaturated Fatty Acids
S-HDL-L,"2.862 [2.574,3.149]",2.459e-79,***,Total-Lipids in Small HDL
XL-VLDL-TG%,"2.688 [2.357,3.019]",1.158e-51,***,Triglycerides to Total-Lipids in Very Large VLDL percentage
Phe,"2.685 [2.397,2.972]",3.312e-69,***,Phenylalanine
VLDL-size,"2.659 [2.356,2.963]",1.150e-60,***,Average Diameter for VLDL Particles
LA,"2.616 [2.337,2.896]",1.066e-69,***,Linoleic Acid
IDL-CE%,"2.485 [2.210,2.761]",1.849e-64,***,Cholesteryl Esters to Total-Lipids in IDL percentage
Val,"2.470 [2.172,2.769]",1.290e-53,***,Valine
Omega-6,"2.454 [2.173,2.735]",3.204e-60,***,Omega-6 Fatty Acids
M-HDL-PL,"2.438 [2.133,2.743]",6.295e-50,***,Phospholipids in Medium HDL
S-HDL-P,"2.402 [2.113,2.690]",2.926e-54,***,Concentration of Small HDL Particles
L-VLDL-TG%,"2.372 [2.063,2.680]",7.210e-46,***,Triglycerides to Total-Lipids in Large VLDL percentage
Total-FA,"2.339 [2.067,2.612]",6.368e-58,***,Total-Fatty Acids
XXL-VLDL-TG,"2.315 [2.038,2.593]",9.023e-55,***,Triglycerides in Chylomicrons and Extremely Large VLDL
S-HDL-FC,"2.290 [2.001,2.579]",4.353e-49,***,Free Cholesterol in Small HDL
S-HDL-C,"2.289 [2.002,2.576]",1.333e-49,***,Cholesterol in Small HDL
PC,"2.287 [1.990,2.585]",7.364e-46,***,Phosphatidylcholines
XXL-VLDL-L,"2.277 [1.996,2.558]",2.668e-51,***,Total-Lipids in Chylomicrons and Extremely Large VLDL
Phosphoglyc,"2.252 [1.960,2.544]",2.762e-46,***,Phosphoglycerides
M-HDL-L,"2.228 [1.922,2.534]",7.012e-41,***,Total-Lipids in Medium HDL
SFA,"2.205 [1.934,2.476]",6.641e-52,***,Saturated Fatty Acids
S-HDL-CE,"2.196 [1.908,2.485]",6.445e-45,***,Cholesteryl Esters in Small HDL
L-HDL-PL%,"2.194 [1.917,2.471]",4.800e-49,***,Phospholipids to Total-Lipids in Large HDL percentage
XXL-VLDL-P,"2.179 [1.901,2.456]",4.467e-48,***,Concentration of Chylomicrons and Extremely Large VLDL Particles
XL-VLDL-TG,"2.142 [1.857,2.426]",1.028e-43,***,Triglycerides in Very Large VLDL
XXL-VLDL-PL,"2.136 [1.856,2.416]",3.523e-45,***,Phospholipids in Chylomicrons and Extremely Large VLDL
