Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
DHA%,"0.156 [0.142,0.170]",1.296e-102,***,Docosahexaenoic Acid to Total-Fatty Acids percentage
Omega-3%,"0.152 [0.138,0.167]",9.988e-92,***,Omega-3 Fatty Acids to Total-Fatty Acids percentage
Unsaturation,"0.149 [0.135,0.164]",5.848e-88,***,Degree of Unsaturation
DHA,"0.141 [0.126,0.156]",8.110e-73,***,Docosahexaenoic Acid
Omega-3,"0.111 [0.096,0.126]",1.671e-44,***,Omega-3 Fatty Acids
PUFA/MUFA,"0.106 [0.092,0.120]",1.964e-43,***,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
L-HDL-CE,"0.105 [0.086,0.124]",2.065e-22,***,Cholesteryl Esters in Large HDL
L-HDL-PL,"0.105 [0.087,0.123]",2.490e-24,***,Phospholipids in Large HDL
L-HDL-P,"0.103 [0.084,0.123]",9.298e-20,***,Concentration of Large HDL Particles
PUFA%,"0.102 [0.088,0.115]",2.429e-43,***,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
L-HDL-C,"0.101 [0.082,0.120]",8.252e-21,***,Cholesterol in Large HDL
L-HDL-L,"0.100 [0.082,0.118]",5.272e-22,***,Total-Lipids in Large HDL
HDL-size,"0.096 [0.078,0.114]",2.368e-20,***,Average Diameter for HDL Particles
L-HDL-FC,"0.090 [0.071,0.110]",9.808e-15,***,Free Cholesterol in Large HDL
HDL-CE,"0.090 [0.074,0.107]",4.045e-21,***,Cholesteryl Esters in HDL
M-HDL-CE,"0.087 [0.071,0.103]",3.158e-22,***,Cholesteryl Esters in Medium HDL
HDL-C,"0.086 [0.069,0.102]",1.339e-18,***,HDL Cholesterol
M-HDL-C,"0.084 [0.069,0.100]",1.690e-20,***,Cholesterol in Medium HDL
XXL-VLDL-FC%,"0.084 [0.069,0.099]",1.451e-21,***,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
M-HDL-P,"0.076 [0.060,0.092]",3.959e-15,***,Concentration of Medium HDL Particles
M-HDL-FC,"0.074 [0.058,0.091]",7.419e-14,***,Free Cholesterol in Medium HDL
M-HDL-C%,"0.072 [0.058,0.086]",7.139e-18,***,Cholesterol to Total-Lipids in Medium HDL percentage
HDL-L,"0.072 [0.056,0.088]",2.703e-13,***,Total-Lipids in HDL
Sc-ala,"0.071 [0.056,0.085]",4.664e-17,***,Spectrometer-corrected alanine
HDL-PL,"0.069 [0.053,0.085]",2.478e-12,***,Phospholipids in HDL
HDL-FC,"0.069 [0.051,0.086]",1.977e-09,***,Free Cholesterol in HDL
M-HDL-L,"0.068 [0.053,0.083]",3.756e-13,***,Total-Lipids in Medium HDL
M-HDL-CE%,"0.066 [0.052,0.080]",1.487e-15,***,Cholesteryl Esters to Total-Lipids in Medium HDL percentage
M-HDL-PL,"0.063 [0.048,0.079]",4.985e-11,***,Phospholipids in Medium HDL
ApoA1,"0.063 [0.048,0.079]",5.768e-10,***,Apolipoprotein A1
XXL-VLDL-PL%,"0.062 [0.045,0.078]",6.506e-08,***,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
XL-HDL-CE,"0.058 [0.038,0.077]",0.002,**,Cholesteryl Esters in Very Large HDL
