Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-LDL-FC%,"0.063 [0.001,0.124]",1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
Remnant-C,"0.034 [-0.029,0.097]",1.000,,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
VLDL-C,"0.015 [-0.048,0.078]",1.000,,VLDL Cholesterol
Total-C,"0.013 [-0.051,0.076]",1.000,,Total-Cholesterol
Total-CE,"0.012 [-0.052,0.076]",1.000,,Total-Esterified Cholesterol
SFA,"-0.020 [-0.080,0.039]",1.000,,Saturated Fatty Acids
Omega-6,"-0.050 [-0.111,0.011]",1.000,,Omega-6 Fatty Acids
M-LDL-TG%,"-0.055 [-0.118,0.008]",1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
PUFA,"-0.066 [-0.127,-0.005]",1.000,,Polyunsaturated Fatty Acids
Omega-3,"-0.091 [-0.152,-0.031]",1.000,,Omega-3 Fatty Acids
