Type,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Metabolite,0.702 [0.672 - 0.729],0.663 [0.661 - 0.665],0.665 [0.623 - 0.714],0.663 [0.661 - 0.665],0.003 [0.003 - 0.004],0.328 [0.284 - 0.378],0.007 [0.006 - 0.008]
Demographic,0.663 [0.638 - 0.689],0.626 [0.624 - 0.628],0.625 [0.580 - 0.672],0.626 [0.624 - 0.628],0.003 [0.002 - 0.003],0.251 [0.205 - 0.298],0.006 [0.005 - 0.006]
Metabolite+Demographic,0.714 [0.688 - 0.740],0.662 [0.661 - 0.664],0.663 [0.628 - 0.716],0.662 [0.661 - 0.664],0.003 [0.003 - 0.004],0.325 [0.289 - 0.378],0.007 [0.006 - 0.008]
