Type,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Metabolite,0.605 [0.596 - 0.614],0.575 [0.573 - 0.577],0.574 [0.560 - 0.592],0.575 [0.573 - 0.577],0.020 [0.019 - 0.021],0.150 [0.134 - 0.169],0.038 [0.036 - 0.040]
Demographic,0.696 [0.688 - 0.705],0.648 [0.646 - 0.651],0.648 [0.631 - 0.664],0.648 [0.646 - 0.651],0.026 [0.025 - 0.028],0.295 [0.279 - 0.312],0.051 [0.049 - 0.053]
Metabolite+Demographic,0.698 [0.689 - 0.706],0.648 [0.645 - 0.650],0.647 [0.629 - 0.664],0.648 [0.646 - 0.650],0.026 [0.025 - 0.028],0.294 [0.277 - 0.313],0.051 [0.048 - 0.053]
