Type,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Metabolite,0.537 [0.480 - 0.603],0.537 [0.534 - 0.539],0.536 [0.437 - 0.648],0.537 [0.534 - 0.539],0.001 [0.000 - 0.001],0.073 [-0.026 - 0.185],0.001 [0.001 - 0.002]
Demographic,0.563 [0.513 - 0.610],0.527 [0.525 - 0.529],0.528 [0.430 - 0.622],0.527 [0.525 - 0.529],0.001 [0.000 - 0.001],0.054 [-0.044 - 0.148],0.001 [0.001 - 0.002]
Metabolite+Demographic,0.541 [0.492 - 0.604],0.545 [0.543 - 0.547],0.548 [0.471 - 0.660],0.545 [0.543 - 0.547],0.001 [0.000 - 0.001],0.092 [0.015 - 0.205],0.001 [0.001 - 0.002]
