Type,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Metabolite,0.619 [0.604 - 0.636],0.584 [0.582 - 0.586],0.583 [0.557 - 0.610],0.584 [0.582 - 0.586],0.009 [0.008 - 0.010],0.167 [0.141 - 0.195],0.018 [0.017 - 0.019]
Demographic,0.578 [0.566 - 0.596],0.556 [0.555 - 0.558],0.558 [0.535 - 0.591],0.556 [0.555 - 0.558],0.008 [0.007 - 0.009],0.115 [0.090 - 0.148],0.016 [0.014 - 0.017]
Metabolite+Demographic,0.637 [0.622 - 0.655],0.588 [0.586 - 0.590],0.588 [0.565 - 0.613],0.588 [0.586 - 0.590],0.009 [0.008 - 0.010],0.176 [0.154 - 0.203],0.018 [0.017 - 0.019]
