Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
S-VLDL-PL,0.56 [0.47-0.66],1.053e-06,***,Phospholipids in Small VLDL
S-VLDL-C,0.55 [0.47-0.65],3.754e-07,***,Cholesterol in Small VLDL
M-LDL-PL,0.55 [0.47-0.64],1.510e-08,***,Phospholipids in Medium LDL
M-LDL-L,0.55 [0.47-0.64],7.955e-10,***,Total-Lipids in Medium LDL
XS-VLDL-P,0.55 [0.46-0.65],3.484e-07,***,Concentration of Very Small VLDL Particles
S-VLDL-PL%,0.55 [0.48-0.63],3.148e-12,***,Phospholipids to Total-Lipids in Small VLDL percentage
XL-HDL-P,0.55 [0.45-0.67],9.757e-04,***,Concentration of Very Large HDL Particles
PUFA,0.54 [0.47-0.63],6.373e-12,***,Polyunsaturated Fatty Acids
M-LDL-CE,0.54 [0.47-0.63],2.865e-09,***,Cholesteryl Esters in Medium LDL
S-LDL-PL,0.54 [0.46-0.63],4.783e-09,***,Phospholipids in Small LDL
VLDL-C,0.54 [0.46-0.63],1.679e-09,***,VLDL Cholesterol
M-LDL-C,0.54 [0.46-0.63],1.941e-10,***,Cholesterol in Medium LDL
XS-VLDL-FC,0.54 [0.45-0.63],4.111e-08,***,Free Cholesterol in Very Small VLDL
LDL-L,0.53 [0.46-0.61],1.497e-13,***,Total-Lipids in LDL
S-LDL-FC,0.53 [0.46-0.62],2.605e-10,***,Free Cholesterol in Small LDL
M-VLDL-P,0.53 [0.44-0.63],8.015e-08,***,Concentration of Medium VLDL Particles
Total-CE,0.53 [0.46-0.60],1.509e-15,***,Total-Esterified Cholesterol
LDL-CE,0.53 [0.46-0.61],3.988e-13,***,Cholesteryl Esters in LDL
LA,0.53 [0.46-0.61],4.243e-14,***,Linoleic Acid
LDL-C,0.52 [0.46-0.60],3.887e-14,***,LDL Cholesterol
Total-C,0.52 [0.46-0.60],3.092e-16,***,Total-Cholesterol
L-LDL-L,0.52 [0.46-0.60],7.066e-14,***,Total-Lipids in Large LDL
M-LDL-FC,0.52 [0.45-0.61],1.039e-10,***,Free Cholesterol in Medium LDL
S-LDL-L,0.52 [0.45-0.61],1.727e-10,***,Total-Lipids in Small LDL
Clinical LDL-C,0.52 [0.45-0.60],2.924e-16,***,Clinical LDL Cholesterol
M-VLDL-PL,0.52 [0.44-0.61],2.385e-09,***,Phospholipids in Medium VLDL
LDL-PL,0.52 [0.45-0.60],2.180e-12,***,Phospholipids in LDL
L-LDL-CE,0.52 [0.45-0.60],3.185e-13,***,Cholesteryl Esters in Large LDL
L-LDL-C,0.52 [0.45-0.60],3.284e-14,***,Cholesterol in Large LDL
S-VLDL-FC,0.52 [0.44-0.61],1.988e-09,***,Free Cholesterol in Small VLDL
S-LDL-CE,0.51 [0.44-0.61],2.269e-10,***,Cholesteryl Esters in Small LDL
Non-HDL-C,0.51 [0.45-0.59],1.836e-16,***,Total-Cholesterol Minus HDL-C
VLDL-CE,0.51 [0.44-0.60],3.773e-11,***,Cholesteryl Esters in VLDL
S-LDL-C,0.51 [0.44-0.60],2.821e-11,***,Cholesterol in Small LDL
M-LDL-P,0.51 [0.43-0.60],9.435e-10,***,Concentration of Medium LDL Particles
LDL-FC,0.51 [0.43-0.59],1.462e-13,***,Free Cholesterol in LDL
L-LDL-PL,0.50 [0.43-0.59],3.034e-13,***,Phospholipids in Large LDL
S-LDL-P,0.50 [0.42-0.60],2.773e-10,***,Concentration of Small LDL Particles
Total-FC,0.50 [0.43-0.58],4.455e-16,***,Total-Free Cholesterol
XS-VLDL-C,0.50 [0.42-0.59],6.215e-12,***,Cholesterol in Very Small VLDL
IDL-L,0.50 [0.43-0.58],3.442e-16,***,Total-Lipids in IDL
ApoB,0.50 [0.43-0.58],9.464e-14,***,Apolipoprotein B
Remnant-C,0.50 [0.43-0.57],2.690e-16,***,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
M-VLDL-FC,0.50 [0.42-0.59],1.128e-10,***,Free Cholesterol in Medium VLDL
L-LDL-FC,0.49 [0.42-0.58],5.563e-14,***,Free Cholesterol in Large LDL
L-LDL-P,0.49 [0.41-0.58],3.540e-11,***,Concentration of Large LDL Particles
LDL-P,0.49 [0.41-0.58],1.991e-11,***,Concentration of LDL Particles
IDL-C,0.49 [0.42-0.57],1.048e-16,***,Cholesterol in IDL
XS-VLDL-CE,0.49 [0.41-0.57],6.487e-13,***,Cholesteryl Esters in Very Small VLDL
IDL-FC,0.49 [0.42-0.57],2.896e-14,***,Free Cholesterol in IDL
IDL-CE,0.48 [0.42-0.56],1.280e-16,***,Cholesteryl Esters in IDL
IDL-PL,0.48 [0.41-0.57],2.030e-14,***,Phospholipids in IDL
M-VLDL-C,0.47 [0.40-0.55],4.446e-14,***,Cholesterol in Medium VLDL
M-VLDL-CE,0.47 [0.40-0.55],1.802e-14,***,Cholesteryl Esters in Medium VLDL
IDL-P,0.47 [0.39-0.55],1.848e-13,***,Concentration of IDL Particles
