Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
L-LDL-TG,0.75 [0.72-0.79],8.334e-32,***,Triglycerides in Large LDL
S-LDL-FC%,0.74 [0.72-0.77],3.787e-68,***,Free Cholesterol to Total-Lipids in Small LDL percentage
Unsaturation,0.74 [0.71-0.77],7.770e-46,***,Degree of Unsaturation
L-HDL-TG,0.74 [0.71-0.77],2.529e-34,***,Triglycerides in Large HDL
L-LDL-CE%,0.73 [0.71-0.76],1.893e-58,***,Cholesteryl Esters to Total-Lipids in Large LDL percentage
XL-HDL-TG,0.73 [0.70-0.76],1.056e-40,***,Triglycerides in Very Large HDL
S-HDL-PL,0.72 [0.69-0.75],2.842e-52,***,Phospholipids in Small HDL
XL-HDL-CE%,0.72 [0.69-0.74],1.764e-74,***,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
DHA,0.71 [0.68-0.75],1.358e-45,***,Docosahexaenoic Acid
M-HDL-PL,0.71 [0.68-0.74],8.235e-52,***,Phospholipids in Medium HDL
PUFA/MUFA,0.71 [0.68-0.74],3.903e-55,***,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
XXL-VLDL-C%,0.71 [0.67-0.74],1.760e-43,***,Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
L-HDL-CE%,0.70 [0.68-0.73],4.921e-112,***,Cholesteryl Esters to Total-Lipids in Large HDL percentage
S-HDL-L,0.70 [0.67-0.73],4.348e-64,***,Total-Lipids in Small HDL
M-HDL-L,0.69 [0.66-0.72],6.565e-66,***,Total-Lipids in Medium HDL
LDL-size,0.69 [0.66-0.71],8.638e-86,***,Average Diameter for LDL Particles
VLDL-L,0.68 [0.66-0.71],3.332e-68,***,Total-Lipids in VLDL
S-HDL-CE,0.68 [0.65-0.71],3.312e-74,***,Cholesteryl Esters in Small HDL
M-LDL-FC%,0.68 [0.66-0.70],4.006e-107,***,Free Cholesterol to Total-Lipids in Medium LDL percentage
