Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
L-VLDL-FC%,0.91 [0.90-0.93],4.179e-39,***,Free Cholesterol to Total-Lipids in Large VLDL percentage
M-HDL-CE,0.91 [0.90-0.92],1.680e-34,***,Cholesteryl Esters in Medium HDL
HDL-size,0.91 [0.90-0.93],6.444e-28,***,Average Diameter for HDL Particles
M-HDL-L,0.91 [0.90-0.92],3.099e-38,***,Total-Lipids in Medium HDL
Omega-3,0.91 [0.89-0.92],3.597e-44,***,Omega-3 Fatty Acids
M-HDL-C,0.90 [0.89-0.91],1.261e-45,***,Cholesterol in Medium HDL
S-LDL-TG,0.90 [0.88-0.91],6.485e-55,***,Triglycerides in Small LDL
XXL-VLDL-C,0.90 [0.88-0.91],7.977e-55,***,Cholesterol in Chylomicrons and Extremely Large VLDL
S-LDL-FC%,0.89 [0.88-0.90],1.916e-70,***,Free Cholesterol to Total-Lipids in Small LDL percentage
VLDL-TG,0.89 [0.88-0.90],3.191e-59,***,Triglycerides in VLDL
Total-TG,0.89 [0.88-0.90],9.173e-61,***,Total-Triglycerides
M-LDL-TG,0.89 [0.88-0.90],7.550e-62,***,Triglycerides in Medium LDL
IDL-TG,0.89 [0.88-0.90],3.683e-62,***,Triglycerides in IDL
S-HDL-C%,0.89 [0.88-0.90],1.203e-68,***,Cholesterol to Total-Lipids in Small HDL percentage
M-HDL-P,0.89 [0.88-0.90],7.667e-55,***,Concentration of Medium HDL Particles
DHA,0.89 [0.88-0.90],2.995e-61,***,Docosahexaenoic Acid
L-HDL-PL,0.89 [0.87-0.90],1.081e-47,***,Phospholipids in Large HDL
S-HDL-PL,0.89 [0.88-0.90],5.353e-69,***,Phospholipids in Small HDL
XL-VLDL-P,0.88 [0.87-0.89],3.983e-69,***,Concentration of Very Large VLDL Particles
XXL-VLDL-CE%,0.88 [0.87-0.89],1.835e-71,***,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
M-LDL-FC%,0.88 [0.87-0.89],1.154e-82,***,Free Cholesterol to Total-Lipids in Medium LDL percentage
LDL-TG,0.88 [0.87-0.89],8.572e-76,***,Triglycerides in LDL
LDL-size,0.88 [0.87-0.89],2.663e-82,***,Average Diameter for LDL Particles
L-VLDL-TG,0.88 [0.87-0.89],8.300e-76,***,Triglycerides in Large VLDL
XL-VLDL-L,0.88 [0.87-0.89],2.385e-75,***,Total-Lipids in Very Large VLDL
L-LDL-TG,0.88 [0.86-0.89],5.512e-82,***,Triglycerides in Large LDL
L-HDL-CE%,0.87 [0.86-0.89],2.187e-95,***,Cholesteryl Esters to Total-Lipids in Large HDL percentage
XXL-VLDL-CE,0.87 [0.86-0.89],1.286e-81,***,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL
XL-HDL-CE%,0.87 [0.86-0.88],9.007e-108,***,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
HDL-PL,0.87 [0.86-0.88],7.174e-79,***,Phospholipids in HDL
XL-HDL-TG,0.87 [0.86-0.88],1.786e-94,***,Triglycerides in Very Large HDL
S-HDL-L,0.87 [0.86-0.88],1.217e-99,***,Total-Lipids in Small HDL
XL-VLDL-PL,0.86 [0.85-0.87],1.538e-103,***,Phospholipids in Very Large VLDL
L-HDL-L,0.86 [0.84-0.87],4.900e-78,***,Total-Lipids in Large HDL
L-VLDL-PL,0.86 [0.85-0.87],7.693e-106,***,Phospholipids in Large VLDL
S-HDL-CE,0.86 [0.85-0.87],1.173e-119,***,Cholesteryl Esters in Small HDL
M-HDL-FC,0.86 [0.84-0.87],2.962e-95,***,Free Cholesterol in Medium HDL
L-VLDL-P,0.85 [0.84-0.87],3.156e-110,***,Concentration of Large VLDL Particles
IDL-FC%,0.85 [0.84-0.86],1.825e-138,***,Free Cholesterol to Total-Lipids in IDL percentage
MUFA,0.85 [0.84-0.86],3.811e-119,***,Monounsaturated Fatty Acids
L-LDL-CE%,0.85 [0.84-0.86],1.801e-142,***,Cholesteryl Esters to Total-Lipids in Large LDL percentage
L-HDL-CE,0.85 [0.83-0.86],7.131e-90,***,Cholesteryl Esters in Large HDL
L-VLDL-L,0.85 [0.83-0.86],1.883e-127,***,Total-Lipids in Large VLDL
M-VLDL-TG,0.84 [0.83-0.85],3.519e-134,***,Triglycerides in Medium VLDL
ApoA1,0.84 [0.83-0.85],2.164e-119,***,Apolipoprotein A1
XL-HDL-PL,0.84 [0.83-0.85],2.768e-99,***,Phospholipids in Very Large HDL
L-HDL-C,0.84 [0.83-0.85],1.104e-98,***,Cholesterol in Large HDL
HDL-L,0.84 [0.83-0.85],3.936e-118,***,Total-Lipids in HDL
XL-VLDL-FC,0.84 [0.83-0.85],5.610e-138,***,Free Cholesterol in Very Large VLDL
S-HDL-C,0.84 [0.83-0.85],5.057e-155,***,Cholesterol in Small HDL
L-HDL-P,0.84 [0.82-0.85],2.854e-101,***,Concentration of Large HDL Particles
L-HDL-C%,0.83 [0.82-0.85],1.537e-174,***,Cholesterol to Total-Lipids in Large HDL percentage
HDL-CE,0.83 [0.82-0.85],4.053e-123,***,Cholesteryl Esters in HDL
L-VLDL-FC,0.83 [0.82-0.84],2.370e-149,***,Free Cholesterol in Large VLDL
S-HDL-P,0.83 [0.82-0.84],2.892e-174,***,Concentration of Small HDL Particles
L-HDL-FC,0.83 [0.81-0.84],7.732e-115,***,Free Cholesterol in Large HDL
L-VLDL-C%,0.82 [0.81-0.83],2.531e-180,***,Cholesterol to Total-Lipids in Large VLDL percentage
HDL-C,0.82 [0.81-0.83],1.147e-147,***,HDL Cholesterol
HDL-P,0.81 [0.80-0.83],5.195e-181,***,Concentration of HDL Particles
M-LDL-CE%,0.81 [0.80-0.82],4.584e-213,***,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
S-HDL-FC,0.80 [0.79-0.82],9.825e-224,***,Free Cholesterol in Small HDL
XL-VLDL-CE%,0.80 [0.79-0.81],5.428e-209,***,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
L-VLDL-CE%,0.80 [0.79-0.81],1.841e-223,***,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
XL-VLDL-PL%,0.80 [0.79-0.81],4.974e-278,***,Phospholipids to Total-Lipids in Very Large VLDL percentage
XL-HDL-L,0.80 [0.79-0.81],1.066e-162,***,Total-Lipids in Very Large HDL
XL-VLDL-FC%,0.80 [0.79-0.81],3.402e-215,***,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
XL-VLDL-C%,0.80 [0.79-0.81],1.385e-217,***,Cholesterol to Total-Lipids in Very Large VLDL percentage
S-VLDL-P,0.79 [0.78-0.80],1.487e-245,***,Concentration of Small VLDL Particles
L-VLDL-C,0.79 [0.78-0.80],2.084e-245,***,Cholesterol in Large VLDL
VLDL-L,0.79 [0.78-0.80],1.419e-265,***,Total-Lipids in VLDL
S-LDL-CE%,0.79 [0.78-0.80],3.106e-287,***,Cholesteryl Esters to Total-Lipids in Small LDL percentage
XL-VLDL-C,0.79 [0.78-0.80],3.235e-251,***,Cholesterol in Very Large VLDL
SFA,0.78 [0.77-0.79],1.283e-284,***,Saturated Fatty Acids
HDL-FC,0.78 [0.77-0.79],2.605e-212,***,Free Cholesterol in HDL
XS-VLDL-FC%,0.78 [0.77-0.79],0.000e+00,***,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
XL-HDL-FC,0.78 [0.77-0.79],8.208e-231,***,Free Cholesterol in Very Large HDL
S-VLDL-CE%,0.77 [0.76-0.78],0.000e+00,***,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
XL-HDL-CE,0.77 [0.76-0.78],6.792e-210,***,Cholesteryl Esters in Very Large HDL
S-VLDL-L,0.77 [0.76-0.78],0.000e+00,***,Total-Lipids in Small VLDL
XL-HDL-C,0.77 [0.76-0.78],3.836e-223,***,Cholesterol in Very Large HDL
Total-FA,0.76 [0.75-0.77],0.000e+00,***,Total-Fatty Acids
Total-P,0.76 [0.75-0.77],0.000e+00,***,Total-Concentration of Lipoprotein Particles
S-HDL-FC%,0.76 [0.75-0.77],0.000e+00,***,Free Cholesterol to Total-Lipids in Small HDL percentage
LA%,0.76 [0.75-0.77],0.000e+00,***,Linoleic Acid to Total-Fatty Acids percentage
VLDL-PL,0.76 [0.75-0.77],0.000e+00,***,Phospholipids in VLDL
L-HDL-FC%,0.76 [0.75-0.77],0.000e+00,***,Free Cholesterol to Total-Lipids in Large HDL percentage
L-VLDL-CE,0.76 [0.75-0.77],0.000e+00,***,Cholesteryl Esters in Large VLDL
XL-HDL-P,0.75 [0.74-0.77],2.808e-246,***,Concentration of Very Large HDL Particles
L-LDL-FC%,0.75 [0.74-0.76],0.000e+00,***,Free Cholesterol to Total-Lipids in Large LDL percentage
XL-VLDL-CE,0.75 [0.74-0.76],0.000e+00,***,Cholesteryl Esters in Very Large VLDL
M-VLDL-CE%,0.75 [0.74-0.76],0.000e+00,***,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
VLDL-P,0.74 [0.73-0.75],0.000e+00,***,Concentration of VLDL Particles
M-HDL-FC%,0.74 [0.73-0.75],0.000e+00,***,Free Cholesterol to Total-Lipids in Medium HDL percentage
ApoB/ApoA1,0.73 [0.72-0.74],0.000e+00,***,Apolipoprotein B to Apolipoprotein A1 ratio
XS-VLDL-PL,0.73 [0.72-0.74],0.000e+00,***,Phospholipids in Very Small VLDL
S-VLDL-C%,0.73 [0.72-0.74],0.000e+00,***,Cholesterol to Total-Lipids in Small VLDL percentage
M-VLDL-C%,0.73 [0.72-0.74],0.000e+00,***,Cholesterol to Total-Lipids in Medium VLDL percentage
VLDL-FC,0.73 [0.72-0.74],0.000e+00,***,Free Cholesterol in VLDL
Phosphoglyc,0.73 [0.72-0.74],0.000e+00,***,Phosphoglycerides
M-VLDL-L,0.72 [0.71-0.73],0.000e+00,***,Total-Lipids in Medium VLDL
