Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
XL-HDL-C,0.72 [0.66-0.78],9.945e-10,***,Cholesterol in Very Large HDL
M-VLDL-CE%,0.71 [0.68-0.74],1.212e-45,***,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
Total-FA,0.71 [0.66-0.75],8.271e-22,***,Total-Fatty Acids
XL-VLDL-FC%,0.70 [0.66-0.75],1.865e-17,***,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
XL-HDL-FC,0.70 [0.65-0.76],2.956e-14,***,Free Cholesterol in Very Large HDL
XL-VLDL-CE%,0.70 [0.65-0.75],1.636e-19,***,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
VLDL-L,0.69 [0.65-0.74],1.289e-22,***,Total-Lipids in VLDL
L-LDL-FC%,0.69 [0.66-0.73],4.122e-34,***,Free Cholesterol to Total-Lipids in Large LDL percentage
S-VLDL-P,0.69 [0.64-0.74],9.543e-20,***,Concentration of Small VLDL Particles
XL-HDL-P,0.69 [0.63-0.75],7.819e-12,***,Concentration of Very Large HDL Particles
L-VLDL-C,0.69 [0.64-0.74],3.561e-20,***,Cholesterol in Large VLDL
XL-VLDL-C%,0.69 [0.64-0.74],5.587e-20,***,Cholesterol to Total-Lipids in Very Large VLDL percentage
Phosphoglyc,0.68 [0.64-0.73],3.632e-26,***,Phosphoglycerides
XL-VLDL-C,0.68 [0.63-0.73],4.106e-21,***,Cholesterol in Very Large VLDL
LA%,0.68 [0.64-0.72],1.874e-33,***,Linoleic Acid to Total-Fatty Acids percentage
S-VLDL-CE%,0.67 [0.63-0.71],1.009e-40,***,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
S-VLDL-L,0.67 [0.62-0.71],1.975e-26,***,Total-Lipids in Small VLDL
M-VLDL-C%,0.66 [0.63-0.70],2.854e-50,***,Cholesterol to Total-Lipids in Medium VLDL percentage
S-HDL-FC%,0.66 [0.62-0.71],2.210e-25,***,Free Cholesterol to Total-Lipids in Small HDL percentage
PC,0.66 [0.62-0.70],5.385e-31,***,Phosphatidylcholines
L-LDL-C%,0.65 [0.62-0.69],3.091e-49,***,Cholesterol to Total-Lipids in Large LDL percentage
M-LDL-C%,0.65 [0.62-0.69],1.351e-58,***,Cholesterol to Total-Lipids in Medium LDL percentage
VLDL-PL,0.65 [0.61-0.70],3.358e-30,***,Phospholipids in VLDL
S-LDL-C%,0.65 [0.62-0.68],9.126e-54,***,Cholesterol to Total-Lipids in Small LDL percentage
Cholines,0.65 [0.61-0.69],7.720e-35,***,Total-Cholines
L-VLDL-CE,0.64 [0.60-0.69],9.363e-29,***,Cholesteryl Esters in Large VLDL
IDL-C%,0.64 [0.61-0.68],1.742e-59,***,Cholesterol to Total-Lipids in IDL percentage
XS-VLDL-CE%,0.63 [0.60-0.67],5.556e-58,***,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
XS-VLDL-C%,0.63 [0.60-0.67],1.467e-57,***,Cholesterol to Total-Lipids in Very Small VLDL percentage
S-VLDL-C%,0.63 [0.60-0.67],3.449e-54,***,Cholesterol to Total-Lipids in Small VLDL percentage
M-VLDL-FC%,0.63 [0.60-0.66],4.094e-59,***,Free Cholesterol to Total-Lipids in Medium VLDL percentage
XL-VLDL-CE,0.63 [0.58-0.67],7.297e-32,***,Cholesteryl Esters in Very Large VLDL
PUFA,0.63 [0.59-0.67],2.038e-42,***,Polyunsaturated Fatty Acids
IDL-CE%,0.63 [0.59-0.66],8.065e-64,***,Cholesteryl Esters to Total-Lipids in IDL percentage
VLDL-P,0.61 [0.57-0.66],9.115e-36,***,Concentration of VLDL Particles
VLDL-FC,0.61 [0.57-0.65],3.414e-39,***,Free Cholesterol in VLDL
XS-VLDL-PL,0.61 [0.57-0.65],9.508e-37,***,Phospholipids in Very Small VLDL
Total-PL,0.61 [0.57-0.65],7.738e-49,***,Total-Phospholipids in Lipoprotein Particles
M-VLDL-L,0.61 [0.57-0.65],2.929e-43,***,Total-Lipids in Medium VLDL
M-VLDL-PL%,0.61 [0.57-0.64],9.223e-74,***,Phospholipids to Total-Lipids in Medium VLDL percentage
S-VLDL-FC%,0.60 [0.57-0.64],3.965e-63,***,Free Cholesterol to Total-Lipids in Small VLDL percentage
Omega-6,0.60 [0.57-0.64],2.217e-50,***,Omega-6 Fatty Acids
SM,0.60 [0.56-0.64],4.693e-46,***,Sphingomyelins
ApoB/ApoA1,0.59 [0.55-0.63],1.046e-46,***,Apolipoprotein B to Apolipoprotein A1 ratio
S-VLDL-PL%,0.59 [0.56-0.63],2.488e-59,***,Phospholipids to Total-Lipids in Small VLDL percentage
Total-L,0.59 [0.55-0.62],1.262e-62,***,Total-Lipids in Lipoprotein Particles
S-VLDL-CE,0.58 [0.54-0.63],1.480e-44,***,Cholesteryl Esters in Small VLDL
S-VLDL-PL,0.58 [0.54-0.63],1.075e-45,***,Phospholipids in Small VLDL
XS-VLDL-L,0.58 [0.54-0.62],1.058e-46,***,Total-Lipids in Very Small VLDL
LA,0.57 [0.54-0.61],6.641e-65,***,Linoleic Acid
VLDL-C,0.57 [0.53-0.61],5.484e-57,***,VLDL Cholesterol
S-VLDL-C,0.56 [0.53-0.61],3.473e-51,***,Cholesterol in Small VLDL
M-VLDL-P,0.56 [0.52-0.61],7.702e-49,***,Concentration of Medium VLDL Particles
XS-VLDL-P,0.56 [0.52-0.60],1.003e-48,***,Concentration of Very Small VLDL Particles
M-VLDL-PL,0.56 [0.52-0.60],5.856e-55,***,Phospholipids in Medium VLDL
XS-VLDL-FC,0.56 [0.52-0.60],6.780e-51,***,Free Cholesterol in Very Small VLDL
M-LDL-L,0.55 [0.52-0.59],1.495e-68,***,Total-Lipids in Medium LDL
M-LDL-CE,0.55 [0.51-0.59],6.144e-65,***,Cholesteryl Esters in Medium LDL
LDL-L,0.54 [0.51-0.58],1.702e-81,***,Total-Lipids in LDL
Total-CE,0.54 [0.51-0.58],1.891e-82,***,Total-Esterified Cholesterol
LDL-CE,0.54 [0.51-0.58],2.302e-77,***,Cholesteryl Esters in LDL
Total-C,0.54 [0.51-0.58],5.502e-85,***,Total-Cholesterol
M-LDL-C,0.54 [0.51-0.58],1.679e-70,***,Cholesterol in Medium LDL
M-LDL-PL,0.54 [0.51-0.58],2.661e-65,***,Phospholipids in Medium LDL
VLDL-CE,0.54 [0.51-0.58],1.216e-64,***,Cholesteryl Esters in VLDL
S-VLDL-FC,0.54 [0.50-0.58],8.640e-59,***,Free Cholesterol in Small VLDL
LDL-C,0.54 [0.51-0.57],1.731e-82,***,LDL Cholesterol
L-LDL-CE,0.54 [0.50-0.57],6.389e-76,***,Cholesteryl Esters in Large LDL
S-LDL-FC,0.54 [0.50-0.57],1.271e-70,***,Free Cholesterol in Small LDL
L-LDL-L,0.54 [0.50-0.57],1.487e-81,***,Total-Lipids in Large LDL
S-LDL-PL,0.53 [0.50-0.57],4.865e-68,***,Phospholipids in Small LDL
Clinical LDL-C,0.53 [0.50-0.56],1.259e-93,***,Clinical LDL Cholesterol
M-VLDL-FC,0.53 [0.50-0.57],2.628e-61,***,Free Cholesterol in Medium VLDL
L-LDL-C,0.53 [0.50-0.57],2.883e-81,***,Cholesterol in Large LDL
S-LDL-L,0.53 [0.50-0.57],1.531e-70,***,Total-Lipids in Small LDL
S-LDL-CE,0.53 [0.49-0.57],1.920e-67,***,Cholesteryl Esters in Small LDL
Non-HDL-C,0.53 [0.50-0.56],5.001e-92,***,Total-Cholesterol Minus HDL-C
M-LDL-FC,0.53 [0.49-0.56],5.290e-72,***,Free Cholesterol in Medium LDL
M-LDL-P,0.53 [0.49-0.57],1.364e-63,***,Concentration of Medium LDL Particles
Total-FC,0.52 [0.49-0.56],8.938e-84,***,Total-Free Cholesterol
S-LDL-C,0.52 [0.49-0.56],7.041e-73,***,Cholesterol in Small LDL
LDL-PL,0.52 [0.49-0.56],1.646e-80,***,Phospholipids in LDL
