Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
HDL-L,0.87 [0.83-0.91],1.262e-04,***,Total-Lipids in HDL
L-LDL-C%,0.86 [0.83-0.90],3.981e-08,***,Cholesterol to Total-Lipids in Large LDL percentage
L-VLDL-CE%,0.86 [0.83-0.90],1.149e-06,***,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
Omega-6%,0.86 [0.83-0.90],4.742e-08,***,Omega-6 Fatty Acids to Total-Fatty Acids percentage
M-VLDL-FC%,0.86 [0.83-0.90],1.435e-08,***,Free Cholesterol to Total-Lipids in Medium VLDL percentage
M-VLDL-CE%,0.86 [0.83-0.89],5.329e-11,***,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
M-LDL-FC%,0.86 [0.83-0.89],9.137e-09,***,Free Cholesterol to Total-Lipids in Medium LDL percentage
XL-VLDL-FC%,0.86 [0.82-0.90],2.257e-06,***,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
L-HDL-CE%,0.86 [0.83-0.89],8.986e-11,***,Cholesteryl Esters to Total-Lipids in Large HDL percentage
S-HDL-FC%,0.86 [0.82-0.89],5.100e-07,***,Free Cholesterol to Total-Lipids in Small HDL percentage
S-VLDL-FC%,0.85 [0.82-0.89],1.473e-09,***,Free Cholesterol to Total-Lipids in Small VLDL percentage
M-VLDL-C%,0.85 [0.82-0.89],6.560e-11,***,Cholesterol to Total-Lipids in Medium VLDL percentage
LA%,0.85 [0.82-0.89],2.468e-09,***,Linoleic Acid to Total-Fatty Acids percentage
S-VLDL-PL%,0.85 [0.82-0.89],2.624e-09,***,Phospholipids to Total-Lipids in Small VLDL percentage
M-HDL-C%,0.85 [0.82-0.89],1.155e-09,***,Cholesterol to Total-Lipids in Medium HDL percentage
XL-VLDL-CE%,0.85 [0.81-0.89],4.199e-08,***,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
L-LDL-FC%,0.85 [0.81-0.88],3.688e-12,***,Free Cholesterol to Total-Lipids in Large LDL percentage
XL-VLDL-C%,0.85 [0.81-0.88],1.671e-08,***,Cholesterol to Total-Lipids in Very Large VLDL percentage
XS-VLDL-C%,0.85 [0.81-0.88],2.721e-12,***,Cholesterol to Total-Lipids in Very Small VLDL percentage
L-HDL-C%,0.84 [0.81-0.88],1.612e-13,***,Cholesterol to Total-Lipids in Large HDL percentage
XS-VLDL-CE%,0.84 [0.81-0.87],1.440e-13,***,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
PUFA%,0.84 [0.80-0.87],1.006e-13,***,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
HDL-FC,0.83 [0.79-0.87],6.571e-09,***,Free Cholesterol in HDL
HDL-CE,0.83 [0.79-0.87],8.798e-10,***,Cholesteryl Esters in HDL
HDL-C,0.83 [0.79-0.87],5.109e-10,***,HDL Cholesterol
Unsaturation,0.82 [0.79-0.86],5.084e-15,***,Degree of Unsaturation
M-HDL-FC%,0.81 [0.78-0.85],2.105e-16,***,Free Cholesterol to Total-Lipids in Medium HDL percentage
L-HDL-PL,0.81 [0.77-0.85],5.058e-12,***,Phospholipids in Large HDL
PUFA/MUFA,0.80 [0.76-0.83],7.981e-21,***,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
HDL-size,0.79 [0.75-0.83],1.482e-14,***,Average Diameter for HDL Particles
XL-HDL-FC,0.79 [0.75-0.83],2.809e-17,***,Free Cholesterol in Very Large HDL
L-HDL-L,0.79 [0.75-0.83],6.043e-15,***,Total-Lipids in Large HDL
XL-HDL-PL,0.77 [0.74-0.82],6.669e-17,***,Phospholipids in Very Large HDL
L-HDL-P,0.77 [0.73-0.82],4.879e-16,***,Concentration of Large HDL Particles
L-HDL-FC,0.77 [0.73-0.81],9.718e-17,***,Free Cholesterol in Large HDL
XL-HDL-P,0.77 [0.73-0.81],3.922e-18,***,Concentration of Very Large HDL Particles
L-HDL-C,0.77 [0.73-0.81],2.316e-18,***,Cholesterol in Large HDL
XL-HDL-L,0.77 [0.73-0.81],9.074e-19,***,Total-Lipids in Very Large HDL
L-HDL-CE,0.77 [0.73-0.81],1.653e-18,***,Cholesteryl Esters in Large HDL
XL-HDL-C,0.75 [0.72-0.79],1.044e-21,***,Cholesterol in Very Large HDL
XL-HDL-CE,0.75 [0.71-0.79],5.649e-22,***,Cholesteryl Esters in Very Large HDL
