Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-VLDL-CE,0.92 [0.89-0.94],1.205e-04,***,Cholesteryl Esters in Medium VLDL
S-VLDL-CE%,0.92 [0.89-0.94],2.076e-05,***,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
L-LDL-PL,0.91 [0.89-0.94],5.640e-05,***,Phospholipids in Large LDL
L-LDL-C,0.91 [0.89-0.94],3.499e-05,***,Cholesterol in Large LDL
S-HDL-FC%,0.91 [0.89-0.94],3.355e-04,***,Free Cholesterol to Total-Lipids in Small HDL percentage
M-LDL-FC,0.91 [0.89-0.94],2.119e-05,***,Free Cholesterol in Medium LDL
DHA%,0.91 [0.89-0.94],1.376e-04,***,Docosahexaenoic Acid to Total-Fatty Acids percentage
Clinical LDL-C,0.91 [0.88-0.93],8.144e-07,***,Clinical LDL Cholesterol
XL-VLDL-FC%,0.91 [0.88-0.94],2.943e-05,***,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
S-HDL-CE%,0.91 [0.88-0.93],2.859e-07,***,Cholesteryl Esters to Total-Lipids in Small HDL percentage
Total-C,0.91 [0.88-0.93],1.376e-06,***,Total-Cholesterol
L-HDL-FC%,0.91 [0.88-0.93],2.214e-07,***,Free Cholesterol to Total-Lipids in Large HDL percentage
S-LDL-FC,0.91 [0.88-0.93],4.072e-07,***,Free Cholesterol in Small LDL
XL-HDL-CE%,0.90 [0.88-0.93],2.976e-08,***,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
XS-VLDL-FC%,0.90 [0.88-0.93],8.125e-09,***,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
L-VLDL-CE%,0.90 [0.88-0.93],1.480e-06,***,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
Total-CE,0.90 [0.88-0.93],1.127e-07,***,Total-Esterified Cholesterol
IDL-L,0.90 [0.88-0.93],1.103e-07,***,Total-Lipids in IDL
HDL-FC,0.90 [0.87-0.93],1.506e-05,***,Free Cholesterol in HDL
LDL-FC,0.90 [0.87-0.92],6.154e-09,***,Free Cholesterol in LDL
HDL-size,0.89 [0.87-0.93],1.385e-05,***,Average Diameter for HDL Particles
IDL-FC%,0.89 [0.87-0.92],2.381e-11,***,Free Cholesterol to Total-Lipids in IDL percentage
L-LDL-FC,0.89 [0.87-0.92],7.814e-10,***,Free Cholesterol in Large LDL
L-HDL-PL,0.89 [0.86-0.92],2.988e-06,***,Phospholipids in Large HDL
S-LDL-C%,0.89 [0.87-0.91],6.412e-13,***,Cholesterol to Total-Lipids in Small LDL percentage
IDL-FC,0.89 [0.86-0.91],7.853e-11,***,Free Cholesterol in IDL
M-HDL-CE%,0.89 [0.86-0.91],1.558e-12,***,Cholesteryl Esters to Total-Lipids in Medium HDL percentage
M-VLDL-PL%,0.89 [0.86-0.91],2.279e-12,***,Phospholipids to Total-Lipids in Medium VLDL percentage
S-HDL-C%,0.89 [0.86-0.91],6.586e-13,***,Cholesterol to Total-Lipids in Small HDL percentage
IDL-CE,0.89 [0.86-0.91],6.507e-12,***,Cholesteryl Esters in IDL
IDL-C,0.88 [0.86-0.91],3.325e-12,***,Cholesterol in IDL
HDL-C,0.88 [0.86-0.91],7.687e-09,***,HDL Cholesterol
XL-HDL-PL,0.88 [0.85-0.91],1.154e-07,***,Phospholipids in Very Large HDL
S-VLDL-C%,0.88 [0.86-0.91],6.081e-14,***,Cholesterol to Total-Lipids in Small VLDL percentage
HDL-CE,0.88 [0.85-0.91],2.136e-09,***,Cholesteryl Esters in HDL
M-LDL-C%,0.88 [0.86-0.90],1.361e-16,***,Cholesterol to Total-Lipids in Medium LDL percentage
