Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
Total-PL,"0.676 [0.527,0.825]",1.203e-13,***,Total-Phospholipids in Lipoprotein Particles
PC,"0.671 [0.522,0.820]",2.338e-13,***,Phosphatidylcholines
Phosphoglyc,"0.668 [0.519,0.817]",3.720e-13,***,Phosphoglycerides
Cholines,"0.654 [0.505,0.804]",2.295e-12,***,Total-Cholines
SFA,"0.616 [0.466,0.765]",1.742e-10,***,Saturated Fatty Acids
Total-L,"0.608 [0.462,0.754]",7.592e-11,***,Total-Lipids in Lipoprotein Particles
Total-P,"0.561 [0.418,0.705]",3.646e-09,***,Total-Concentration of Lipoprotein Particles
S-HDL-FC,"0.560 [0.420,0.699]",1.020e-09,***,Free Cholesterol in Small HDL
SM,"0.556 [0.409,0.702]",2.522e-08,***,Sphingomyelins
Total-CE,"0.555 [0.408,0.703]",3.655e-08,***,Total-Esterified Cholesterol
Total-C,"0.555 [0.407,0.702]",3.713e-08,***,Total-Cholesterol
Total-FA,"0.551 [0.402,0.699]",7.859e-08,***,Total-Fatty Acids
S-HDL-PL,"0.546 [0.408,0.684]",2.192e-09,***,Phospholipids in Small HDL
Total-FC,"0.526 [0.383,0.670]",1.716e-07,***,Total-Free Cholesterol
ApoA1,"0.522 [0.374,0.671]",1.147e-06,***,Apolipoprotein A1
S-HDL-L,"0.522 [0.384,0.659]",2.519e-08,***,Total-Lipids in Small HDL
M-HDL-PL,"0.519 [0.374,0.664]",5.218e-07,***,Phospholipids in Medium HDL
HDL-PL,"0.519 [0.369,0.669]",3.103e-06,***,Phospholipids in HDL
HDL-P,"0.518 [0.375,0.660]",2.502e-07,***,Concentration of HDL Particles
IDL-L,"0.514 [0.370,0.658]",6.501e-07,***,Total-Lipids in IDL
M-HDL-L,"0.512 [0.365,0.659]",2.218e-06,***,Total-Lipids in Medium HDL
IDL-CE,"0.510 [0.367,0.653]",6.035e-07,***,Cholesteryl Esters in IDL
HDL-L,"0.504 [0.351,0.657]",2.206e-05,***,Total-Lipids in HDL
SFA%,"0.502 [0.352,0.652]",1.233e-05,***,Saturated Fatty Acids to Total-Fatty Acids percentage
Creatinine,"0.497 [0.322,0.673]",0.006,**,Creatinine
IDL-C,"0.495 [0.351,0.638]",3.550e-06,***,Cholesterol in IDL
M-HDL-FC,"0.494 [0.349,0.639]",5.710e-06,***,Free Cholesterol in Medium HDL
