Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
L-HDL-PL%,"0.010 [0.009,0.010]",0.000e+00,***,Phospholipids to Total-Lipids in Large HDL percentage
GlycA,"0.008 [0.007,0.008]",0.000e+00,***,Glycoprotein Acetyls
XS-VLDL-TG%,"0.008 [0.007,0.008]",0.000e+00,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
XL-HDL-TG%,"0.007 [0.007,0.008]",3.040e-274,***,Triglycerides to Total-Lipids in Very Large HDL percentage
M-VLDL-TG%,"0.007 [0.006,0.007]",1.736e-292,***,Triglycerides to Total-Lipids in Medium VLDL percentage
MUFA%,"0.007 [0.006,0.007]",1.603e-217,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
XL-VLDL-TG,"0.006 [0.006,0.007]",2.677e-222,***,Triglycerides in Very Large VLDL
IDL-TG%,"0.006 [0.006,0.007]",4.791e-225,***,Triglycerides to Total-Lipids in IDL percentage
TG/PG,"0.006 [0.006,0.007]",7.848e-202,***,Triglycerides to Phosphoglycerides ratio
S-HDL-TG,"0.006 [0.006,0.007]",5.781e-238,***,Triglycerides in Small HDL
VLDL-size,"0.006 [0.006,0.006]",2.149e-203,***,Average Diameter for VLDL Particles
S-LDL-TG%,"0.006 [0.006,0.006]",2.421e-211,***,Triglycerides to Total-Lipids in Small LDL percentage
S-VLDL-TG%,"0.006 [0.005,0.006]",2.035e-226,***,Triglycerides to Total-Lipids in Small VLDL percentage
L-LDL-TG%,"0.006 [0.005,0.006]",1.366e-188,***,Triglycerides to Total-Lipids in Large LDL percentage
VLDL-TG,"0.006 [0.005,0.006]",1.016e-193,***,Triglycerides in VLDL
XXL-VLDL-P,"0.006 [0.005,0.006]",4.958e-178,***,Concentration of Chylomicrons and Extremely Large VLDL Particles
Total-TG,"0.006 [0.005,0.006]",6.958e-194,***,Total-Triglycerides
M-HDL-PL%,"0.006 [0.005,0.006]",2.538e-164,***,Phospholipids to Total-Lipids in Medium HDL percentage
XXL-VLDL-TG,"0.006 [0.005,0.006]",2.653e-173,***,Triglycerides in Chylomicrons and Extremely Large VLDL
XXL-VLDL-PL,"0.006 [0.005,0.006]",2.003e-172,***,Phospholipids in Chylomicrons and Extremely Large VLDL
L-VLDL-TG,"0.006 [0.005,0.006]",9.781e-181,***,Triglycerides in Large VLDL
XXL-VLDL-L,"0.006 [0.005,0.006]",2.280e-169,***,Total-Lipids in Chylomicrons and Extremely Large VLDL
XL-VLDL-TG%,"0.006 [0.005,0.006]",1.217e-229,***,Triglycerides to Total-Lipids in Very Large VLDL percentage
XL-VLDL-P,"0.005 [0.005,0.006]",4.463e-173,***,Concentration of Very Large VLDL Particles
S-VLDL-TG,"0.005 [0.005,0.006]",4.793e-186,***,Triglycerides in Small VLDL
XL-VLDL-L,"0.005 [0.005,0.006]",2.427e-172,***,Total-Lipids in Very Large VLDL
S-LDL-TG,"0.005 [0.005,0.006]",1.826e-162,***,Triglycerides in Small LDL
MUFA,"0.005 [0.005,0.006]",1.489e-162,***,Monounsaturated Fatty Acids
L-HDL-TG%,"0.005 [0.005,0.006]",7.523e-145,***,Triglycerides to Total-Lipids in Large HDL percentage
XXL-VLDL-FC,"0.005 [0.005,0.006]",3.050e-156,***,Free Cholesterol in Chylomicrons and Extremely Large VLDL
M-LDL-TG,"0.005 [0.005,0.006]",4.484e-155,***,Triglycerides in Medium LDL
L-VLDL-P,"0.005 [0.005,0.005]",2.186e-145,***,Concentration of Large VLDL Particles
M-VLDL-TG,"0.005 [0.005,0.005]",6.961e-147,***,Triglycerides in Medium VLDL
XL-VLDL-PL,"0.005 [0.004,0.005]",8.887e-139,***,Phospholipids in Very Large VLDL
XXL-VLDL-C,"0.005 [0.004,0.005]",3.185e-135,***,Cholesterol in Chylomicrons and Extremely Large VLDL
L-VLDL-L,"0.005 [0.004,0.005]",1.483e-142,***,Total-Lipids in Large VLDL
L-VLDL-PL,"0.005 [0.004,0.005]",6.928e-141,***,Phospholipids in Large VLDL
M-LDL-TG%,"0.005 [0.004,0.005]",1.330e-143,***,Triglycerides to Total-Lipids in Medium LDL percentage
LDL-TG,"0.005 [0.004,0.005]",3.836e-133,***,Triglycerides in LDL
S-HDL-PL,"0.005 [0.004,0.005]",2.116e-147,***,Phospholipids in Small HDL
S-HDL-TG%,"0.005 [0.004,0.005]",1.445e-135,***,Triglycerides to Total-Lipids in Small HDL percentage
S-HDL-L,"0.005 [0.004,0.005]",4.848e-147,***,Total-Lipids in Small HDL
XS-VLDL-TG,"0.005 [0.004,0.005]",1.109e-131,***,Triglycerides in Very Small VLDL
L-VLDL-FC,"0.005 [0.004,0.005]",6.179e-123,***,Free Cholesterol in Large VLDL
XL-HDL-FC%,"0.004 [0.004,0.005]",6.163e-85,***,Free Cholesterol to Total-Lipids in Very Large HDL percentage
XXL-VLDL-CE,"0.004 [0.004,0.005]",5.396e-115,***,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL
XL-VLDL-FC,"0.004 [0.004,0.005]",5.280e-115,***,Free Cholesterol in Very Large VLDL
SFA,"0.004 [0.004,0.005]",1.267e-109,***,Saturated Fatty Acids
M-HDL-TG,"0.004 [0.004,0.005]",3.278e-125,***,Triglycerides in Medium HDL
L-LDL-TG,"0.004 [0.004,0.005]",1.714e-112,***,Triglycerides in Large LDL
HDL-TG,"0.004 [0.004,0.004]",7.572e-113,***,Triglycerides in HDL
M-HDL-TG%,"0.004 [0.004,0.004]",1.556e-103,***,Triglycerides to Total-Lipids in Medium HDL percentage
Total-FA,"0.004 [0.004,0.004]",4.377e-92,***,Total-Fatty Acids
VLDL-L,"0.004 [0.003,0.004]",2.942e-90,***,Total-Lipids in VLDL
IDL-TG,"0.004 [0.003,0.004]",1.887e-90,***,Triglycerides in IDL
S-HDL-P,"0.004 [0.003,0.004]",2.350e-95,***,Concentration of Small HDL Particles
S-HDL-FC,"0.004 [0.003,0.004]",4.465e-83,***,Free Cholesterol in Small HDL
S-HDL-C,"0.003 [0.003,0.004]",6.207e-80,***,Cholesterol in Small HDL
XL-VLDL-C,"0.003 [0.003,0.004]",5.375e-71,***,Cholesterol in Very Large VLDL
L-VLDL-C,"0.003 [0.003,0.004]",2.034e-69,***,Cholesterol in Large VLDL
S-HDL-CE,"0.003 [0.003,0.004]",1.051e-71,***,Cholesteryl Esters in Small HDL
SFA%,"0.003 [0.003,0.003]",1.968e-51,***,Saturated Fatty Acids to Total-Fatty Acids percentage
S-VLDL-P,"0.003 [0.003,0.003]",1.765e-58,***,Concentration of Small VLDL Particles
Sc-ala,"0.003 [0.003,0.003]",2.419e-56,***,Spectrometer-corrected alanine
Omega-3,"0.003 [0.003,0.003]",6.092e-53,***,Omega-3 Fatty Acids
VLDL-PL,"0.003 [0.003,0.003]",2.346e-52,***,Phospholipids in VLDL
L-VLDL-TG%,"0.003 [0.003,0.003]",6.722e-63,***,Triglycerides to Total-Lipids in Large VLDL percentage
S-VLDL-L,"0.003 [0.003,0.003]",3.786e-53,***,Total-Lipids in Small VLDL
L-VLDL-PL%,"0.003 [0.002,0.003]",7.365e-48,***,Phospholipids to Total-Lipids in Large VLDL percentage
Glu-lactate,"0.003 [0.002,0.003]",5.372e-36,***,Glucose-lactate
XL-VLDL-CE,"0.002 [0.002,0.003]",3.981e-36,***,Cholesteryl Esters in Very Large VLDL
Ala,"0.002 [0.002,0.003]",3.914e-35,***,Alanine
VLDL-FC,"0.002 [0.002,0.003]",3.925e-29,***,Free Cholesterol in VLDL
M-VLDL-L,"0.002 [0.002,0.003]",6.780e-29,***,Total-Lipids in Medium VLDL
M-LDL-CE%,"0.002 [0.002,0.003]",1.543e-29,***,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
L-VLDL-CE,"0.002 [0.002,0.002]",3.903e-28,***,Cholesteryl Esters in Large VLDL
VLDL-P,"0.002 [0.002,0.002]",6.235e-26,***,Concentration of VLDL Particles
Ile,"0.002 [0.002,0.002]",4.152e-24,***,Isoleucine
XXL-VLDL-TG%,"0.002 [0.002,0.002]",4.153e-28,***,Triglycerides to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
M-HDL-PL,"0.002 [0.002,0.002]",8.629e-20,***,Phospholipids in Medium HDL
XXL-VLDL-PL%,"0.002 [0.002,0.002]",6.255e-27,***,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
XL-HDL-C%,"0.002 [0.001,0.002]",3.038e-13,***,Cholesterol to Total-Lipids in Very Large HDL percentage
Total-BCAA,"0.002 [0.001,0.002]",7.583e-16,***,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
Phosphoglyc,"0.002 [0.001,0.002]",4.495e-14,***,Phosphoglycerides
PUFA,"0.002 [0.001,0.002]",3.576e-14,***,Polyunsaturated Fatty Acids
Creatinine,"0.002 [0.001,0.002]",1.303e-08,***,Creatinine
Val,"0.002 [0.001,0.002]",5.460e-14,***,Valine
XL-HDL-TG,"0.002 [0.001,0.002]",7.783e-14,***,Triglycerides in Very Large HDL
XS-VLDL-PL%,"0.002 [0.001,0.002]",3.757e-12,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
Lactate,"0.002 [0.001,0.002]",4.498e-13,***,Lactate
S-LDL-CE%,"0.002 [0.001,0.002]",1.960e-12,***,Cholesteryl Esters to Total-Lipids in Small LDL percentage
Tyr,"0.001 [0.001,0.002]",2.657e-11,***,Tyrosine
L-LDL-CE%,"0.001 [0.001,0.002]",1.016e-10,***,Cholesteryl Esters to Total-Lipids in Large LDL percentage
Leu,"0.001 [0.001,0.002]",4.851e-09,***,Leucine
Glu,"0.001 [0.001,0.002]",3.147e-08,***,Glucose
DHA,"0.001 [0.001,0.002]",8.779e-08,***,Docosahexaenoic Acid
Omega-3%,"0.001 [0.001,0.002]",9.824e-08,***,Omega-3 Fatty Acids to Total-Fatty Acids percentage
S-VLDL-PL,"0.001 [0.001,0.002]",5.832e-09,***,Phospholipids in Small VLDL
M-HDL-L,"0.001 [0.001,0.002]",4.445e-06,***,Total-Lipids in Medium HDL
PC,"0.001 [0.001,0.002]",6.137e-06,***,Phosphatidylcholines
Total-L,"0.001 [0.001,0.002]",3.246e-06,***,Total-Lipids in Lipoprotein Particles
M-LDL-CE,"0.001 [0.001,0.002]",4.363e-07,***,Cholesteryl Esters in Medium LDL
M-VLDL-P,"0.001 [0.001,0.002]",7.925e-07,***,Concentration of Medium VLDL Particles
HDL-P,"0.001 [0.001,0.001]",9.561e-04,***,Concentration of HDL Particles
Omega-6,"0.001 [0.001,0.001]",0.007,**,Omega-6 Fatty Acids
M-LDL-L,"0.001 [0.001,0.001]",0.003,**,Total-Lipids in Medium LDL
Total-P,"0.001 [0.001,0.001]",0.040,*,Total-Concentration of Lipoprotein Particles
M-VLDL-PL,"0.001 [0.001,0.001]",0.021,*,Phospholipids in Medium VLDL
L-LDL-P,"-0.001 [-0.001,-0.001]",0.032,*,Concentration of Large LDL Particles
Total-FC,"-0.001 [-0.001,-0.001]",0.027,*,Total-Free Cholesterol
His,"-0.001 [-0.001,-0.001]",0.001,**,Histidine
DHA%,"-0.001 [-0.001,-0.001]",0.016,*,Docosahexaenoic Acid to Total-Fatty Acids percentage
SM,"-0.001 [-0.001,-0.001]",0.003,**,Sphingomyelins
IDL-PL%,"-0.001 [-0.001,-0.001]",4.542e-05,***,Phospholipids to Total-Lipids in IDL percentage
3-Hydroxybutyrate,"-0.001 [-0.002,-0.001]",1.110e-06,***,3-Hydroxybutyrate
Clinical LDL-C,"-0.001 [-0.002,-0.001]",1.473e-05,***,Clinical LDL Cholesterol
Total-C,"-0.001 [-0.002,-0.001]",4.231e-05,***,Total-Cholesterol
M-LDL-PL%,"-0.001 [-0.002,-0.001]",1.242e-07,***,Phospholipids to Total-Lipids in Medium LDL percentage
Total-CE,"-0.001 [-0.002,-0.001]",4.658e-06,***,Total-Esterified Cholesterol
S-LDL-FC,"-0.001 [-0.002,-0.001]",7.380e-08,***,Free Cholesterol in Small LDL
XL-HDL-CE%,"-0.001 [-0.002,-0.001]",2.627e-05,***,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
M-VLDL-C,"-0.002 [-0.002,-0.001]",1.952e-14,***,Cholesterol in Medium VLDL
LDL-FC,"-0.002 [-0.002,-0.001]",8.456e-15,***,Free Cholesterol in LDL
IDL-P,"-0.002 [-0.002,-0.001]",5.084e-17,***,Concentration of IDL Particles
Acetone,"-0.002 [-0.002,-0.001]",1.420e-16,***,Acetone
XL-VLDL-PL%,"-0.002 [-0.002,-0.001]",8.299e-22,***,Phospholipids to Total-Lipids in Very Large VLDL percentage
HDL-FC,"-0.002 [-0.002,-0.001]",1.063e-15,***,Free Cholesterol in HDL
L-LDL-PL%,"-0.002 [-0.002,-0.001]",2.029e-20,***,Phospholipids to Total-Lipids in Large LDL percentage
XS-VLDL-C,"-0.002 [-0.002,-0.002]",6.994e-23,***,Cholesterol in Very Small VLDL
IDL-L,"-0.002 [-0.002,-0.002]",3.271e-22,***,Total-Lipids in IDL
L-LDL-FC,"-0.002 [-0.002,-0.002]",1.778e-25,***,Free Cholesterol in Large LDL
Gly,"-0.002 [-0.002,-0.002]",2.972e-33,***,Glycine
IDL-PL,"-0.002 [-0.003,-0.002]",1.956e-29,***,Phospholipids in IDL
S-LDL-PL%,"-0.002 [-0.003,-0.002]",8.247e-32,***,Phospholipids to Total-Lipids in Small LDL percentage
IDL-CE,"-0.002 [-0.003,-0.002]",3.853e-30,***,Cholesteryl Esters in IDL
HDL-C,"-0.002 [-0.003,-0.002]",1.468e-28,***,HDL Cholesterol
IDL-C,"-0.002 [-0.003,-0.002]",8.882e-35,***,Cholesterol in IDL
S-HDL-CE%,"-0.002 [-0.003,-0.002]",1.681e-36,***,Cholesteryl Esters to Total-Lipids in Small HDL percentage
HDL-CE,"-0.002 [-0.003,-0.002]",1.095e-31,***,Cholesteryl Esters in HDL
XS-VLDL-CE,"-0.002 [-0.003,-0.002]",2.267e-38,***,Cholesteryl Esters in Very Small VLDL
S-LDL-C%,"-0.003 [-0.003,-0.002]",3.637e-37,***,Cholesterol to Total-Lipids in Small LDL percentage
Albumin,"-0.003 [-0.003,-0.002]",5.031e-40,***,Albumin
IDL-FC,"-0.003 [-0.003,-0.002]",1.701e-43,***,Free Cholesterol in IDL
XXL-VLDL-CE%,"-0.003 [-0.003,-0.002]",3.224e-56,***,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Omega-6/Omega-3,"-0.003 [-0.003,-0.002]",1.885e-47,***,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
M-VLDL-CE,"-0.003 [-0.003,-0.003]",2.083e-54,***,Cholesteryl Esters in Medium VLDL
Unsaturation,"-0.003 [-0.003,-0.003]",4.302e-48,***,Degree of Unsaturation
