Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
S-HDL-C%,"0.593 [0.571,0.615]",0.000e+00,***,Cholesterol to Total-Lipids in Small HDL percentage
S-HDL-CE%,"0.555 [0.534,0.577]",0.000e+00,***,Cholesteryl Esters to Total-Lipids in Small HDL percentage
M-HDL-CE%,"0.551 [0.528,0.575]",0.000e+00,***,Cholesteryl Esters to Total-Lipids in Medium HDL percentage
XL-HDL-CE%,"0.533 [0.509,0.557]",0.000e+00,***,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
L-HDL-CE%,"0.519 [0.492,0.546]",2.281e-301,***,Cholesteryl Esters to Total-Lipids in Large HDL percentage
M-HDL-C%,"0.508 [0.485,0.532]",0.000e+00,***,Cholesterol to Total-Lipids in Medium HDL percentage
IDL-FC%,"0.485 [0.462,0.508]",0.000e+00,***,Free Cholesterol to Total-Lipids in IDL percentage
PUFA/MUFA,"0.470 [0.445,0.494]",6.366e-299,***,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
XL-HDL-C%,"0.469 [0.444,0.495]",2.224e-285,***,Cholesterol to Total-Lipids in Very Large HDL percentage
S-LDL-FC%,"0.435 [0.412,0.458]",6.766e-294,***,Free Cholesterol to Total-Lipids in Small LDL percentage
L-HDL-C%,"0.434 [0.407,0.461]",8.542e-207,***,Cholesterol to Total-Lipids in Large HDL percentage
PUFA%,"0.433 [0.408,0.458]",3.903e-245,***,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
Omega-6%,"0.431 [0.406,0.456]",1.586e-250,***,Omega-6 Fatty Acids to Total-Fatty Acids percentage
Albumin,"0.415 [0.393,0.437]",3.218e-297,***,Albumin
M-LDL-FC%,"0.411 [0.387,0.435]",1.945e-239,***,Free Cholesterol to Total-Lipids in Medium LDL percentage
XS-VLDL-FC%,"0.389 [0.365,0.412]",4.609e-222,***,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
L-LDL-FC%,"0.363 [0.339,0.386]",1.426e-193,***,Free Cholesterol to Total-Lipids in Large LDL percentage
L-LDL-C%,"0.332 [0.308,0.355]",2.401e-156,***,Cholesterol to Total-Lipids in Large LDL percentage
XL-VLDL-CE%,"0.330 [0.308,0.352]",5.182e-188,***,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
XL-VLDL-C%,"0.306 [0.285,0.328]",2.657e-164,***,Cholesterol to Total-Lipids in Very Large VLDL percentage
3-Hydroxybutyrate,"0.305 [0.285,0.325]",5.624e-188,***,3-Hydroxybutyrate
S-VLDL-FC%,"0.301 [0.278,0.324]",3.304e-140,***,Free Cholesterol to Total-Lipids in Small VLDL percentage
S-VLDL-PL%,"0.293 [0.271,0.315]",3.601e-140,***,Phospholipids to Total-Lipids in Small VLDL percentage
XXL-VLDL-FC%,"0.286 [0.264,0.307]",9.832e-148,***,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
M-LDL-C%,"0.283 [0.261,0.305]",1.458e-135,***,Cholesterol to Total-Lipids in Medium LDL percentage
XXL-VLDL-C%,"0.282 [0.261,0.303]",9.519e-148,***,Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
IDL-C%,"0.256 [0.232,0.279]",3.982e-97,***,Cholesterol to Total-Lipids in IDL percentage
M-VLDL-CE%,"0.255 [0.230,0.280]",2.552e-83,***,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
S-LDL-C%,"0.246 [0.224,0.268]",4.295e-102,***,Cholesterol to Total-Lipids in Small LDL percentage
M-VLDL-C%,"0.240 [0.216,0.265]",7.144e-79,***,Cholesterol to Total-Lipids in Medium VLDL percentage
DHA%,"0.237 [0.214,0.261]",3.210e-81,***,Docosahexaenoic Acid to Total-Fatty Acids percentage
S-VLDL-C%,"0.236 [0.213,0.258]",3.045e-90,***,Cholesterol to Total-Lipids in Small VLDL percentage
Unsaturation,"0.228 [0.205,0.252]",3.540e-75,***,Degree of Unsaturation
LA%,"0.224 [0.200,0.248]",5.267e-69,***,Linoleic Acid to Total-Fatty Acids percentage
XXL-VLDL-CE%,"0.219 [0.198,0.239]",1.199e-92,***,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Acetone,"0.207 [0.185,0.228]",7.356e-72,***,Acetone
Citrate,"0.202 [0.181,0.224]",2.978e-71,***,Citrate
M-VLDL-FC%,"0.184 [0.161,0.207]",1.006e-48,***,Free Cholesterol to Total-Lipids in Medium VLDL percentage
XS-VLDL-C%,"0.184 [0.159,0.209]",5.600e-43,***,Cholesterol to Total-Lipids in Very Small VLDL percentage
XL-VLDL-FC%,"0.173 [0.152,0.194]",8.125e-54,***,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
S-VLDL-CE%,"0.169 [0.147,0.190]",1.080e-47,***,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
L-VLDL-CE%,"0.158 [0.136,0.181]",2.466e-38,***,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
S-LDL-FC,"0.155 [0.134,0.176]",6.343e-42,***,Free Cholesterol in Small LDL
XS-VLDL-CE%,"0.141 [0.117,0.166]",1.835e-23,***,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
L-VLDL-C%,"0.136 [0.115,0.157]",9.544e-31,***,Cholesterol to Total-Lipids in Large VLDL percentage
M-LDL-FC,"0.118 [0.096,0.139]",4.253e-22,***,Free Cholesterol in Medium LDL
Gly,"0.115 [0.096,0.135]",4.857e-26,***,Glycine
Lactate,"0.111 [0.089,0.132]",3.567e-19,***,Lactate
Omega-6/Omega-3,"0.099 [0.077,0.122]",6.573e-13,***,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
XL-HDL-FC%,"0.095 [0.069,0.122]",6.053e-07,***,Free Cholesterol to Total-Lipids in Very Large HDL percentage
LDL-FC,"0.094 [0.073,0.116]",2.215e-12,***,Free Cholesterol in LDL
S-HDL-CE,"0.087 [0.066,0.108]",7.083e-11,***,Cholesteryl Esters in Small HDL
S-HDL-FC%,"0.080 [0.058,0.101]",1.116e-07,***,Free Cholesterol to Total-Lipids in Small HDL percentage
S-LDL-PL%,"0.078 [0.057,0.099]",1.048e-07,***,Phospholipids to Total-Lipids in Small LDL percentage
L-LDL-PL%,"0.077 [0.057,0.098]",4.055e-08,***,Phospholipids to Total-Lipids in Large LDL percentage
M-VLDL-PL%,"0.077 [0.054,0.100]",8.860e-06,***,Phospholipids to Total-Lipids in Medium VLDL percentage
IDL-CE%,"0.075 [0.052,0.098]",2.697e-05,***,Cholesteryl Esters to Total-Lipids in IDL percentage
Acetate,"0.073 [0.051,0.094]",1.051e-05,***,Acetate
L-HDL-CE,"0.072 [0.049,0.095]",1.756e-04,***,Cholesteryl Esters in Large HDL
L-LDL-FC,"0.071 [0.050,0.093]",2.479e-05,***,Free Cholesterol in Large LDL
