Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
HDL-CE,"0.032 [0.004,0.059]",1.000,,Cholesteryl Esters in HDL
M-LDL-FC%,"0.025 [-0.003,0.054]",1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
Total-CE,"0.024 [-0.003,0.051]",1.000,,Total-Esterified Cholesterol
Total-C,"0.022 [-0.005,0.049]",1.000,,Total-Cholesterol
LDL-CE,"0.015 [-0.011,0.040]",1.000,,Cholesteryl Esters in LDL
M-LDL-CE%,"-0.005 [-0.030,0.020]",1.000,,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
M-HDL-TG%,"-0.014 [-0.041,0.012]",1.000,,Triglycerides to Total-Lipids in Medium HDL percentage
M-LDL-TG%,"-0.019 [-0.045,0.008]",1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
L-VLDL-PL%,"-0.025 [-0.048,-0.001]",1.000,,Phospholipids to Total-Lipids in Large VLDL percentage
M-HDL-PL%,"-0.025 [-0.055,0.004]",1.000,,Phospholipids to Total-Lipids in Medium HDL percentage
