Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
L-HDL-PL%,"0.022 [0.020,0.023]",4.827e-190,***,Phospholipids to Total-Lipids in Large HDL percentage
L-LDL-TG%,"0.022 [0.021,0.023]",1.268e-235,***,Triglycerides to Total-Lipids in Large LDL percentage
M-HDL-PL%,"0.021 [0.020,0.023]",1.658e-202,***,Phospholipids to Total-Lipids in Medium HDL percentage
M-LDL-TG%,"0.020 [0.019,0.021]",8.968e-212,***,Triglycerides to Total-Lipids in Medium LDL percentage
S-LDL-TG%,"0.020 [0.018,0.021]",8.882e-201,***,Triglycerides to Total-Lipids in Small LDL percentage
IDL-TG%,"0.020 [0.018,0.021]",7.818e-189,***,Triglycerides to Total-Lipids in IDL percentage
MUFA%,"0.018 [0.017,0.020]",8.692e-149,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
Phe,"0.018 [0.016,0.019]",7.342e-183,***,Phenylalanine
GlycA,"0.017 [0.016,0.018]",7.851e-142,***,Glycoprotein Acetyls
XS-VLDL-TG%,"0.017 [0.015,0.018]",8.586e-137,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
S-VLDL-TG%,"0.016 [0.015,0.017]",1.194e-152,***,Triglycerides to Total-Lipids in Small VLDL percentage
M-VLDL-TG%,"0.016 [0.015,0.017]",3.903e-138,***,Triglycerides to Total-Lipids in Medium VLDL percentage
S-HDL-PL%,"0.015 [0.014,0.017]",9.905e-129,***,Phospholipids to Total-Lipids in Small HDL percentage
Lactate,"0.015 [0.014,0.016]",9.769e-139,***,Lactate
XL-VLDL-TG%,"0.014 [0.013,0.015]",7.492e-125,***,Triglycerides to Total-Lipids in Very Large VLDL percentage
S-HDL-TG%,"0.013 [0.012,0.014]",1.309e-91,***,Triglycerides to Total-Lipids in Small HDL percentage
Tyr,"0.013 [0.012,0.014]",7.200e-99,***,Tyrosine
Ile,"0.013 [0.012,0.014]",4.448e-92,***,Isoleucine
M-HDL-TG%,"0.013 [0.011,0.014]",1.951e-83,***,Triglycerides to Total-Lipids in Medium HDL percentage
TG/PG,"0.012 [0.011,0.014]",9.504e-67,***,Triglycerides to Phosphoglycerides ratio
XXL-VLDL-TG,"0.012 [0.011,0.014]",5.845e-70,***,Triglycerides in Chylomicrons and Extremely Large VLDL
L-HDL-TG%,"0.012 [0.011,0.014]",1.624e-64,***,Triglycerides to Total-Lipids in Large HDL percentage
SFA%,"0.012 [0.011,0.013]",4.671e-72,***,Saturated Fatty Acids to Total-Fatty Acids percentage
XXL-VLDL-L,"0.012 [0.011,0.013]",3.021e-67,***,Total-Lipids in Chylomicrons and Extremely Large VLDL
XXL-VLDL-PL,"0.012 [0.010,0.013]",2.420e-64,***,Phospholipids in Chylomicrons and Extremely Large VLDL
XXL-VLDL-P,"0.012 [0.010,0.013]",3.512e-63,***,Concentration of Chylomicrons and Extremely Large VLDL Particles
Total-BCAA,"0.012 [0.010,0.013]",3.074e-72,***,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
