Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
Creatinine,"0.724 [0.549,0.898]",9.052e-11,***,Creatinine
Total-PL,"0.684 [0.536,0.831]",2.954e-14,***,Total-Phospholipids in Lipoprotein Particles
SFA,"0.681 [0.532,0.830]",6.364e-14,***,Saturated Fatty Acids
Phosphoglyc,"0.669 [0.521,0.817]",1.957e-13,***,Phosphoglycerides
Cholines,"0.651 [0.503,0.800]",2.039e-12,***,Total-Cholines
PC,"0.646 [0.498,0.794]",2.904e-12,***,Phosphatidylcholines
Total-L,"0.636 [0.491,0.781]",1.982e-12,***,Total-Lipids in Lipoprotein Particles
Total-FA,"0.609 [0.462,0.756]",1.267e-10,***,Total-Fatty Acids
SM,"0.595 [0.449,0.741]",2.654e-10,***,Sphingomyelins
MUFA,"0.572 [0.423,0.722]",1.496e-08,***,Monounsaturated Fatty Acids
S-HDL-FC,"0.559 [0.420,0.698]",7.749e-10,***,Free Cholesterol in Small HDL
Total-C,"0.558 [0.412,0.705]",1.702e-08,***,Total-Cholesterol
XS-VLDL-L,"0.557 [0.419,0.694]",5.404e-10,***,Total-Lipids in Very Small VLDL
M-HDL-TG,"0.555 [0.418,0.692]",4.085e-10,***,Triglycerides in Medium HDL
SFA%,"0.555 [0.406,0.704]",6.299e-08,***,Saturated Fatty Acids to Total-Fatty Acids percentage
Total-CE,"0.551 [0.405,0.698]",3.609e-08,***,Total-Esterified Cholesterol
Total-FC,"0.548 [0.405,0.691]",1.279e-08,***,Total-Free Cholesterol
HDL-TG,"0.544 [0.405,0.682]",2.909e-09,***,Triglycerides in HDL
S-HDL-PL,"0.543 [0.405,0.680]",2.358e-09,***,Phospholipids in Small HDL
IDL-L,"0.540 [0.397,0.683]",3.305e-08,***,Total-Lipids in IDL
XS-VLDL-C,"0.534 [0.396,0.672]",7.562e-09,***,Cholesterol in Very Small VLDL
XS-VLDL-CE,"0.531 [0.392,0.669]",1.258e-08,***,Cholesteryl Esters in Very Small VLDL
Remnant-C,"0.529 [0.389,0.668]",2.749e-08,***,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
S-HDL-L,"0.518 [0.381,0.654]",2.959e-08,***,Total-Lipids in Small HDL
Total-P,"0.516 [0.374,0.659]",2.788e-07,***,Total-Concentration of Lipoprotein Particles
XS-VLDL-FC,"0.516 [0.380,0.652]",2.860e-08,***,Free Cholesterol in Very Small VLDL
XS-VLDL-PL,"0.513 [0.376,0.650]",4.406e-08,***,Phospholipids in Very Small VLDL
IDL-PL,"0.512 [0.372,0.653]",2.074e-07,***,Phospholipids in IDL
IDL-CE,"0.512 [0.370,0.654]",3.306e-07,***,Cholesteryl Esters in IDL
XS-VLDL-P,"0.511 [0.375,0.647]",4.035e-08,***,Concentration of Very Small VLDL Particles
IDL-C,"0.503 [0.360,0.646]",1.093e-06,***,Cholesterol in IDL
IDL-TG,"0.501 [0.360,0.642]",8.430e-07,***,Triglycerides in IDL
Non-HDL-C,"0.499 [0.359,0.640]",7.687e-07,***,Total-Cholesterol Minus HDL-C
L-HDL-TG,"0.497 [0.361,0.632]",1.483e-07,***,Triglycerides in Large HDL
L-LDL-TG,"0.491 [0.347,0.634]",4.932e-06,***,Triglycerides in Large LDL
S-LDL-CE%,"0.489 [0.352,0.626]",6.901e-07,***,Cholesteryl Esters to Total-Lipids in Small LDL percentage
M-HDL-PL,"0.477 [0.332,0.621]",2.142e-05,***,Phospholipids in Medium HDL
LDL-TG,"0.474 [0.328,0.620]",4.265e-05,***,Triglycerides in LDL
L-LDL-L,"0.469 [0.329,0.610]",1.351e-05,***,Total-Lipids in Large LDL
VLDL-C,"0.466 [0.329,0.603]",5.924e-06,***,VLDL Cholesterol
ApoA1,"0.464 [0.317,0.612]",1.507e-04,***,Apolipoprotein A1
PUFA,"0.464 [0.319,0.609]",8.642e-05,***,Polyunsaturated Fatty Acids
VLDL-L,"0.463 [0.320,0.605]",4.302e-05,***,Total-Lipids in VLDL
