Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
XS-VLDL-FC%,"0.265 [0.242,0.288]",1.233e-105,***,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
GlycA,"0.263 [0.240,0.286]",8.481e-110,***,Glycoprotein Acetyls
XL-HDL-C%,"0.254 [0.229,0.278]",5.738e-84,***,Cholesterol to Total-Lipids in Very Large HDL percentage
S-LDL-C%,"0.238 [0.217,0.260]",4.199e-100,***,Cholesterol to Total-Lipids in Small LDL percentage
IDL-FC%,"0.218 [0.195,0.240]",1.907e-75,***,Free Cholesterol to Total-Lipids in IDL percentage
XL-HDL-FC%,"0.214 [0.188,0.240]",1.386e-52,***,Free Cholesterol to Total-Lipids in Very Large HDL percentage
M-LDL-C%,"0.211 [0.189,0.232]",2.231e-76,***,Cholesterol to Total-Lipids in Medium LDL percentage
S-VLDL-CE%,"0.195 [0.174,0.216]",4.505e-68,***,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
S-VLDL-C%,"0.190 [0.168,0.212]",5.026e-60,***,Cholesterol to Total-Lipids in Small VLDL percentage
S-HDL-CE%,"0.183 [0.162,0.204]",1.711e-58,***,Cholesteryl Esters to Total-Lipids in Small HDL percentage
ApoB/ApoA1,"0.181 [0.159,0.202]",2.582e-56,***,Apolipoprotein B to Apolipoprotein A1 ratio
M-VLDL-CE,"0.168 [0.147,0.189]",1.117e-50,***,Cholesteryl Esters in Medium VLDL
XL-HDL-CE%,"0.164 [0.140,0.188]",1.412e-35,***,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
L-LDL-PL%,"0.163 [0.143,0.184]",5.652e-52,***,Phospholipids to Total-Lipids in Large LDL percentage
Clinical LDL-C,"0.163 [0.142,0.184]",3.179e-45,***,Clinical LDL Cholesterol
S-HDL-C%,"0.162 [0.141,0.184]",6.278e-44,***,Cholesterol to Total-Lipids in Small HDL percentage
M-LDL-C,"0.162 [0.141,0.183]",2.803e-46,***,Cholesterol in Medium LDL
M-LDL-P,"0.161 [0.140,0.182]",8.748e-46,***,Concentration of Medium LDL Particles
L-VLDL-FC%,"0.160 [0.141,0.179]",4.821e-54,***,Free Cholesterol to Total-Lipids in Large VLDL percentage
M-LDL-FC,"0.160 [0.139,0.180]",8.256e-46,***,Free Cholesterol in Medium LDL
M-VLDL-C,"0.159 [0.138,0.180]",7.093e-46,***,Cholesterol in Medium VLDL
M-LDL-CE,"0.158 [0.137,0.180]",1.247e-43,***,Cholesteryl Esters in Medium LDL
S-VLDL-FC%,"0.156 [0.133,0.178]",1.731e-36,***,Free Cholesterol to Total-Lipids in Small VLDL percentage
S-LDL-C,"0.155 [0.134,0.176]",1.095e-42,***,Cholesterol in Small LDL
S-LDL-FC,"0.155 [0.134,0.175]",1.098e-43,***,Free Cholesterol in Small LDL
