Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
Creatinine,"0.419 [0.377,0.460]",1.169e-80,***,Creatinine
L-LDL-FC%,"0.204 [0.167,0.240]",2.064e-22,***,Free Cholesterol to Total-Lipids in Large LDL percentage
XS-VLDL-FC%,"0.174 [0.137,0.210]",2.876e-15,***,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
Gly,"0.164 [0.134,0.194]",1.356e-21,***,Glycine
PUFA/MUFA,"0.163 [0.124,0.201]",1.645e-11,***,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
XS-VLDL-C%,"0.160 [0.122,0.198]",3.919e-11,***,Cholesterol to Total-Lipids in Very Small VLDL percentage
XL-HDL-FC,"0.158 [0.126,0.190]",9.947e-17,***,Free Cholesterol in Very Large HDL
XS-VLDL-CE%,"0.153 [0.114,0.191]",1.441e-09,***,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
M-VLDL-CE%,"0.153 [0.114,0.191]",2.423e-09,***,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
IDL-FC%,"0.152 [0.117,0.188]",6.687e-12,***,Free Cholesterol to Total-Lipids in IDL percentage
S-VLDL-CE%,"0.147 [0.114,0.180]",1.147e-12,***,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
M-VLDL-C%,"0.146 [0.109,0.183]",4.783e-09,***,Cholesterol to Total-Lipids in Medium VLDL percentage
S-LDL-PL%,"0.138 [0.106,0.171]",1.656e-11,***,Phospholipids to Total-Lipids in Small LDL percentage
M-VLDL-FC%,"0.135 [0.099,0.171]",4.698e-08,***,Free Cholesterol to Total-Lipids in Medium VLDL percentage
S-VLDL-C%,"0.129 [0.095,0.164]",3.703e-08,***,Cholesterol to Total-Lipids in Small VLDL percentage
XL-HDL-PL%,"0.128 [0.086,0.171]",9.183e-04,***,Phospholipids to Total-Lipids in Very Large HDL percentage
L-LDL-PL%,"0.126 [0.095,0.158]",1.199e-09,***,Phospholipids to Total-Lipids in Large LDL percentage
XL-VLDL-FC%,"0.126 [0.094,0.158]",4.249e-09,***,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
L-VLDL-CE%,"0.125 [0.090,0.159]",3.327e-07,***,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
Omega-6%,"0.115 [0.077,0.154]",7.666e-04,***,Omega-6 Fatty Acids to Total-Fatty Acids percentage
M-LDL-FC%,"0.111 [0.074,0.149]",0.001,**,Free Cholesterol to Total-Lipids in Medium LDL percentage
M-VLDL-PL%,"0.108 [0.072,0.143]",4.671e-04,***,Phospholipids to Total-Lipids in Medium VLDL percentage
LA%,"0.105 [0.067,0.142]",0.008,**,Linoleic Acid to Total-Fatty Acids percentage
Citrate,"0.104 [0.071,0.137]",1.655e-04,***,Citrate
S-HDL-FC%,"0.102 [0.069,0.136]",4.125e-04,***,Free Cholesterol to Total-Lipids in Small HDL percentage
Gln,"0.101 [0.068,0.134]",6.995e-04,***,Glutamine
XL-HDL-PL,"0.100 [0.067,0.134]",9.505e-04,***,Phospholipids in Very Large HDL
S-LDL-FC%,"0.099 [0.063,0.134]",0.014,*,Free Cholesterol to Total-Lipids in Small LDL percentage
Acetate,"0.097 [0.064,0.131]",0.002,**,Acetate
M-LDL-C%,"0.096 [0.062,0.130]",0.008,**,Cholesterol to Total-Lipids in Medium LDL percentage
XL-HDL-L,"0.095 [0.062,0.129]",0.006,**,Total-Lipids in Very Large HDL
L-VLDL-C%,"0.091 [0.058,0.124]",0.012,*,Cholesterol to Total-Lipids in Large VLDL percentage
XL-HDL-C,"0.091 [0.057,0.124]",0.022,*,Cholesterol in Very Large HDL
XXL-VLDL-PL%,"-0.088 [-0.117,-0.059]",7.761e-04,***,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
