Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
IDL-PL,"0.160 [0.122,0.198]",3.873e-11,***,Phospholipids in IDL
Clinical LDL-C,"0.159 [0.121,0.197]",6.412e-11,***,Clinical LDL Cholesterol
XS-VLDL-FC%,"0.157 [0.116,0.199]",2.191e-08,***,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
M-HDL-FC,"0.155 [0.116,0.195]",1.364e-09,***,Free Cholesterol in Medium HDL
Total-P,"0.155 [0.117,0.194]",6.951e-10,***,Total-Concentration of Lipoprotein Particles
IDL-FC%,"0.154 [0.114,0.194]",8.797e-09,***,Free Cholesterol to Total-Lipids in IDL percentage
HDL-PL,"0.153 [0.112,0.193]",3.373e-08,***,Phospholipids in HDL
L-LDL-L,"0.152 [0.114,0.191]",9.041e-10,***,Total-Lipids in Large LDL
Unsaturation,"0.152 [0.111,0.193]",8.524e-08,***,Degree of Unsaturation
XL-VLDL-CE%,"0.152 [0.114,0.190]",1.186e-09,***,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
M-HDL-C,"0.151 [0.112,0.191]",1.491e-08,***,Cholesterol in Medium HDL
PC,"0.151 [0.111,0.191]",3.565e-08,***,Phosphatidylcholines
L-LDL-PL,"0.150 [0.112,0.187]",8.964e-10,***,Phospholipids in Large LDL
XL-VLDL-C%,"0.149 [0.111,0.187]",2.393e-09,***,Cholesterol to Total-Lipids in Very Large VLDL percentage
Omega-6%,"0.149 [0.105,0.192]",3.791e-06,***,Omega-6 Fatty Acids to Total-Fatty Acids percentage
L-LDL-CE,"0.147 [0.109,0.185]",5.177e-09,***,Cholesteryl Esters in Large LDL
Cholines,"0.147 [0.107,0.187]",1.800e-07,***,Total-Cholines
M-HDL-CE,"0.147 [0.107,0.186]",6.293e-08,***,Cholesteryl Esters in Medium HDL
HDL-P,"0.146 [0.108,0.184]",1.961e-08,***,Concentration of HDL Particles
Total-PL,"0.145 [0.105,0.185]",2.703e-07,***,Total-Phospholipids in Lipoprotein Particles
LDL-C,"0.145 [0.107,0.183]",1.378e-08,***,LDL Cholesterol
M-LDL-FC,"0.141 [0.104,0.178]",2.077e-08,***,Free Cholesterol in Medium LDL
