Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
GlycA,"4.256 [4.021,4.491]",1.477e-268,***,Glycoprotein Acetyls
XL-HDL-CE%,"2.548 [2.298,2.798]",4.869e-83,***,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
S-LDL-C%,"2.436 [2.212,2.660]",2.079e-95,***,Cholesterol to Total-Lipids in Small LDL percentage
IDL-FC%,"2.392 [2.158,2.626]",8.503e-84,***,Free Cholesterol to Total-Lipids in IDL percentage
M-HDL-CE%,"2.350 [2.109,2.591]",1.125e-75,***,Cholesteryl Esters to Total-Lipids in Medium HDL percentage
L-HDL-CE%,"2.350 [2.071,2.629]",8.343e-56,***,Cholesteryl Esters to Total-Lipids in Large HDL percentage
3-Hydroxybutyrate,"2.317 [2.111,2.524]",1.381e-101,***,3-Hydroxybutyrate
S-HDL-CE%,"2.316 [2.094,2.538]",2.222e-87,***,Cholesteryl Esters to Total-Lipids in Small HDL percentage
M-HDL-C%,"2.211 [1.966,2.456]",1.322e-64,***,Cholesterol to Total-Lipids in Medium HDL percentage
M-VLDL-CE%,"2.178 [1.921,2.435]",1.015e-56,***,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
S-HDL-CE,"2.091 [1.878,2.304]",5.337e-77,***,Cholesteryl Esters in Small HDL
XS-VLDL-FC%,"2.057 [1.814,2.299]",1.264e-56,***,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
M-VLDL-C%,"2.055 [1.807,2.303]",7.391e-54,***,Cholesterol to Total-Lipids in Medium VLDL percentage
S-VLDL-PL%,"2.043 [1.814,2.272]",6.350e-63,***,Phospholipids to Total-Lipids in Small VLDL percentage
L-HDL-C%,"2.003 [1.722,2.283]",4.706e-39,***,Cholesterol to Total-Lipids in Large HDL percentage
S-HDL-C%,"1.977 [1.752,2.202]",3.755e-61,***,Cholesterol to Total-Lipids in Small HDL percentage
S-VLDL-FC%,"1.952 [1.717,2.187]",4.006e-54,***,Free Cholesterol to Total-Lipids in Small VLDL percentage
S-VLDL-C%,"1.881 [1.653,2.109]",1.641e-53,***,Cholesterol to Total-Lipids in Small VLDL percentage
S-HDL-C,"1.822 [1.607,2.038]",2.102e-56,***,Cholesterol in Small HDL
XL-VLDL-CE%,"1.800 [1.576,2.023]",1.027e-50,***,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
XS-VLDL-C%,"1.790 [1.538,2.043]",1.881e-38,***,Cholesterol to Total-Lipids in Very Small VLDL percentage
M-VLDL-FC%,"1.785 [1.547,2.024]",2.268e-43,***,Free Cholesterol to Total-Lipids in Medium VLDL percentage
SM,"1.785 [1.554,2.017]",2.359e-46,***,Sphingomyelins
Unsaturation,"1.726 [1.486,1.967]",1.809e-39,***,Degree of Unsaturation
S-HDL-P,"1.725 [1.510,1.939]",1.246e-50,***,Concentration of Small HDL Particles
IDL-C%,"1.710 [1.471,1.949]",2.207e-39,***,Cholesterol to Total-Lipids in IDL percentage
L-VLDL-CE%,"1.690 [1.461,1.919]",4.995e-42,***,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
L-VLDL-C%,"1.688 [1.471,1.905]",5.607e-47,***,Cholesterol to Total-Lipids in Large VLDL percentage
XL-VLDL-C%,"1.686 [1.465,1.907]",5.208e-45,***,Cholesterol to Total-Lipids in Very Large VLDL percentage
XS-VLDL-CE%,"1.683 [1.428,1.937]",5.835e-33,***,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
L-LDL-FC%,"1.660 [1.418,1.902]",9.853e-36,***,Free Cholesterol to Total-Lipids in Large LDL percentage
S-VLDL-CE%,"1.650 [1.429,1.871]",3.075e-43,***,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
L-LDL-PL%,"1.602 [1.392,1.812]",3.201e-45,***,Phospholipids to Total-Lipids in Large LDL percentage
M-LDL-C%,"1.594 [1.369,1.819]",2.542e-38,***,Cholesterol to Total-Lipids in Medium LDL percentage
M-HDL-CE,"1.578 [1.348,1.809]",1.141e-35,***,Cholesteryl Esters in Medium HDL
