Type,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Metabolite,0.858 [0.816 - 0.897],0.813 [0.811 - 0.814],0.811 [0.740 - 0.863],0.813 [0.811 - 0.814],0.003 [0.002 - 0.003],0.623 [0.552 - 0.675],0.006 [0.005 - 0.007]
Demographic,0.795 [0.760 - 0.822],0.710 [0.708 - 0.712],0.708 [0.631 - 0.771],0.710 [0.708 - 0.712],0.002 [0.001 - 0.002],0.418 [0.341 - 0.480],0.003 [0.003 - 0.004]
Metabolite+Demographic,0.874 [0.839 - 0.911],0.817 [0.816 - 0.818],0.813 [0.754 - 0.874],0.817 [0.816 - 0.818],0.003 [0.002 - 0.003],0.629 [0.571 - 0.690],0.006 [0.005 - 0.007]
