Type,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Metabolite,0.597 [0.586 - 0.611],0.570 [0.568 - 0.572],0.570 [0.546 - 0.593],0.570 [0.567 - 0.572],0.010 [0.010 - 0.011],0.139 [0.115 - 0.162],0.020 [0.019 - 0.022]
Demographic,0.632 [0.616 - 0.645],0.593 [0.591 - 0.595],0.592 [0.563 - 0.614],0.593 [0.591 - 0.595],0.011 [0.011 - 0.012],0.185 [0.157 - 0.207],0.022 [0.021 - 0.024]
Metabolite+Demographic,0.632 [0.618 - 0.645],0.591 [0.588 - 0.593],0.589 [0.563 - 0.614],0.591 [0.588 - 0.593],0.011 [0.011 - 0.012],0.179 [0.153 - 0.204],0.022 [0.021 - 0.024]
