Type,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Metabolite,0.672 [0.667 - 0.678],0.626 [0.624 - 0.628],0.626 [0.616 - 0.638],0.626 [0.624 - 0.628],0.063 [0.062 - 0.065],0.252 [0.242 - 0.264],0.115 [0.112 - 0.117]
Demographic,0.770 [0.764 - 0.775],0.706 [0.705 - 0.708],0.705 [0.696 - 0.717],0.706 [0.705 - 0.708],0.088 [0.086 - 0.091],0.412 [0.401 - 0.423],0.157 [0.153 - 0.161]
Metabolite+Demographic,0.770 [0.764 - 0.775],0.707 [0.705 - 0.709],0.705 [0.696 - 0.716],0.707 [0.705 - 0.709],0.088 [0.086 - 0.091],0.413 [0.402 - 0.424],0.157 [0.153 - 0.161]
