Type,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Metabolite,0.535 [0.531 - 0.541],0.523 [0.522 - 0.525],0.522 [0.515 - 0.533],0.524 [0.521 - 0.525],0.073 [0.071 - 0.075],0.046 [0.039 - 0.058],0.128 [0.125 - 0.131]
Demographic,0.578 [0.572 - 0.583],0.556 [0.554 - 0.558],0.555 [0.547 - 0.563],0.556 [0.553 - 0.558],0.082 [0.080 - 0.084],0.111 [0.102 - 0.120],0.143 [0.140 - 0.146]
Metabolite+Demographic,0.581 [0.575 - 0.586],0.557 [0.555 - 0.560],0.557 [0.548 - 0.567],0.557 [0.555 - 0.560],0.083 [0.081 - 0.084],0.114 [0.106 - 0.124],0.144 [0.141 - 0.147]
